 	w	a	l	á	a	s	i	á	t	s	a	n	g	í	m	ó	n	g	ω	n	g	ω	a	k	u	s	a	</S>
elle	0.10515	0.180182	0.21132	0.225906	0.18864	0.0187018	0.00922057	0.00230382	0.00227328	0.000954926	0.00242515	0.00307435	0.00272266	0.00275619	0.00284057	0.00233072	0.00300435	0.00340542	0.00340948	0.00405154	0.00266657	0.00314269	0.00395436	0.00340348	0.00378412	0.00325265	0.00304262	0.0020807
cultive	0.0113125	0.00893803	0.00716605	0.00551494	0.00984046	0.00914759	0.0196141	0.0445655	0.102271	0.131057	0.141761	0.0940757	0.0905111	0.0443789	0.0721764	0.0620491	0.0388866	0.0377892	0.0163142	0.0122346	0.0107164	0.00535522	0.00402338	0.00413921	0.00204335	0.00214342	0.00265097	0.00932384
les	0.0187327	0.0253505	0.0304997	0.0270038	0.0204879	0.017869	0.0158778	0.0187067	0.0335421	0.0497173	0.0327014	0.057704	0.0582745	0.0607079	0.0612987	0.0558162	0.0390962	0.0369185	0.0303778	0.0296965	0.0342948	0.0338486	0.028434	0.0222206	0.018446	0.0335455	0.0578618	0.0509695
aubergine	0.0119943	0.0124611	0.0129569	0.0129017	0.0138725	0.0122616	0.00972282	0.00969495	0.00972157	0.0181048	0.0142274	0.0235508	0.0357866	0.0251498	0.0271862	0.0360007	0.0609195	0.0697974	0.0679116	0.0629563	0.101377	0.0632934	0.0364981	0.0275961	0.0199462	0.0441419	0.0630965	0.0968718
dans	0.0225975	0.0356066	0.025641	0.0262197	0.0299294	0.0363141	0.0383615	0.049919	0.0496694	0.0610685	0.0587307	0.0535371	0.0532978	0.0577741	0.0541638	0.0470834	0.0158868	0.0216099	0.00854583	0.0064236	0.00758525	0.00802328	0.0108354	0.0224501	0.0228004	0.0313639	0.0368595	0.107703
son	0.076501	0.0875627	0.076422	0.100245	0.15788	0.08779	0.0384996	0.0345351	0.0329926	0.0448307	0.038116	0.028959	0.013438	0.0235252	0.0220192	0.0170611	0.00946036	0.0155744	0.00675534	0.0051923	0.00708047	0.00787461	0.00819216	0.0153612	0.00686996	0.0137794	0.0076218	0.0158596
jardin	0.0162519	0.0261249	0.0196046	0.0170914	0.0160088	0.0144776	0.0146213	0.0134805	0.0134183	0.0157465	0.0168853	0.0174539	0.0185414	0.0204951	0.0217884	0.0227294	0.021272	0.0169697	0.0232449	0.0251883	0.0320852	0.0493093	0.0501713	0.055454	0.0351779	0.081175	0.135058	0.190175
de	0.0188582	0.0208722	0.0222025	0.0172685	0.024441	0.0236262	0.0250038	0.023478	0.0239379	0.0264837	0.0259397	0.0253305	0.0266715	0.0282506	0.0287595	0.0287329	0.0260523	0.0198004	0.0176495	0.0146049	0.0192329	0.021879	0.0248535	0.0443244	0.0404013	0.0905891	0.107172	0.183584
case	0.0197583	0.0205355	0.019497	0.0212349	0.0253226	0.020194	0.0234164	0.019553	0.0185287	0.0196906	0.019179	0.0125547	0.014435	0.0138058	0.0154775	0.0154536	0.0200507	0.0231525	0.0338906	0.0415695	0.0474981	0.0512337	0.0523995	0.0587276	0.0576477	0.0954774	0.0848557	0.13486
</S>	0.0137166	0.0140195	0.0134792	0.0131161	0.0168066	0.0255326	0.031336	0.0299329	0.0512247	0.0750232	0.0705941	0.0460661	0.0502238	0.0424834	0.0422578	0.0327628	0.0289289	0.0187908	0.0178694	0.0170733	0.0149945	0.016805	0.0166003	0.0142565	0.00989709	0.0344699	0.0600303	0.181709
