 	b	á	n	a	b	ó	y	ú	r	u	w	ó	á	d	z	e	b	á	a	p	f	w	o	b	h	á	i	p	a	a	b	á	n	d	z	o	ó	s	á	d	z	a	l	a	l	a	</S>
les	0.0269673	0.0604472	0.0543633	0.0402553	0.0144217	0.0195245	0.0150805	0.0174955	0.0157373	0.0220497	0.023054	0.0298361	0.0473712	0.0528788	0.0371429	0.0635511	0.0408907	0.0569376	0.043556	0.0305249	0.0228579	0.0134965	0.0163909	0.0167638	0.0204625	0.0167127	0.00800517	0.00653726	0.00406805	0.00406841	0.00379632	0.00682436	0.00593643	0.0042444	0.0040212	0.011031	0.00584481	0.00936836	0.0106061	0.010681	0.0162623	0.011639	0.0099365	0.0140392	0.008983	0.0135922	0.0117451
enfants	0.084009	0.0844968	0.112579	0.120554	0.0761046	0.0530657	0.0344608	0.0261667	0.0316402	0.027855	0.0259902	0.0263749	0.0248189	0.0185074	0.00906051	0.00902279	0.00979706	0.00890991	0.0108155	0.00752396	0.00615482	0.00380946	0.00477776	0.00687725	0.0088912	0.00964844	0.00746251	0.0055994	0.00420072	0.00350274	0.00193899	0.00561448	0.00474459	0.0103454	0.00969426	0.0187433	0.00661123	0.0141312	0.0102028	0.00904349	0.0146718	0.00639898	0.0078156	0.00915054	0.00249524	0.00186551	0.00385556
de	0.0979034	0.0456935	0.0626651	0.0555779	0.0384638	0.0411947	0.0416503	0.0232376	0.0354725	0.0208457	0.0244744	0.0191897	0.0227209	0.0271759	0.0275591	0.0148337	0.0168193	0.0203346	0.0169057	0.0103187	0.00583213	0.007108	0.00386452	0.00488988	0.00516261	0.00471823	0.00407998	0.00524015	0.00555956	0.0104599	0.00992176	0.0176764	0.0183388	0.0197977	0.0211141	0.0222778	0.0433173	0.0197877	0.0197164	0.0152007	0.014151	0.0109111	0.0144736	0.00990707	0.00989265	0.00613656	0.00742811
cette	0.0115023	0.0111869	0.0149702	0.0189734	0.0151859	0.0120516	0.0135782	0.0126162	0.0166498	0.0192187	0.0254755	0.0276539	0.0193376	0.018064	0.0213123	0.0228378	0.0160093	0.02444	0.0132043	0.030261	0.0255349	0.0177975	0.0271187	0.0180398	0.0183372	0.0158757	0.0156256	0.00992903	0.0155416	0.0084951	0.0116396	0.00977553	0.0124073	0.0166484	0.0284874	0.0178385	0.0309918	0.0313379	0.0385312	0.061481	0.0383272	0.0212416	0.0283279	0.0280244	0.0242755	0.0265206	0.0373199
femme	0.0441807	0.0304839	0.0312079	0.0339433	0.0329297	0.0390076	0.0467989	0.0496475	0.0551544	0.0528467	0.0363172	0.0444288	0.0550379	0.0365762	0.0250545	0.0249578	0.0249912	0.018012	0.0139657	0.0140298	0.0229764	0.00672978	0.0151197	0.0174561	0.0241823	0.0295192	0.0141813	0.00808474	0.0105892	0.0052426	0.00447192	0.0107807	0.00640135	0.00671179	0.00752225	0.0155959	0.00157779	0.00780919	0.00505754	0.00572802	0.0109004	0.0049794	0.00256588	0.0124981	0.00818338	0.00773814	0.017825
jetaient	0.0290288	0.0133151	0.0122208	0.0130745	0.0126835	0.0136151	0.0143203	0.0136328	0.0168724	0.0122365	0.016554	0.0159554	0.0161629	0.0129079	0.019257	0.0130817	0.0125207	0.0169516	0.0154558	0.0199414	0.0252839	0.0128324	0.0170273	0.0245538	0.0233713	0.02014	0.029646	0.0258269	0.0286257	0.0268292	0.0135212	0.0570954	0.0291239	0.0268449	0.0169586	0.037963	0.00683813	0.0377488	0.0229117	0.0243194	0.025086	0.0158984	0.0158868	0.0244051	0.0270281	0.0341134	0.0403324
les	0.0232223	0.011112	0.0107852	0.0128734	0.0129052	0.0134716	0.0137601	0.0142996	0.0145342	0.0128494	0.0137886	0.0113524	0.0120024	0.0107671	0.010618	0.00825368	0.00800727	0.00866029	0.00794524	0.00641695	0.0122861	0.0114511	0.0114684	0.0164631	0.0136704	0.0147761	0.0312157	0.0379962	0.0359352	0.0534867	0.0249323	0.0761956	0.0560051	0.0587024	0.0530969	0.0216287	0.0149476	0.0269147	0.0229939	0.0280836	0.0217452	0.0134974	0.0151355	0.0186673	0.0214756	0.0238534	0.0257508
écorces	0.0104968	0.00824223	0.00734461	0.00790984	0.00977339	0.0111018	0.0113384	0.0111898	0.0113408	0.00958992	0.00862586	0.0105222	0.00810361	0.0065705	0.00874378	0.0117981	0.0068891	0.00814335	0.00796313	0.0105231	0.0145012	0.0130366	0.0136387	0.0176061	0.0150129	0.0199513	0.0263578	0.0209273	0.0340491	0.0307629	0.0272975	0.0452559	0.0358664	0.0321217	0.0212258	0.03237	0.0221237	0.0435179	0.048112	0.0365057	0.0361144	0.0363494	0.0361249	0.0382817	0.0374229	0.0392292	0.0400267
d'	0.0381848	0.0319258	0.0312509	0.0420727	0.0358265	0.0328773	0.0231089	0.0187827	0.0193828	0.0109114	0.011135	0.0103903	0.0103124	0.00927395	0.0123427	0.00819634	0.00828347	0.00900985	0.0102994	0.0132092	0.0197971	0.0141751	0.0192798	0.0263979	0.0223355	0.0158775	0.0307458	0.0211784	0.0358419	0.0332608	0.0204573	0.0294804	0.0334477	0.0228755	0.0173708	0.0191829	0.00456793	0.0141908	0.0126957	0.017887	0.0259657	0.0242365	0.0102046	0.0270432	0.0200207	0.0256797	0.0490273
arachide	0.0515285	0.0216487	0.0155474	0.015891	0.0103805	0.00924916	0.00969675	0.00786393	0.00927032	0.00513999	0.00620859	0.00623747	0.00530827	0.00562824	0.0100596	0.00869508	0.00677287	0.0103744	0.00943862	0.0143232	0.0174899	0.0152053	0.0179735	0.0259481	0.0274665	0.0227521	0.0324999	0.0370891	0.0327752	0.0412507	0.0192008	0.0713089	0.0235668	0.0288592	0.0216315	0.0432555	0.00454866	0.00993597	0.0122736	0.00882708	0.0252229	0.0168231	0.0113815	0.0287651	0.0195628	0.0597675	0.0853561
