 	e	k	y	έ	έ	l	í	y	é	é	k	y	έ	έ	l	έ	b	á	a	i	b	ó	m	b	o	l	á	m	b	ώ	n	g	ω	d	í	m	ú	b	h	u	a	d	í	o	f	u	s	á	o	k	ó	a	k	a	á	</S>
la	0.00989936	0.015419	0.0132267	0.0143771	0.0122791	0.020481	0.01586	0.0174693	0.014823	0.0261837	0.0122301	0.0201448	0.0248175	0.0705702	0.0416771	0.0688459	0.033832	0.0337059	0.0251446	0.0161303	0.0151723	0.0197304	0.0219704	0.0190762	0.011269	0.00799293	0.00788128	0.00861895	0.00747128	0.00776465	0.00824377	0.00742348	0.00561023	0.005331	0.0055991	0.00441489	0.00517803	0.00419788	0.00489028	0.00467523	0.00487664	0.00685987	0.0066696	0.00486593	0.010468	0.00885851	0.0159844	0.0123173	0.0164463	0.0289612	0.0404108	0.0337146	0.0378719	0.0277603	0.0315115	0.0227952
manière	0.026163	0.0720691	0.0695968	0.0524264	0.047147	0.0488764	0.0599928	0.0854455	0.0378692	0.0265549	0.0191952	0.0369339	0.0392736	0.0612912	0.0145721	0.0324288	0.0236174	0.0551906	0.0212379	0.0123444	0.00597779	0.00464949	0.00316661	0.00298796	0.00164993	0.00134208	0.00099439	0.000574437	0.000488679	0.000361792	0.000229486	0.000954109	0.00119914	0.001373	0.00151837	0.00298872	0.00223602	0.00389215	0.00304021	0.00316042	0.00598548	0.00832929	0.00682044	0.00170651	0.0105045	0.00936024	0.0103952	0.00632124	0.00868845	0.00153706	0.00892519	0.00544336	0.0224092	0.00394186	0.00231509	0.00230591
dont	0.127955	0.0526135	0.0336541	0.0289674	0.019593	0.0386914	0.0215429	0.0167766	0.017183	0.0137247	0.0124251	0.016806	0.0135287	0.0277605	0.0167468	0.0202492	0.0138538	0.0229999	0.0181013	0.0187992	0.0274009	0.0176721	0.0265893	0.0146255	0.0107378	0.009196	0.00926601	0.0061941	0.00696496	0.00448438	0.00405468	0.0048963	0.00425051	0.00658257	0.0109953	0.0159852	0.00852632	0.00889022	0.00720752	0.00729924	0.00763301	0.00983238	0.0186806	0.0108331	0.0269832	0.0249553	0.0238742	0.0331908	0.0280955	0.0184445	0.00787065	0.00449987	0.00582503	0.00234172	0.00392981	0.00922005
ils	0.0143271	0.0162175	0.0152197	0.0126381	0.00873007	0.00864831	0.00892988	0.00627763	0.0055417	0.00614681	0.00341311	0.0151935	0.015138	0.0323016	0.0159967	0.0152256	0.00964836	0.00882225	0.0114156	0.00992694	0.0185554	0.0359555	0.0683097	0.0718701	0.0316784	0.0123304	0.0153273	0.0122359	0.0218371	0.0175524	0.0118572	0.0128072	0.0141211	0.0149826	0.0171707	0.020678	0.0200618	0.0137283	0.0122968	0.0149783	0.0156085	0.0222284	0.0268961	0.0177801	0.034459	0.033218	0.036198	0.0284087	0.0113929	0.00918324	0.00618289	0.00569436	0.00758268	0.00433127	0.00583576	0.0369074
gardent	0.0725207	0.044086	0.0436406	0.0413529	0.0366492	0.0286195	0.0288976	0.0156275	0.012503	0.00562812	0.00714557	0.0144555	0.00972507	0.00804508	0.00862305	0.00901264	0.00799101	0.00558133	0.00874839	0.0119775	0.0180363	0.0154137	0.0323919	0.0239463	0.0174718	0.0167372	0.0141685	0.0133081	0.00877738	0.00969542	0.0103983	0.0131099	0.0116911	0.0204963	0.0224556	0.0391888	0.0163151	0.030716	0.0219995	0.0177484	0.0176361	0.0182397	0.022059	0.0168101	0.0201034	0.0128422	0.00984362	0.0186967	0.0101217	0.0038413	0.00407048	0.00277437	0.0036436	0.00332537	0.00788668	0.0332097
cette	0.0355346	0.0334135	0.0303806	0.0212259	0.0144947	0.0142091	0.0219113	0.0132201	0.0150964	0.00918292	0.0104291	0.00816301	0.00666104	0.00805788	0.00970977	0.00970831	0.00624424	0.00607719	0.00776869	0.0105883	0.0143287	0.0205292	0.0403105	0.0361959	0.0358175	0.0429664	0.0671237	0.0532766	0.0451111	0.031371	0.0208008	0.0145219	0.0178944	0.023394	0.0202378	0.0184432	0.0120135	0.0106846	0.00942158	0.00818773	0.00713522	0.00876242	0.0108202	0.0107685	0.0109618	0.010344	0.00724391	0.0131538	0.0124572	0.011654	0.00401212	0.00194526	0.00257239	0.00403547	0.008903	0.0405242
banque	0.032959	0.0197671	0.012363	0.00956544	0.00595038	0.00504585	0.00358257	0.00557551	0.00373964	0.00336402	0.00211695	0.00650428	0.00527741	0.00755699	0.00509611	0.00753025	0.00679722	0.00705297	0.00829535	0.0104857	0.0100953	0.0117737	0.0118839	0.0124187	0.0133413	0.0114529	0.0122202	0.00886032	0.00994291	0.0109298	0.01085	0.0241206	0.0369242	0.0372536	0.0454005	0.0581745	0.0467375	0.0481939	0.0366342	0.0322384	0.0382709	0.0274266	0.0219821	0.0370983	0.0178883	0.0159749	0.0167537	0.0158134	0.0203803	0.00833995	0.0170983	0.0114063	0.0150073	0.0191171	0.0199335	0.0394372
le	0.0445479	0.018176	0.00800834	0.00717548	0.00823188	0.00852334	0.0105774	0.00923055	0.0105553	0.00658052	0.00804105	0.00600083	0.00316866	0.00215726	0.00387097	0.00360615	0.00399628	0.0031662	0.00475561	0.00591061	0.00788846	0.0120805	0.0155656	0.0236327	0.0279934	0.030625	0.0363042	0.0363125	0.0447213	0.0433523	0.0453883	0.0361547	0.036068	0.0498458	0.039112	0.0262382	0.025297	0.0227227	0.0162522	0.0145561	0.0152012	0.0188324	0.016756	0.0185957	0.0128368	0.0149365	0.0118109	0.0140291	0.0174187	0.00818493	0.00993747	0.00540676	0.00548695	0.0118647	0.0174073	0.0349036
combrioleur	0.0109859	0.00828661	0.00757356	0.00919148	0.00684564	0.00359087	0.00282061	0.00323002	0.00364713	0.0041116	0.00430929	0.00446255	0.00450418	0.00494675	0.00596256	0.00693122	0.00675535	0.00579912	0.0105384	0.0123939	0.012973	0.0139368	0.00943167	0.0112939	0.0131738	0.0192886	0.0364908	0.0416077	0.0460538	0.0516841	0.0580386	0.0657247	0.0665607	0.0376211	0.0300121	0.0281866	0.0254699	0.0325036	0.0291606	0.0317266	0.0234246	0.0150646	0.0112356	0.0167489	0.00637916	0.00648667	0.00414082	0.00424482	0.00485573	0.00266755	0.00618502	0.0026967	0.00897419	0.0127205	0.0207654	0.0655842
ne	0.0169119	0.00778891	0.00491494	0.00430256	0.00316369	0.00232934	0.00380256	0.00254906	0.00267207	0.00146292	0.00187215	0.00196611	0.00165979	0.00132451	0.00283002	0.00210899	0.00194972	0.00123275	0.00330886	0.00420378	0.00631055	0.00995542	0.0172666	0.0215242	0.021356	0.022873	0.0343272	0.0380918	0.0616397	0.059585	0.060951	0.0459227	0.0529984	0.0463875	0.0557083	0.0579329	0.0477261	0.0386308	0.0288026	0.0220411	0.0170357	0.0161471	0.0173903	0.0238486	0.0138187	0.0113904	0.00718809	0.00848043	0.00731016	0.00271817	0.00304236	0.0020161	0.00180024	0.00391786	0.00790365	0.0336066
peut	0.0906166	0.0493056	0.0367283	0.0318316	0.0275741	0.0241229	0.0154646	0.0152835	0.0174478	0.0155055	0.0117443	0.0110735	0.00763446	0.00479877	0.00727033	0.00412488	0.00483966	0.0029104	0.00385592	0.00392701	0.00439097	0.00464924	0.00730914	0.0111589	0.0148886	0.0137417	0.0193787	0.0171248	0.0217327	0.0263531	0.0206945	0.0157504	0.0222371	0.0133506	0.0191499	0.0204166	0.0293381	0.0354581	0.024494	0.0274618	0.0218382	0.0199586	0.0251215	0.03365	0.0220108	0.0236173	0.0124737	0.00741703	0.00717681	0.0010954	0.00435691	0.00222337	0.00505233	0.0120302	0.0154317	0.0314072
oser	0.139089	0.0435904	0.0205527	0.00915037	0.0107248	0.00980229	0.0112445	0.0107634	0.0117269	0.0127753	0.0179327	0.0189076	0.0085544	0.00536928	0.00480863	0.00395885	0.00350615	0.00238935	0.00400282	0.00453977	0.00594196	0.0086457	0.0192224	0.0264941	0.0304146	0.0160077	0.0193219	0.0227286	0.0186556	0.0245732	0.0283112	0.026668	0.0367958	0.028541	0.0163255	0.0169975	0.00974391	0.0173906	0.0117355	0.00964712	0.00667057	0.0110685	0.0075737	0.0192122	0.0114923	0.0200047	0.0179154	0.014545	0.0156405	0.0027594	0.00625925	0.00315532	0.00432404	0.00852307	0.0186648	0.08464
y	0.0989335	0.0412767	0.035907	0.0227311	0.0131548	0.0118743	0.00854168	0.00849837	0.00859899	0.0107677	0.0129409	0.010652	0.00567066	0.00424382	0.0048386	0.0025105	0.00281015	0.00209439	0.00252159	0.00328044	0.00681659	0.0150567	0.0274405	0.0447485	0.037048	0.0235972	0.0310749	0.0292328	0.0285245	0.031327	0.0284579	0.0303683	0.0243382	0.0299959	0.0250948	0.0197726	0.0159729	0.0132708	0.0107665	0.0109104	0.00965518	0.0123155	0.012219	0.014418	0.0102087	0.0133751	0.0126965	0.0105162	0.0145503	0.00564423	0.00625237	0.00606537	0.0043229	0.0100059	0.0133339	0.0487587
entrer	0.12816	0.0380861	0.0214033	0.0127183	0.00934301	0.008279	0.00719443	0.0115786	0.0102587	0.0117638	0.0130157	0.030528	0.0225172	0.0224302	0.0103429	0.0137983	0.0108983	0.00985928	0.0135217	0.0129608	0.0173439	0.0171862	0.0270047	0.0248239	0.0233372	0.0166016	0.0151405	0.0152811	0.0140019	0.014743	0.0142709	0.0143845	0.0167168	0.0158617	0.00959049	0.00874171	0.00690809	0.0108643	0.00981786	0.00967758	0.0097846	0.0145921	0.0112172	0.0181583	0.0176256	0.0236937	0.0229683	0.0198857	0.0141559	0.00400731	0.0079538	0.0072894	0.0129011	0.0165711	0.0235865	0.0546539
</S>	0.17446	0.0874305	0.0400882	0.0116022	0.00841298	0.00230288	0.00268477	0.00195619	0.00229206	0.0011934	0.00129506	0.0027401	0.0033377	0.0035314	0.00304394	0.00262382	0.00292817	0.00228959	0.00586206	0.00848839	0.0148123	0.0164276	0.0331068	0.0335215	0.0279048	0.0100353	0.0257711	0.01906	0.0148746	0.0258825	0.0232912	0.0130667	0.0267512	0.0104319	0.0101351	0.019718	0.0091079	0.0262576	0.019301	0.0214764	0.0171409	0.0174998	0.0121266	0.038624	0.0117637	0.0159748	0.0169307	0.00658327	0.00705329	0.00099933	0.00473934	0.00496323	0.00666002	0.0110961	0.0133269	0.0450206
