 	o	s	á	á	m	ó	ó	d	z	e	b	h	á	n	d	a	á	y	u	b	h	u	</S>
qui	0.00774968	0.00952778	0.0111238	0.00869907	0.00941196	0.00910023	0.00903944	0.00957295	0.00943805	0.0103335	0.0144921	0.0174678	0.0420399	0.0441464	0.0470246	0.074806	0.105042	0.127665	0.118872	0.113132	0.0944527	0.0754501	0.0314126
est	0.23827	0.140445	0.0859132	0.108396	0.0937032	0.0242079	0.0265521	0.021095	0.0139925	0.0234402	0.0195172	0.021515	0.0114392	0.0112589	0.0155373	0.0199901	0.0242775	0.021536	0.0187075	0.0170586	0.0108466	0.0150974	0.0172042
ce	0.0395768	0.0236848	0.0217162	0.0177387	0.0148329	0.00657998	0.00927776	0.00824117	0.00963665	0.0194921	0.0331698	0.0437905	0.0656766	0.116852	0.140467	0.102465	0.0914148	0.072893	0.0487516	0.0507091	0.0222244	0.0165895	0.02422
qui	0.0604375	0.0478741	0.0341565	0.0308599	0.0274478	0.0216926	0.0210953	0.0304152	0.0220143	0.0422218	0.0456706	0.0426822	0.0349777	0.0238607	0.0600296	0.0880671	0.0761308	0.109065	0.051975	0.0431518	0.0257843	0.0242893	0.0361017
a	0.0288131	0.0477516	0.0707616	0.0758113	0.0522875	0.0636512	0.072238	0.0562684	0.0396186	0.0543863	0.0714077	0.0443748	0.0182837	0.0152933	0.0183063	0.0297285	0.0370945	0.0478667	0.0294061	0.0281988	0.0121418	0.0157292	0.0705811
arraché	0.0507322	0.0681103	0.0833323	0.0796355	0.0673182	0.0644903	0.0329092	0.0133655	0.00977021	0.0124909	0.0282965	0.0330256	0.0498969	0.0423165	0.036228	0.0367435	0.042085	0.0603636	0.0376444	0.0290921	0.0290722	0.0300162	0.0630651
le	0.0340675	0.0295158	0.0256815	0.0248742	0.0251537	0.0256533	0.0256632	0.026871	0.0259761	0.0342299	0.037562	0.0378465	0.0399316	0.0421866	0.0531983	0.0525582	0.0535267	0.056892	0.0491643	0.0486954	0.0648267	0.0750407	0.110885
safoutier	0.057903	0.047264	0.0322083	0.0295061	0.0210934	0.0156947	0.0105373	0.00780464	0.00692956	0.0118509	0.0198934	0.0144215	0.013882	0.0205885	0.0397677	0.0246629	0.0433827	0.0795542	0.047105	0.0533151	0.0408472	0.084877	0.276911
qui	0.060624	0.0340939	0.0242861	0.0187885	0.0110097	0.00531525	0.00400669	0.00219674	0.00164938	0.00500173	0.00745032	0.00976179	0.0351617	0.0242757	0.0549101	0.0444585	0.0504569	0.0733194	0.0584941	0.0825306	0.0775761	0.0657112	0.248922
était	0.262516	0.147312	0.0962233	0.0475878	0.0143742	0.0075299	0.00578542	0.00619499	0.00440998	0.0034295	0.00341519	0.00331049	0.00511979	0.00692019	0.0142472	0.0123622	0.0215209	0.027792	0.0307681	0.0452313	0.0409283	0.0495263	0.143495
là	0.158843	0.095551	0.0845264	0.0488832	0.0242904	0.0176155	0.0137186	0.00701478	0.00792444	0.00582519	0.00587727	0.00477262	0.00765458	0.00776958	0.0136831	0.0181418	0.0344977	0.0546525	0.0580287	0.07237	0.0654968	0.0546846	0.138179
</S>	0.109361	0.0669186	0.0684896	0.0559347	0.0352228	0.0232934	0.0182688	0.0111421	0.00991597	0.0110694	0.0132466	0.01259	0.0155112	0.0179664	0.0357786	0.0433811	0.0399842	0.0540823	0.0547546	0.0671406	0.0687571	0.0661688	0.101022
