 	i	b	a	r	a	á	d	z	á	l	e	s	ε	r	í	w	á	r	e	w	á	b	e	a	b	í	í	l	á	m	b	á	m	o	r	o	o	t	s	á	o	d	z	á	á	k	a	á	</S>
ibara	0.0421107	0.0336705	0.0348388	0.0143508	0.0312438	0.034399	0.0312148	0.0425282	0.0426359	0.0322925	0.0419344	0.042948	0.044507	0.0455613	0.041362	0.025131	0.0205734	0.0136546	0.0110503	0.00840265	0.011242	0.00478775	0.00884331	0.00577117	0.0153816	0.00906972	0.0136975	0.00710406	0.00585237	0.00735037	0.00686696	0.0102816	0.00925225	0.0127694	0.0113721	0.00768265	0.00640369	0.00703873	0.00715318	0.00883817	0.0219038	0.0131285	0.0217762	0.024949	0.0236153	0.0323933	0.0178821	0.0184516	0.0147322
avait	0.024302	0.0238509	0.0415984	0.0455917	0.0414988	0.0553552	0.0566403	0.0605822	0.0489275	0.0450404	0.0360541	0.0395738	0.0221524	0.00696974	0.0114149	0.00845592	0.0224893	0.0138506	0.0141617	0.02759	0.0208263	0.0113816	0.0141324	0.0119676	0.0189925	0.0260049	0.0200657	0.0126265	0.00756834	0.00871442	0.0146301	0.0145671	0.0253761	0.0149866	0.00992316	0.0160462	0.0152562	0.00711541	0.0109597	0.0203797	0.00486078	0.00943788	0.00846673	0.00753697	0.00392546	0.00518896	0.00794087	0.00222184	0.00280007
l'	0.0307174	0.0259489	0.0302104	0.0214509	0.0180517	0.0196802	0.0177096	0.0112495	0.0167911	0.0164373	0.0167436	0.0147972	0.0278723	0.034068	0.0494701	0.081225	0.0553347	0.0315912	0.015338	0.0152051	0.0141804	0.0140717	0.00751177	0.0110852	0.0164298	0.0322642	0.0311018	0.0147692	0.0131448	0.0131123	0.011844	0.0214993	0.0184891	0.0163321	0.0239954	0.0155869	0.011772	0.0169678	0.0119016	0.0140391	0.0153803	0.0139509	0.0180638	0.0193813	0.0170193	0.0115312	0.0125291	0.00693026	0.00522335
orgueil	0.00909304	0.0133182	0.0183499	0.0262439	0.0280076	0.0251007	0.0627083	0.0408002	0.0838543	0.0477157	0.038886	0.0207539	0.016945	0.00878683	0.01452	0.0198554	0.0538228	0.0214676	0.0179573	0.0126146	0.0178558	0.0184314	0.0177681	0.0320822	0.0205558	0.026113	0.0308094	0.00868484	0.016838	0.00817528	0.0107241	0.0155952	0.0100393	0.0136765	0.0135093	0.013922	0.0155494	0.014303	0.0134152	0.0220501	0.00900385	0.0155258	0.0063802	0.00936935	0.00416636	0.00537956	0.00382466	0.00946451	0.0159867
de	0.0210343	0.0218187	0.0107839	0.00904805	0.0115183	0.00653897	0.00423943	0.00332857	0.00445797	0.0065814	0.00846377	0.00903229	0.00977831	0.0171713	0.013152	0.0165062	0.0318043	0.0279755	0.0396008	0.0204306	0.0208189	0.0246075	0.0337787	0.0284596	0.0479211	0.0292939	0.0178575	0.0265613	0.0191192	0.0190822	0.0163897	0.0298374	0.0311231	0.0354639	0.0371424	0.055411	0.0515677	0.0421328	0.0462354	0.0206318	0.00965523	0.00607587	0.00444584	0.0030481	0.00210383	0.0029597	0.00250942	0.0115606	0.0309416
ne	0.0312836	0.0199048	0.0132198	0.0113414	0.0129188	0.0150811	0.0192271	0.0211841	0.0174824	0.0236409	0.0265551	0.0174103	0.0222638	0.0347553	0.0400256	0.0541819	0.0822518	0.039919	0.0464863	0.0468111	0.0460829	0.0234846	0.0188352	0.0179207	0.0491699	0.0270763	0.0278872	0.00808568	0.00819494	0.0111359	0.0102418	0.0121405	0.0180209	0.0115466	0.0115375	0.0104177	0.0110077	0.0109865	0.0162374	0.0131029	0.00506664	0.00433665	0.00582234	0.00488104	0.0021536	0.00328462	0.00258637	0.00370573	0.00910606
pas	0.0129705	0.00996258	0.00978933	0.00850687	0.0109565	0.0126179	0.0139194	0.0118315	0.00983145	0.0107561	0.0106937	0.00938651	0.0105048	0.0123785	0.0111901	0.0136707	0.021096	0.0166192	0.0268488	0.0361175	0.0348823	0.0429388	0.034526	0.0456338	0.0456753	0.0438311	0.0491565	0.0391323	0.0446038	0.0355449	0.0495925	0.0221647	0.0248467	0.0216719	0.0160448	0.0142438	0.0234743	0.00889041	0.00934512	0.0157903	0.00348043	0.00801148	0.00782988	0.00797457	0.00652093	0.00820365	0.00874602	0.0187781	0.0288177
manger	0.0203415	0.0153047	0.0161563	0.0119423	0.0152903	0.0136343	0.0117011	0.00748927	0.007156	0.0128023	0.0143784	0.0190048	0.018185	0.0268771	0.0249333	0.0318892	0.0221342	0.0236586	0.0283482	0.0426685	0.0242102	0.032129	0.0218467	0.0307817	0.0247213	0.0364278	0.0325068	0.0308072	0.0365608	0.0243034	0.026477	0.0191527	0.0221844	0.0213301	0.0241439	0.0143998	0.0192678	0.0109826	0.00529754	0.01519	0.00510812	0.0103378	0.0104986	0.0128252	0.00834387	0.012648	0.0130418	0.0306292	0.0399513
des	0.0269616	0.0226192	0.0192418	0.0112714	0.01497	0.00744132	0.00540857	0.00486005	0.00405677	0.0124933	0.0127175	0.0190853	0.0161862	0.0242772	0.0214632	0.026928	0.0180671	0.0248247	0.0518165	0.0441558	0.0206424	0.032953	0.0376925	0.043293	0.0319745	0.0307778	0.0210144	0.0282324	0.0239861	0.0231798	0.018482	0.0225045	0.0251178	0.0242042	0.0240779	0.0136807	0.0158708	0.00727351	0.00383211	0.0114053	0.00415309	0.0039412	0.00491768	0.00982967	0.00710133	0.0122141	0.0119238	0.0311909	0.0656879
aliments	0.0197792	0.0156923	0.0116227	0.00897232	0.00610549	0.00513278	0.00454685	0.00367381	0.00456239	0.00566709	0.0065201	0.00888938	0.00768994	0.0108771	0.0101398	0.0133428	0.0141311	0.020012	0.033031	0.0213943	0.0210491	0.0373948	0.038935	0.0453691	0.0334536	0.034801	0.0346638	0.0352119	0.042827	0.0323761	0.033647	0.020137	0.0233021	0.0328625	0.0271133	0.0183627	0.0305658	0.0104135	0.00368995	0.00851803	0.00205629	0.00411435	0.00585443	0.0197391	0.0111587	0.0213752	0.0229846	0.0502094	0.0660324
préparés	0.0468741	0.0336043	0.0282926	0.0225023	0.0124937	0.00967483	0.0067309	0.0044216	0.00642535	0.00704498	0.0101195	0.00884653	0.0104126	0.0153513	0.0133951	0.0160775	0.0139893	0.0247724	0.0333512	0.017795	0.0253083	0.0393775	0.0362099	0.0368401	0.0264451	0.0261639	0.0294177	0.0281871	0.0345592	0.0237945	0.0295891	0.0122587	0.00966575	0.0143685	0.00932787	0.00705136	0.0138548	0.00320596	0.0021809	0.00671932	0.00206945	0.00306106	0.00527761	0.0166829	0.0118953	0.0191344	0.0242137	0.0603333	0.100632
par	0.0213352	0.0173084	0.0170689	0.0120841	0.00951388	0.00856163	0.00801087	0.00478377	0.00565457	0.00466502	0.00529113	0.0051247	0.00565227	0.00799175	0.00713041	0.0085935	0.0080714	0.0152889	0.0259622	0.0202212	0.0211456	0.034128	0.0391136	0.0341611	0.02306	0.0300587	0.0427212	0.0358887	0.0529257	0.0262587	0.0370851	0.0187865	0.0154927	0.022279	0.0146	0.0117842	0.0155995	0.00656064	0.00435796	0.0167221	0.00214747	0.00872478	0.0132627	0.0251288	0.0209729	0.0238669	0.0258387	0.0597312	0.0992841
un	0.0241589	0.0211104	0.0222523	0.016479	0.0127766	0.0116318	0.0107266	0.0056001	0.00714369	0.00580356	0.00639399	0.00528482	0.00628693	0.00875264	0.00743946	0.00899507	0.00701242	0.0143158	0.0279857	0.0171063	0.0250477	0.0261056	0.0372714	0.0287545	0.0250619	0.0213139	0.0297483	0.0346404	0.0566307	0.0211098	0.0402012	0.012107	0.00942606	0.0150947	0.00754695	0.00634629	0.0161063	0.0031159	0.00291006	0.0141706	0.00533957	0.0102313	0.0168291	0.0333765	0.028156	0.034867	0.0409401	0.0633098	0.0869852
inconnu	0.0253412	0.0175584	0.0184211	0.0122072	0.00969392	0.0102294	0.0100214	0.00484512	0.00642715	0.0051643	0.00647267	0.00611262	0.00702952	0.00944134	0.0088054	0.0108554	0.0128415	0.0172251	0.0284068	0.0227124	0.0230852	0.0262961	0.0410704	0.0325049	0.0216785	0.0239361	0.0340157	0.0245798	0.0383753	0.023684	0.0325002	0.0147121	0.016467	0.0202718	0.0104305	0.00724994	0.0120796	0.00451147	0.00282988	0.0179077	0.00307382	0.0109529	0.0181152	0.0301865	0.0272165	0.0356797	0.042159	0.0584438	0.0961744
</S>	0.0232258	0.0183676	0.0154214	0.0145921	0.0136013	0.0129036	0.011198	0.00920231	0.0108397	0.0120724	0.0124795	0.0100626	0.0131743	0.0131115	0.0108526	0.00969646	0.0138306	0.0134567	0.0204513	0.0145595	0.0233348	0.0327165	0.0288786	0.0275999	0.0266119	0.0276962	0.0338425	0.0411526	0.0403813	0.0270375	0.04193	0.019559	0.0215841	0.026547	0.0171445	0.0217231	0.0331857	0.014145	0.0117004	0.0225216	0.00895827	0.0119171	0.0148234	0.0204451	0.0164397	0.0196203	0.0208378	0.0311417	0.0434251
