 	o	s	á	á	b	ó	ó	l	é	í	n	ω	ó	d	z	e	b	v	ú	</S>
le	0.0122436	0.0169168	0.0345382	0.0477213	0.0877711	0.040525	0.0389899	0.0400518	0.0299703	0.0385704	0.0379914	0.040099	0.0608856	0.0825177	0.0841304	0.03684	0.0419009	0.057839	0.0755082	0.0949894
safoutier	0.0108795	0.0188047	0.0273949	0.0129656	0.0527477	0.0297525	0.0684517	0.137523	0.126071	0.132587	0.136874	0.0598251	0.0564419	0.0392276	0.0319169	0.0223943	0.0181533	0.0105784	0.00329187	0.00411835
sur	0.0900288	0.117432	0.0980655	0.120586	0.055329	0.0608212	0.0620264	0.0454906	0.0480125	0.0513029	0.0323627	0.0161296	0.0263675	0.0309429	0.0363276	0.0237426	0.0245895	0.0231981	0.0265622	0.0106822
lequel	0.079776	0.0398416	0.0418835	0.0239014	0.0158347	0.0183878	0.02285	0.0191007	0.0191019	0.0259703	0.0245069	0.0532101	0.066177	0.0701547	0.0625494	0.0424192	0.0570619	0.0713867	0.0805414	0.165345
tu	0.172626	0.139234	0.0926352	0.044735	0.0274616	0.0215139	0.0234763	0.0269412	0.0183444	0.0259033	0.0269647	0.025756	0.0249813	0.0239183	0.0271201	0.0417469	0.0503712	0.0427344	0.0450686	0.0984676
as	0.0901274	0.111328	0.115621	0.0936753	0.0524906	0.0439775	0.028793	0.0251523	0.0218265	0.0225201	0.0230757	0.018628	0.0221501	0.0296516	0.0393476	0.0483564	0.0551522	0.0374656	0.0400677	0.0805927
grimpé	0.0667008	0.0428142	0.05207	0.0266406	0.0218709	0.0103362	0.00900482	0.00587752	0.00607528	0.00526851	0.006416	0.00952715	0.0161161	0.0360535	0.0525155	0.115097	0.125385	0.113497	0.131885	0.146848
était	0.148243	0.0788816	0.0562879	0.0299961	0.0317747	0.0257574	0.0230105	0.0304615	0.0272454	0.0403405	0.038277	0.0299843	0.0206506	0.0170549	0.0154986	0.0253768	0.0366812	0.0493553	0.0504698	0.224653
celui-ci	0.109847	0.0419217	0.037052	0.0317679	0.0413077	0.0621567	0.0823641	0.0772374	0.0725637	0.0559285	0.0547086	0.02614	0.0216047	0.0158423	0.0130581	0.0171972	0.022561	0.0250025	0.0256271	0.166112
</S>	0.125089	0.0745359	0.0650603	0.0474801	0.0376144	0.0300433	0.030147	0.0332884	0.0337605	0.0426071	0.0440244	0.0392084	0.0319725	0.0238985	0.0192897	0.0287647	0.0423899	0.0626495	0.062241	0.125935
