 	o	n	d	i	e	m	ú	u	a	s	í	n	i	m	á	n	g	á	á	s	á	a	ó	m	á	á	m	έ	n	έ	</S>
en	0.00840953	0.0120379	0.0171825	0.0146071	0.0128211	0.0142294	0.0139086	0.0186114	0.0187811	0.0171107	0.0164657	0.0241832	0.0188176	0.018274	0.0177685	0.0138452	0.0119804	0.0150836	0.0290889	0.0366424	0.0329291	0.0454083	0.0624903	0.0408235	0.060719	0.065458	0.0706377	0.064533	0.0836105	0.0723477	0.0511939
ce	0.0425811	0.138112	0.17266	0.20974	0.181605	0.0579483	0.0484341	0.0257607	0.0145524	0.00447677	0.00189249	0.00219431	0.00228509	0.0037049	0.00668132	0.0137728	0.0172457	0.0102037	0.00379052	0.00376411	0.00214428	0.00292713	0.0028484	0.00646337	0.00615439	0.0045379	0.00601826	0.00269054	0.00235923	0.00153431	0.000916626
temps	0.0347194	0.0320471	0.0245917	0.0263349	0.037545	0.0340511	0.0262071	0.0367187	0.0387533	0.0317433	0.0198328	0.0139275	0.00962912	0.0109838	0.0152299	0.0276116	0.0361854	0.0486732	0.0415985	0.0614596	0.0568327	0.0796337	0.0492328	0.0801598	0.0458617	0.0279946	0.0195095	0.0104416	0.00568629	0.0105408	0.00626375
là	0.0170962	0.0247688	0.0267591	0.0281168	0.0227721	0.0211657	0.0210977	0.0526444	0.0571497	0.0786003	0.128219	0.0890623	0.0514041	0.0350388	0.0426208	0.0391959	0.0315876	0.0155571	0.0152452	0.0130283	0.0130834	0.0101669	0.0095092	0.00707385	0.00924132	0.00970823	0.0171388	0.0136919	0.0262914	0.0247536	0.0482115
ma	0.0402238	0.0405287	0.0429165	0.0448254	0.0378422	0.044422	0.0326384	0.032335	0.0306388	0.0298906	0.0305531	0.0272985	0.00883033	0.00775237	0.0106226	0.0213601	0.0284517	0.0486695	0.0408983	0.0513367	0.0447857	0.0473085	0.0327887	0.0265563	0.0354057	0.033781	0.0287588	0.0213634	0.0167338	0.0238345	0.0366491
machine	0.0330874	0.0255729	0.0353288	0.0357747	0.0429598	0.0390959	0.0432083	0.0455079	0.0370891	0.0211378	0.0192546	0.0190418	0.0152821	0.011012	0.0191507	0.0283262	0.0368112	0.0874007	0.047286	0.043599	0.0342553	0.0359397	0.0221315	0.034754	0.0296423	0.0276424	0.0304884	0.0194382	0.0205917	0.0195315	0.039658
était	0.0412238	0.0291118	0.0326772	0.0237253	0.0236297	0.017137	0.0175419	0.0219914	0.0316349	0.0437932	0.0345838	0.0353907	0.0332664	0.045021	0.0514843	0.0391306	0.0346643	0.0466849	0.0271918	0.0450064	0.0269231	0.039035	0.0216838	0.0397476	0.0260984	0.0262206	0.0189853	0.0148432	0.0109715	0.0276493	0.0729518
encore	0.0378059	0.0348021	0.0228041	0.0136679	0.0120408	0.00865147	0.00859785	0.0101132	0.0105142	0.0125844	0.0131298	0.0144113	0.0256467	0.0364994	0.0481666	0.0362279	0.0221644	0.0269418	0.0141763	0.0244773	0.025697	0.0205937	0.0145754	0.0353777	0.0430409	0.046173	0.0353623	0.0549921	0.031488	0.101986	0.157291
intacte	0.0679637	0.0473004	0.0350783	0.0189864	0.0163392	0.0150684	0.0175064	0.0196377	0.017773	0.0391464	0.0448623	0.0460964	0.072811	0.0547005	0.043903	0.0263351	0.0212204	0.0139485	0.00835458	0.017098	0.0150651	0.0131142	0.00955696	0.0127998	0.0183794	0.0226909	0.0238262	0.0357405	0.030637	0.0647784	0.109282
</S>	0.0671447	0.0399312	0.0334609	0.0247215	0.0196158	0.0135644	0.0132111	0.0124108	0.0102407	0.0162192	0.0151839	0.013798	0.0191928	0.0242559	0.0267825	0.0346061	0.0286641	0.0218474	0.017554	0.036588	0.032784	0.0269732	0.0259736	0.0252295	0.0318598	0.0381233	0.0406673	0.0446868	0.0551867	0.0811991	0.108324
