 	b	á	a	k	á	n	d	á	i	s	i	m	b	á	m	é	k	ó	r	ó	y	á	m	b	ó	s	i	</S>
on	0.0768747	0.0991978	0.0913161	0.0776918	0.0808929	0.0669714	0.0678812	0.0544417	0.0512883	0.037257	0.0386744	0.0262041	0.0264699	0.0165194	0.0145626	0.0185786	0.0204174	0.0131382	0.0118304	0.0120963	0.0121243	0.0123539	0.0109199	0.0152546	0.0132466	0.0139613	0.00975742	0.0100776
fabrique	0.014764	0.0188404	0.0145755	0.0128583	0.0124207	0.0146922	0.0141723	0.018125	0.0303763	0.0640571	0.0866242	0.119932	0.0915449	0.0918719	0.0868065	0.0737429	0.0507573	0.0538742	0.0140803	0.0229958	0.0108035	0.0120576	0.0256227	0.01335	0.00842108	0.00826193	0.0069069	0.00746428
le	0.0279533	0.0216979	0.0148149	0.0187336	0.0121894	0.0192367	0.0177461	0.045932	0.0414459	0.0459493	0.0578149	0.0439962	0.0458957	0.0521365	0.0446089	0.0480419	0.0519297	0.0383966	0.0410415	0.0367056	0.0335306	0.0276831	0.0289769	0.0318332	0.0314515	0.043283	0.0516973	0.0252778
tam-tam	0.0263675	0.037778	0.039729	0.0387057	0.0320312	0.0481001	0.037234	0.0438036	0.043242	0.0410497	0.0410648	0.0633415	0.0414006	0.0348796	0.0394661	0.0314111	0.0471548	0.0335278	0.0179895	0.018962	0.0180375	0.0241045	0.0358562	0.0228378	0.0280751	0.0324063	0.0315405	0.0499036
avec	0.0607315	0.0278447	0.0311946	0.0301525	0.0205382	0.0452012	0.0333295	0.0363809	0.0222011	0.0240027	0.0220464	0.0183543	0.0198837	0.0214223	0.0169774	0.0132235	0.0151536	0.0277514	0.0451715	0.0317077	0.0332007	0.0310676	0.026667	0.0296097	0.0247706	0.042963	0.0547601	0.193692
la	0.0241184	0.0156475	0.0132681	0.0137758	0.0132368	0.0152472	0.0156252	0.0165869	0.0181973	0.0198547	0.0201379	0.0222117	0.0267207	0.0243945	0.0237412	0.0246115	0.0447006	0.0524147	0.0804933	0.0697958	0.0730368	0.078158	0.0490364	0.0605312	0.0407337	0.050477	0.0504185	0.0428284
peau	0.0178994	0.01261	0.0100844	0.0101387	0.00985437	0.0120164	0.0141306	0.0161338	0.0200678	0.0203788	0.0303626	0.0321636	0.0423691	0.0442882	0.0420875	0.0315815	0.0398076	0.0601617	0.080773	0.0554866	0.0549039	0.049629	0.0501072	0.0335247	0.0240082	0.0494076	0.0439474	0.0920765
de	0.0192601	0.0191261	0.0155912	0.0146907	0.0117338	0.0140802	0.015216	0.0160877	0.016515	0.0241243	0.0235683	0.0174661	0.0165794	0.0126889	0.0116658	0.00839919	0.0107537	0.0258715	0.0540384	0.0518401	0.0486961	0.0437774	0.0652259	0.0607397	0.057455	0.0996622	0.0824	0.142747
cabri	0.0280929	0.0243506	0.0203918	0.0200448	0.0171742	0.0128395	0.014369	0.0133367	0.0142085	0.0116287	0.0107326	0.00976709	0.00929374	0.00796213	0.00850892	0.00757197	0.0136382	0.0232819	0.0390573	0.0381688	0.0426151	0.0325716	0.0415992	0.0604235	0.089147	0.109783	0.121711	0.15773
</S>	0.0490913	0.0332266	0.0300224	0.0274183	0.0233785	0.0218205	0.0222042	0.0267302	0.0252891	0.0152634	0.0155045	0.012001	0.0104712	0.00956042	0.0115301	0.00865597	0.0112361	0.0156814	0.0268551	0.0259677	0.0247008	0.0186842	0.0246764	0.0370294	0.0575903	0.0850673	0.0999071	0.230436
