 	n	g	á	í	y	ε	i	b	h	á	m	í	m	ω	ω	l	a	n	ω	m	ó	y	á	á	l	e	á	p	á	n	y	a	a	b	á	s	í	b	á	b	í	s	í	á	b	a	á	</S>
je	0.108611	0.343923	0.214167	0.0845758	0.0378296	0.010929	0.00394443	0.00540908	0.00383591	0.00521856	0.00553188	0.00462299	0.00419972	0.00757272	0.00698754	0.00706567	0.00525235	0.00746087	0.00509216	0.00544893	0.00439443	0.00490646	0.00336291	0.00388606	0.00304445	0.00398373	0.00312011	0.00440584	0.00356176	0.00277568	0.00335764	0.00540171	0.00377548	0.00590474	0.00475776	0.00406485	0.00271452	0.00353014	0.00421363	0.00380844	0.00363004	0.00459983	0.00504285	0.00705696	0.00601145	0.00588972	0.0058151	0.00530622
suis	0.0254624	0.0118166	0.0187164	0.018119	0.00603977	0.0105138	0.012275	0.0382101	0.0479873	0.0457084	0.0367556	0.0406572	0.0347286	0.0378999	0.0353043	0.032608	0.0289732	0.022616	0.0198097	0.0168221	0.0110557	0.0153937	0.0129381	0.0142534	0.00869325	0.0107364	0.00923729	0.0145548	0.0151436	0.0104699	0.013892	0.0166513	0.0154749	0.0138524	0.0171448	0.0214868	0.020155	0.020664	0.0193527	0.0202679	0.0236465	0.0257063	0.0183985	0.0215779	0.0208287	0.0173171	0.0154475	0.0146361
venu	0.040313	0.0205244	0.0232953	0.0288734	0.0196388	0.0214518	0.0254168	0.0172174	0.0172252	0.0184716	0.0196231	0.0275511	0.0350968	0.0317192	0.0263392	0.0161926	0.0180181	0.0280708	0.0194764	0.0163895	0.0107598	0.0192743	0.0335983	0.0261471	0.0172206	0.0192685	0.0166025	0.0230841	0.0204415	0.0218736	0.019537	0.0163079	0.0138674	0.0215769	0.0245657	0.0485787	0.0376533	0.0155195	0.0124917	0.014498	0.0163423	0.0158699	0.0155454	0.0118553	0.0115864	0.00914178	0.00787857	0.00800917
ici	0.0117886	0.00787016	0.00591617	0.0109289	0.022948	0.0376558	0.0346088	0.0309998	0.0359574	0.0355995	0.0246063	0.0321081	0.0508271	0.0234279	0.0211713	0.0179753	0.0272244	0.0402397	0.0565227	0.0401667	0.0325491	0.0204178	0.0178664	0.022611	0.0240825	0.0131115	0.0132299	0.0177741	0.0155318	0.013721	0.009351	0.0115986	0.00651882	0.00985191	0.00672085	0.00802693	0.0110518	0.00879718	0.00918117	0.0101309	0.0105367	0.0173661	0.0138675	0.0209656	0.0293256	0.0161067	0.0203331	0.0208319
pour	0.00398849	0.00290205	0.00189064	0.00205074	0.0115967	0.0207891	0.0153745	0.0102301	0.0104329	0.0107201	0.00731629	0.010208	0.0198862	0.00985306	0.0113335	0.0098687	0.0137322	0.0232215	0.0309121	0.0293284	0.0285022	0.0356652	0.0329329	0.0343218	0.0356005	0.0313162	0.0309965	0.0358918	0.030917	0.029807	0.0322002	0.0307308	0.0303776	0.0342034	0.0319443	0.0381533	0.0354426	0.014571	0.0152415	0.0141446	0.0156632	0.0202141	0.014744	0.0154291	0.017494	0.0110037	0.0207164	0.0261397
m'	0.0105717	0.00547691	0.00363921	0.00197851	0.00489388	0.00784106	0.0111792	0.00983053	0.00847152	0.00807061	0.00832254	0.0106838	0.0189642	0.0148628	0.0197188	0.0156924	0.0195038	0.0287388	0.0250632	0.0228052	0.020146	0.0250902	0.0266901	0.0210865	0.0233413	0.0278002	0.0292218	0.0309542	0.0312252	0.024744	0.0340171	0.0218895	0.0357669	0.0250329	0.0382489	0.0541725	0.044853	0.0197452	0.0268532	0.02274	0.0239693	0.0209452	0.0178593	0.0141193	0.0146557	0.0161962	0.0180922	0.0342354
entretenir	0.0187007	0.00515038	0.00449491	0.00406618	0.00516342	0.00928336	0.0125143	0.00714547	0.00634549	0.00597578	0.00644572	0.00740986	0.0133046	0.0101528	0.0132305	0.01254	0.0140907	0.019053	0.0187697	0.022646	0.0238386	0.0263579	0.0349233	0.0266685	0.0280411	0.0316948	0.0389146	0.0332864	0.0340983	0.0292204	0.0378908	0.0246038	0.0448576	0.0276632	0.0470992	0.0636451	0.0430781	0.0182792	0.0192808	0.0165175	0.0165536	0.0167594	0.0155683	0.0148454	0.0152019	0.0149773	0.0171007	0.0225514
avec	0.00679634	0.00351154	0.00378944	0.00288754	0.00296307	0.00519001	0.0066738	0.00827788	0.00755899	0.00841766	0.00822909	0.00874125	0.0126656	0.0103998	0.011166	0.00866426	0.0102139	0.0150485	0.0159273	0.0216789	0.020256	0.0230168	0.0439629	0.0378716	0.035498	0.0392466	0.0399113	0.046953	0.0452011	0.0526243	0.0559808	0.0289298	0.0543016	0.0315032	0.0518245	0.0571275	0.0445429	0.0140429	0.00854468	0.00615838	0.00655631	0.00929471	0.00931972	0.00954409	0.00996661	0.00943139	0.0112506	0.0183381
toi	0.0275099	0.00979061	0.0082466	0.00850727	0.00863406	0.0116303	0.0113363	0.00901286	0.00799352	0.00830728	0.00686419	0.00785481	0.0115145	0.00967899	0.0115828	0.0111063	0.0130477	0.0208334	0.0192589	0.0206561	0.0192676	0.0209939	0.02902	0.0263317	0.0302641	0.0303725	0.0390404	0.0317358	0.0335708	0.0289466	0.0356197	0.0267992	0.0334316	0.0242799	0.0289372	0.0292521	0.0258333	0.0151212	0.0142246	0.014269	0.0162277	0.0223661	0.0279013	0.030127	0.0299116	0.0283203	0.0311645	0.0333039
concernant	0.0133404	0.0109457	0.0110579	0.0106092	0.0103979	0.00670352	0.00597723	0.00558871	0.0061636	0.00678668	0.0066284	0.00653439	0.00867816	0.0073076	0.00851907	0.00976842	0.0101085	0.0121602	0.0149949	0.0193386	0.0219333	0.0255966	0.0296409	0.0297777	0.0323477	0.0304734	0.0316063	0.0306811	0.028271	0.0385942	0.0366601	0.0241071	0.0355222	0.0251639	0.0314634	0.0341415	0.0287941	0.0122303	0.0119079	0.0166972	0.0217432	0.0243786	0.0307143	0.034837	0.0339768	0.0222147	0.0406692	0.0442469
