 	a	s	w	é	b	á	á	l	ω	n	d	ώ	ώ	e	m	b	í	b	á	a	d	z	w	á	o	s	ú	á	s	ó	b	h	í	á	</S>
les	0.083409	0.0411841	0.0407554	0.038136	0.0178452	0.0343815	0.0250378	0.0454527	0.0379333	0.0402623	0.0552078	0.038969	0.0374149	0.0355876	0.0229296	0.0188096	0.0147974	0.0118196	0.0148344	0.0155466	0.0123275	0.00857094	0.0116854	0.0178894	0.0149343	0.023254	0.0298712	0.0260179	0.0275811	0.0323327	0.0272269	0.0393565	0.0221437	0.0208769	0.0156177
poissons	0.037836	0.0455618	0.155945	0.0967278	0.0826626	0.0437819	0.102394	0.0510297	0.0465596	0.0254309	0.0373137	0.0127269	0.0167384	0.00911925	0.0147742	0.0141374	0.0094088	0.00917745	0.0131514	0.0182377	0.0118263	0.0142646	0.0105897	0.00788821	0.00943934	0.015713	0.0126511	0.00655695	0.00940773	0.0149062	0.0129218	0.0113172	0.00866169	0.00813695	0.0030042
qui	0.00953961	0.00930889	0.0159568	0.0210782	0.0223564	0.0244159	0.0338041	0.0335334	0.0407181	0.0438842	0.0443803	0.0641005	0.0441453	0.0707603	0.0266297	0.0209452	0.0178036	0.0144171	0.0126362	0.00881441	0.00793894	0.00990476	0.0128013	0.0245151	0.0447968	0.044351	0.0559461	0.0308072	0.0401457	0.0462708	0.0366712	0.0320326	0.012351	0.0182874	0.00395184
entrent	0.0230919	0.0373187	0.047814	0.0391445	0.0416703	0.0466859	0.0475436	0.0282367	0.0405035	0.0227987	0.0157481	0.0186785	0.0202743	0.0193898	0.0110913	0.0204683	0.0168234	0.0121514	0.0186885	0.0174904	0.0238425	0.0215698	0.0426199	0.0691959	0.0337062	0.0379882	0.0345767	0.0286536	0.0258319	0.028066	0.0195447	0.0231637	0.0112008	0.0189938	0.0354342
dans	0.0344295	0.0240062	0.0206718	0.0252489	0.0172883	0.0174299	0.022053	0.0196106	0.027797	0.0252467	0.0207222	0.0312465	0.0280332	0.0440855	0.0473775	0.0515175	0.056543	0.0418435	0.0367983	0.0351563	0.0189435	0.0256109	0.00768106	0.0112065	0.012768	0.0247417	0.0215475	0.0144878	0.0195175	0.0313333	0.0284257	0.0347116	0.021488	0.0369296	0.063502
le	0.0110078	0.00952419	0.00996267	0.00888313	0.00904297	0.0136486	0.0126147	0.020191	0.0259751	0.0390031	0.0500185	0.0512338	0.0468599	0.0620391	0.0501348	0.0619174	0.0591072	0.0401108	0.0352662	0.0347456	0.0236736	0.0320115	0.0145958	0.00794635	0.0121965	0.0133524	0.0113864	0.0117442	0.0149686	0.0172954	0.0220217	0.0258844	0.051114	0.0459254	0.044597
tuyau	0.00757888	0.00614598	0.00599504	0.00740354	0.00766348	0.0102841	0.0103546	0.0152975	0.0219592	0.0267375	0.0303549	0.045302	0.0387698	0.0450635	0.055623	0.0628783	0.0678486	0.0633637	0.0499293	0.038438	0.0218116	0.0268262	0.00716624	0.00965213	0.0106008	0.0164433	0.0160423	0.01166	0.0177926	0.0217748	0.0282609	0.0352782	0.044902	0.055325	0.0594727
embí	0.0249516	0.0251701	0.0251283	0.0265703	0.0263314	0.0323858	0.0305846	0.025102	0.025782	0.018603	0.021172	0.034845	0.0438889	0.0535808	0.0398864	0.036237	0.0351319	0.0334744	0.0323175	0.0173984	0.0117324	0.0130637	0.00596769	0.0154582	0.00915281	0.0131633	0.0197948	0.0130907	0.0210367	0.0296009	0.0289184	0.042362	0.0164978	0.0315163	0.120103
finissent	0.0600858	0.0437392	0.030388	0.0256648	0.0110954	0.00948587	0.00930267	0.00903829	0.0146288	0.00915663	0.020023	0.0380549	0.045127	0.0489583	0.0595989	0.0517965	0.0479906	0.0636009	0.0448244	0.0451019	0.0230202	0.0174477	0.00742433	0.0144891	0.00384617	0.0105432	0.0137753	0.0114763	0.0156046	0.0208443	0.0181032	0.0227634	0.0141533	0.0212765	0.0975708
dans	0.014682	0.0196967	0.0171289	0.0157813	0.0130107	0.0127532	0.0130458	0.00655247	0.00883294	0.00433234	0.0105605	0.0159117	0.020002	0.0181168	0.0258245	0.0390931	0.0387275	0.0387688	0.0442234	0.0477303	0.0335346	0.0511324	0.022844	0.027495	0.0122593	0.0239532	0.0332703	0.0356784	0.0273483	0.0324004	0.0297181	0.0497231	0.0333686	0.0514488	0.11105
la	0.0164131	0.0178947	0.0177485	0.0164692	0.0136324	0.0104523	0.0123033	0.00514271	0.00692974	0.00438707	0.00439448	0.00548206	0.00543363	0.00613092	0.00695648	0.0127669	0.0154263	0.01383	0.0203423	0.0232187	0.0221117	0.0318139	0.0287856	0.0268164	0.0376931	0.049698	0.0623707	0.069152	0.0598454	0.0600832	0.0586971	0.064547	0.0584376	0.0597366	0.0748567
nasse	0.0205076	0.0178031	0.0213261	0.024252	0.0170698	0.00948121	0.0149973	0.00765024	0.0150188	0.0104924	0.0109523	0.0148699	0.0138007	0.0110244	0.010921	0.0155164	0.0221372	0.021199	0.0227353	0.0236992	0.0179327	0.0192841	0.0186487	0.020616	0.02339	0.0358722	0.0510046	0.0492275	0.0587673	0.0649505	0.0642256	0.0663048	0.0561453	0.0517138	0.0764629
</S>	0.0281788	0.023389	0.0139136	0.0105521	0.00971229	0.00944305	0.0105705	0.00945172	0.015557	0.00894487	0.00909786	0.0204693	0.0205628	0.0152054	0.0104131	0.0228392	0.0235272	0.029591	0.0407953	0.0446946	0.0289993	0.0405469	0.0368672	0.0370923	0.0234388	0.0295416	0.0333391	0.0512902	0.034114	0.0270651	0.0266616	0.0295194	0.029543	0.0493764	0.145696
