 	ω	l	a	b	h	a	a	m	ó	t	s	ε	y	á	ε	b	a	a	y	á	a	l	i	m	á	o	b	h	í	k	a	á	</S>
il	0.00694588	0.0123071	0.0169994	0.0200922	0.0343227	0.0198194	0.0420602	0.0396047	0.0469405	0.0414268	0.0480227	0.0452966	0.0335725	0.0447647	0.0505038	0.047219	0.0206715	0.0199396	0.0209192	0.0196085	0.0149708	0.0120655	0.0176951	0.0177346	0.0195847	0.0194821	0.0314926	0.0453282	0.0432575	0.0416805	0.0413233	0.0406462	0.0237019
n'	0.174803	0.119458	0.0759793	0.072187	0.0501715	0.040387	0.0294923	0.023133	0.0191288	0.018674	0.0190808	0.0248656	0.0347119	0.0358768	0.0328606	0.0376775	0.0188575	0.0120876	0.0171991	0.0100004	0.00828262	0.0103029	0.0126905	0.0148423	0.011875	0.00985484	0.0101989	0.0120046	0.0130236	0.0129179	0.00643048	0.00468915	0.00625578
y	0.080335	0.0488274	0.0536564	0.0420369	0.0623026	0.040105	0.0491238	0.0491873	0.0400929	0.0356004	0.0283824	0.0234772	0.0215175	0.0223743	0.0307554	0.0341893	0.0237611	0.0195485	0.0258213	0.0221216	0.0328814	0.026105	0.0251317	0.0168988	0.0193058	0.0147587	0.0135243	0.0132876	0.0148379	0.0133245	0.0171205	0.0186745	0.020933
a	0.135179	0.0968644	0.0679017	0.0548319	0.0321965	0.0334891	0.0151691	0.0100639	0.010279	0.00984129	0.0106352	0.0102159	0.0165282	0.0231578	0.0335017	0.0451873	0.0529949	0.0312261	0.0220581	0.0230528	0.0211296	0.0132687	0.0174703	0.0191441	0.0156345	0.0182289	0.0124733	0.0116554	0.0127652	0.0339502	0.0106282	0.0317936	0.0474842
plus	0.0523877	0.0353967	0.0247509	0.0164142	0.0178434	0.01454	0.0137233	0.011378	0.0153644	0.0110895	0.0133883	0.0186213	0.0280663	0.0330115	0.0488213	0.0424998	0.0440991	0.0355498	0.0268226	0.0318116	0.048825	0.0324532	0.0386345	0.030119	0.0319578	0.0564934	0.043899	0.035648	0.0304235	0.0299769	0.0114445	0.0311038	0.0434418
de	0.0499351	0.0474937	0.0305787	0.0254381	0.0220866	0.0158407	0.0173345	0.019968	0.0217618	0.0189409	0.0247624	0.0214937	0.0431479	0.0357063	0.0618911	0.0406896	0.0546272	0.0307501	0.0301935	0.0291079	0.0378682	0.0251252	0.0239079	0.015461	0.0216705	0.0257064	0.0307341	0.031476	0.0255165	0.022468	0.0185049	0.0243243	0.0554895
pont	0.0655265	0.0329332	0.0255772	0.0234564	0.0216732	0.0220316	0.0185649	0.0152964	0.0149464	0.0161639	0.0191151	0.0178117	0.0287443	0.0253383	0.0454864	0.049616	0.0723147	0.0416541	0.0336225	0.0317795	0.0265454	0.0251497	0.0231164	0.0232477	0.0264383	0.023632	0.0240659	0.0246322	0.0266587	0.0307236	0.0294266	0.0381866	0.0565247
en	0.0564632	0.0314579	0.0198687	0.01858	0.0147655	0.0147861	0.0180441	0.0174884	0.0179748	0.0205918	0.0268166	0.0258085	0.0451367	0.046896	0.0714346	0.0917203	0.0808548	0.0480975	0.0369007	0.0257865	0.0164301	0.0179046	0.0134906	0.00766657	0.00979151	0.00893869	0.00887534	0.0225401	0.026578	0.0292373	0.0195248	0.037703	0.0518466
aval	0.070056	0.053099	0.0282056	0.0207104	0.0161763	0.0110277	0.0096073	0.0120486	0.0111827	0.0142406	0.0173384	0.0195482	0.0264158	0.0282905	0.0459182	0.042406	0.0491313	0.0327288	0.0492708	0.0415914	0.0347969	0.0319972	0.0218325	0.0138841	0.0145685	0.0121532	0.0141572	0.0134004	0.0296342	0.0489581	0.0148201	0.0558029	0.0950011
de	0.078834	0.0458126	0.0385219	0.0276683	0.0227314	0.0176489	0.010325	0.00874596	0.00810305	0.0109217	0.0129645	0.0164056	0.0105497	0.00736476	0.00897741	0.00773866	0.0132534	0.0211642	0.0210089	0.0246992	0.0252505	0.0395292	0.0249226	0.0370728	0.0342311	0.0492003	0.0309533	0.0328587	0.0274311	0.0467784	0.0428587	0.0763356	0.119138
l'	0.198075	0.0834767	0.050726	0.0346488	0.0192558	0.0120974	0.00695827	0.0069588	0.00663169	0.0104899	0.0108625	0.0123897	0.0109902	0.00877233	0.00989326	0.0159732	0.0191286	0.0205227	0.0193669	0.0167048	0.0170234	0.0197451	0.0108692	0.00948736	0.00874876	0.0203374	0.0142587	0.0291275	0.0311381	0.0568226	0.0421713	0.0636546	0.102693
aima	0.0910605	0.038976	0.0261482	0.0229643	0.0161326	0.014855	0.00832041	0.00899619	0.00742415	0.0119402	0.0111969	0.0101068	0.0117576	0.0122876	0.0128806	0.0263253	0.0319683	0.0266235	0.0475328	0.0384028	0.0284044	0.0317784	0.0222572	0.0213087	0.0184	0.0204323	0.0166116	0.022067	0.0406486	0.0681457	0.043317	0.0692385	0.121491
</S>	0.105172	0.0479208	0.046382	0.0327229	0.0303609	0.0193551	0.0105813	0.0108977	0.00836672	0.0110737	0.00977991	0.0100138	0.00565928	0.00507436	0.00448397	0.00759973	0.00959701	0.0146144	0.0137859	0.0120987	0.012532	0.0168006	0.0116281	0.0193493	0.0189902	0.0388585	0.0285351	0.0451828	0.0446346	0.0649494	0.0602198	0.0824746	0.140304
