 	m	v	ú	á	á	k	á	m	b	i	s	i	n	g	á	i	s	í	m	á	p	á	b	h	a	</S>
la	0.0106165	0.0134186	0.0154086	0.0166495	0.0229712	0.0328685	0.0515238	0.0391243	0.037112	0.038588	0.0512692	0.0311464	0.0395654	0.0272469	0.0376895	0.0417538	0.0301406	0.0264921	0.0546602	0.0845391	0.0730908	0.0576221	0.0596823	0.0364789	0.0400016	0.0303398
pluie	0.0765332	0.136151	0.0702428	0.0725061	0.0373113	0.0794925	0.0349331	0.0883399	0.06486	0.0507594	0.0293826	0.0300013	0.0161285	0.0194084	0.0226229	0.0269298	0.0326408	0.0209214	0.0205712	0.0280592	0.0153126	0.0165372	0.004751	0.0035765	0.00124445	0.000782394
m'	0.0818849	0.0469042	0.0312649	0.0522847	0.0487806	0.0242841	0.0372327	0.0749993	0.0375277	0.0511129	0.0444352	0.033756	0.0201748	0.0174294	0.0413906	0.068504	0.0546888	0.0346265	0.0457987	0.0418826	0.0441844	0.0190288	0.0145173	0.011817	0.0119882	0.0095018
a	0.0288902	0.0309736	0.0667992	0.0783619	0.0538831	0.0600141	0.0354156	0.03845	0.0474537	0.0789674	0.0597663	0.0430551	0.0429512	0.0291601	0.0149424	0.0409688	0.0625113	0.0449684	0.0295923	0.0231813	0.0162926	0.0111279	0.0103233	0.0135643	0.0111993	0.0271863
fait	0.0358774	0.051343	0.059063	0.0556721	0.0652635	0.0324152	0.0402516	0.0425722	0.0334709	0.0430344	0.0416998	0.0251672	0.0282717	0.025339	0.0448636	0.0924178	0.0571751	0.0360767	0.0214942	0.0149858	0.011304	0.0129226	0.0157844	0.0221238	0.0204047	0.0710064
manquer	0.0488423	0.0510041	0.0431916	0.0385752	0.0567923	0.0413427	0.0433934	0.0275777	0.0264481	0.0314507	0.0366563	0.0239843	0.044025	0.036221	0.0519352	0.0694289	0.0493208	0.0406623	0.0402128	0.0303095	0.0242003	0.0285345	0.0223824	0.0266826	0.0209091	0.0459171
les	0.0602054	0.0511841	0.0397392	0.0381781	0.0439874	0.0367371	0.0328108	0.0338337	0.0346689	0.0308925	0.0304245	0.0267216	0.0333808	0.0291678	0.0334317	0.0286187	0.0390387	0.038232	0.0304985	0.020333	0.0165314	0.0346335	0.0346052	0.0530767	0.0616077	0.0874609
cours	0.084358	0.0519538	0.0439064	0.0438105	0.0455572	0.0257705	0.0225955	0.0208881	0.0164984	0.0201252	0.0162675	0.0177856	0.0257613	0.0230101	0.0296282	0.033376	0.0235848	0.0157319	0.0179179	0.0329571	0.0316111	0.0452474	0.050747	0.0599689	0.0807096	0.120232
aujourd'	0.050125	0.0376907	0.0514131	0.0545046	0.0498277	0.0607774	0.0519528	0.0300494	0.0386667	0.0429709	0.0425228	0.043336	0.0460095	0.0355607	0.0175654	0.0142374	0.0261103	0.0183254	0.0176868	0.0218188	0.0223029	0.0191685	0.0234693	0.0335665	0.0318368	0.118505
hui	0.0845289	0.0463178	0.0335514	0.0263302	0.0290085	0.0152473	0.0139416	0.00886698	0.0103643	0.012246	0.0127394	0.00928181	0.0148125	0.0118222	0.0159336	0.0296129	0.0521505	0.0394369	0.0429574	0.0523022	0.0326914	0.0534628	0.072225	0.0903652	0.0823114	0.107492
</S>	0.082133	0.0621202	0.0560751	0.0537931	0.0482205	0.0373354	0.0318879	0.0248231	0.0201	0.0289756	0.0232069	0.0239442	0.024589	0.023325	0.0262666	0.0209499	0.0342777	0.0123004	0.0132291	0.0233803	0.0260094	0.0275918	0.0371998	0.0430885	0.042476	0.152701
