 	w	á	á	n	ω	o	t	ó	n	í	l	e	k	ώ	ώ	l	i	m	b	o	b	h	ó	</S>
si	0.15936	0.117635	0.101682	0.0876281	0.0358246	0.0623063	0.0306464	0.0350402	0.00889212	0.0214539	0.0180384	0.0217279	0.0289716	0.0308651	0.0311906	0.0295188	0.025031	0.0274213	0.0309055	0.0225063	0.0250531	0.0194879	0.0159537	0.0128611
tu	0.201058	0.103526	0.0605877	0.0454625	0.0396587	0.0423976	0.0369647	0.0445461	0.0599145	0.0303508	0.088557	0.106693	0.044825	0.0340604	0.0142075	0.00583088	0.0096733	0.00613504	0.00699395	0.00606305	0.00319815	0.00191742	0.00306918	0.00430934
abandonnes	0.0230777	0.0201772	0.014908	0.0156268	0.0151219	0.0147821	0.0150967	0.0174336	0.0284818	0.0263838	0.0411768	0.0560881	0.0573914	0.0481674	0.0768652	0.112884	0.122509	0.0992955	0.0622915	0.0376429	0.0280776	0.0214248	0.0275401	0.0175558
tes	0.0311484	0.0189928	0.00985619	0.0187324	0.0215785	0.0306407	0.0254263	0.0158488	0.0112416	0.00812254	0.0111971	0.0150001	0.0214627	0.0279338	0.0458382	0.0579526	0.0643517	0.0949839	0.0928344	0.0917251	0.0827041	0.0489693	0.104401	0.0490578
études	0.00785145	0.00513621	0.00473048	0.0105189	0.0355904	0.021349	0.0573042	0.0463874	0.0573232	0.0276111	0.0211524	0.0195253	0.0193731	0.0278891	0.0506496	0.0779581	0.0737654	0.0843727	0.100065	0.0593131	0.0415888	0.0483643	0.0396349	0.0625456
tant	0.0235111	0.0233597	0.0145755	0.0177023	0.0470463	0.0247812	0.0876969	0.0459876	0.0511807	0.0418977	0.0163148	0.00844163	0.0130648	0.01204	0.0227082	0.0294962	0.0279021	0.0367521	0.0461778	0.0399315	0.0721436	0.064758	0.0619702	0.17056
pis	0.0105452	0.0118534	0.0106429	0.0143337	0.020907	0.0177486	0.0239858	0.0177863	0.0189564	0.0143159	0.0138994	0.0139766	0.0183499	0.0208672	0.0493285	0.0900334	0.0918454	0.0842423	0.0907153	0.0706236	0.0579867	0.0610768	0.0515422	0.124437
pour	0.0229601	0.019563	0.0236368	0.0209008	0.0336345	0.0485982	0.0639809	0.0464811	0.0304717	0.0174959	0.0154663	0.0126983	0.0194872	0.0188359	0.0334113	0.0361064	0.0493473	0.0487348	0.0450932	0.0454307	0.0571834	0.0445849	0.0371009	0.208796
toi	0.0127597	0.0151238	0.0167073	0.0140309	0.0162934	0.0142027	0.0184266	0.0127282	0.0142783	0.0108453	0.00649602	0.00605842	0.0100401	0.0168989	0.0373213	0.0474476	0.0465442	0.0578321	0.0597003	0.0558968	0.101008	0.100394	0.0849958	0.22397
</S>	0.0164428	0.0151527	0.0144862	0.0147767	0.0131852	0.0197304	0.0151444	0.0108203	0.00682453	0.00561022	0.00529537	0.00542042	0.00915013	0.0157597	0.0345192	0.0457007	0.0486174	0.0694581	0.0703692	0.0810769	0.0986084	0.104437	0.0935358	0.185878
