 	w	a	l	á	a	y	é	n	g	á	á	b	é	a	w	a	m	b	v	á	a	o	k	o	n	d	z	i	</S>
il	0.102265	0.165594	0.14837	0.193353	0.237737	0.0818579	0.0301884	0.00397019	0.00293948	0.00215252	0.00178546	0.00142063	0.000671536	0.000899637	0.00196204	0.00284967	0.00368018	0.00175162	0.00246707	0.002061	0.00281963	0.00198219	0.00183156	0.00129111	0.00082985	0.000917094	0.000778852	0.00100293	0.000570848
brigue	0.0203439	0.00776299	0.0164238	0.00760761	0.00723043	0.0071556	0.011094	0.0110858	0.0226058	0.0613035	0.0801221	0.0451946	0.121552	0.10679	0.0883162	0.0595218	0.0436009	0.0534578	0.032996	0.0330775	0.0397753	0.0304781	0.0181508	0.0142505	0.0121355	0.0138247	0.00816404	0.00956001	0.0164184
l'	0.025999	0.0218531	0.037763	0.0287213	0.0261784	0.0183546	0.0395228	0.0153691	0.0206146	0.0106503	0.0135407	0.0383521	0.022848	0.0244663	0.0599831	0.0476125	0.0385335	0.0534322	0.0585763	0.0498378	0.0572451	0.035016	0.0281606	0.0291104	0.0259778	0.0321414	0.0364379	0.0489927	0.0547097
honneur	0.00605193	0.00653227	0.00481104	0.00499119	0.00410265	0.00706454	0.0120444	0.00975283	0.0161824	0.0196272	0.0306203	0.0106178	0.0414462	0.0422169	0.0430032	0.0478345	0.0262601	0.0404715	0.0293794	0.0451763	0.0280972	0.0622764	0.0758685	0.0779257	0.0513428	0.0545601	0.065264	0.0541238	0.0823549
d'	0.0187722	0.021981	0.0182964	0.0196842	0.01161	0.0103994	0.0327708	0.013443	0.0260504	0.0284025	0.0234353	0.0179102	0.0366704	0.0265446	0.0498636	0.0380912	0.0199969	0.0182795	0.0142373	0.0144988	0.0213752	0.0178293	0.0337354	0.0518368	0.0296408	0.042227	0.0724526	0.0884963	0.181469
être	0.0172596	0.0243417	0.0198006	0.0191957	0.0111882	0.0130218	0.0163528	0.0140097	0.0148197	0.0132052	0.0164898	0.0116134	0.0288456	0.043539	0.0320909	0.0306001	0.0419492	0.037959	0.0317109	0.0483276	0.0494721	0.0622898	0.0524698	0.067864	0.0510675	0.0407524	0.0622438	0.0621864	0.0653339
invité	0.0181339	0.0179496	0.0177487	0.0169805	0.0166517	0.017574	0.018307	0.0194975	0.0189645	0.0180781	0.0181555	0.0164465	0.0247058	0.0265816	0.0298651	0.0311679	0.0224172	0.0211902	0.0214961	0.0232928	0.0207948	0.0559151	0.081503	0.0742063	0.0589465	0.0577578	0.0673751	0.075505	0.0927921
par	0.0210328	0.0207326	0.0181182	0.0202209	0.0208192	0.0183545	0.0288128	0.0235854	0.0163657	0.0222607	0.0210837	0.0127896	0.0220901	0.0186247	0.0186233	0.0175233	0.0137115	0.00931222	0.0118041	0.0171263	0.0208619	0.0183706	0.0364386	0.0535001	0.0874974	0.0877291	0.106172	0.102255	0.114183
le	0.0170171	0.0175532	0.0148021	0.0164706	0.0221354	0.0233787	0.0263223	0.0174444	0.0136681	0.0135774	0.00595563	0.0064015	0.00941228	0.00904123	0.0160151	0.0130011	0.00933904	0.0108565	0.00795162	0.0172342	0.0116069	0.0189615	0.0377023	0.0829898	0.103131	0.0961092	0.136966	0.109502	0.115453
chef	0.0141897	0.01205	0.00990499	0.010114	0.010529	0.0122412	0.0199643	0.0213704	0.0116813	0.0133682	0.00893615	0.00634445	0.0101284	0.00768553	0.0106331	0.0105844	0.00435838	0.00499305	0.00510701	0.0064316	0.00380332	0.013437	0.0439601	0.0785009	0.109812	0.0983045	0.142348	0.134975	0.164245
</S>	0.0103622	0.00750617	0.00817974	0.00668156	0.00668319	0.00818824	0.0118185	0.0189173	0.013745	0.0112778	0.0110209	0.00992775	0.0154957	0.0112669	0.0184287	0.0228472	0.0132744	0.0172814	0.0157503	0.0185253	0.00891472	0.0255605	0.0527449	0.0509638	0.044925	0.0693945	0.149832	0.117648	0.222838
