 	l	ώ	p	f	a	m	ó	w	a	m	w	á	n	a	n	g	ó	o	á	y	a	m	b	i	w	á	o	b	é	</S>
a	0.0461337	0.0221633	0.0282862	0.0174658	0.0141926	0.00702011	0.00739527	0.0240184	0.0381934	0.0479707	0.0483073	0.0467825	0.0379592	0.0505133	0.0461967	0.0289954	0.0341178	0.0379705	0.0275138	0.0318408	0.0375283	0.0437953	0.0391361	0.0447569	0.0291427	0.0330653	0.0346905	0.0432447	0.0343795	0.0172239
son	0.0589912	0.0782201	0.0718927	0.0837246	0.0926716	0.0894414	0.0711417	0.0459174	0.0388117	0.04763	0.0408386	0.0284515	0.0235982	0.0276806	0.0222146	0.016688	0.0125984	0.00863059	0.00833094	0.0116002	0.0203458	0.0228361	0.00661431	0.0134301	0.00696512	0.0112663	0.0031248	0.0152919	0.00894243	0.0121092
tour	0.0407423	0.0372677	0.0312129	0.0313304	0.0232634	0.0371522	0.0462695	0.0361391	0.0538776	0.0371335	0.0731017	0.0368636	0.0224019	0.0395536	0.0542696	0.092723	0.0617316	0.0408794	0.0371356	0.0259125	0.0290464	0.0271788	0.0134005	0.0118126	0.00684078	0.00792157	0.00722269	0.00827379	0.0143911	0.0149505
son	0.0292056	0.0357777	0.0256229	0.0326747	0.0349723	0.0547553	0.0615429	0.0513082	0.0593802	0.0586367	0.0636044	0.0632403	0.0483308	0.0501797	0.0398342	0.0224495	0.0202703	0.0227447	0.0274105	0.0142607	0.0229883	0.0292526	0.0207682	0.0154145	0.00325973	0.00517743	0.0140736	0.0228238	0.0207442	0.0292959
frère	0.0342771	0.0541451	0.0382145	0.0497245	0.0557752	0.0642768	0.0695181	0.0709979	0.0518999	0.0719098	0.0671933	0.0509215	0.0295025	0.034347	0.0251849	0.0290998	0.0194343	0.0189863	0.0256507	0.0113477	0.0196406	0.0211802	0.00765443	0.00509761	0.00416183	0.00411839	0.0231656	0.0117514	0.0180751	0.0127478
l'	0.0263217	0.0202349	0.0184414	0.0228863	0.0278529	0.0323026	0.0329989	0.031683	0.0221025	0.035397	0.0234689	0.0177285	0.0192528	0.0183017	0.0228863	0.0257914	0.0354557	0.0426778	0.0550865	0.0473943	0.034767	0.0445928	0.0454094	0.0390721	0.0158651	0.0258041	0.0305623	0.0521759	0.0517271	0.0817592
a	0.0363898	0.0366683	0.0337819	0.0358118	0.0371694	0.0371626	0.0353221	0.0221238	0.0186126	0.0188155	0.0202183	0.0183465	0.0181935	0.0217491	0.0201117	0.0360018	0.0226518	0.0159369	0.0269865	0.0151309	0.0247988	0.0353296	0.0224214	0.0169286	0.012379	0.0132212	0.0450723	0.0811028	0.0944338	0.127128
mal	0.0187674	0.027366	0.0238782	0.0223113	0.0234188	0.0213652	0.0153122	0.00616719	0.00881504	0.00776678	0.0133643	0.0128304	0.0117661	0.0127421	0.0126145	0.0256355	0.0317641	0.0344095	0.0493807	0.0253482	0.068664	0.0567513	0.0569758	0.051595	0.0242282	0.05348	0.0699564	0.0802811	0.0681002	0.0649446
reçu	0.0508457	0.0347636	0.0307459	0.0334721	0.0231424	0.0148066	0.00694828	0.00325846	0.00368183	0.00301156	0.00411915	0.00568427	0.00563519	0.00695236	0.00733903	0.0190451	0.0220549	0.0288104	0.0348816	0.0284757	0.033903	0.0436953	0.0501218	0.0594225	0.0190946	0.0474215	0.0559115	0.103403	0.103104	0.116248
</S>	0.0570011	0.0450258	0.033799	0.035178	0.0215743	0.0212757	0.0114426	0.00386034	0.00544975	0.00351027	0.00466707	0.0048723	0.00516962	0.00507401	0.00454167	0.00852366	0.00747306	0.0152544	0.020727	0.0278486	0.0339632	0.0408487	0.0648213	0.073351	0.0464105	0.0546943	0.0652691	0.0808392	0.091456	0.106078
