 	b	á	a	á	w	ú	r	u	o	k	u	n	d	á	e	b	e	m	b	e	y	á	n	g	ó	l	ó	m	i	y	a	b	á	a	ó	p	o	o	</S>
ils	0.0991209	0.134613	0.151039	0.169529	0.0747306	0.025855	0.0218346	0.020889	0.013911	0.0195544	0.0210072	0.0230211	0.0256858	0.0229071	0.0209449	0.0204581	0.0133138	0.00596584	0.00245181	0.00203127	0.00263698	0.0039987	0.00439393	0.00297242	0.00683622	0.00373341	0.00618284	0.00332299	0.00529249	0.00668766	0.00555155	0.00789105	0.00808063	0.00809747	0.00732741	0.00769259	0.0073003	0.00529128	0.00784752
viennent	0.0394543	0.0278288	0.0230318	0.0336173	0.0401644	0.0629031	0.0787498	0.0530152	0.0718018	0.048875	0.0379839	0.0411877	0.0346968	0.0385604	0.0299973	0.0239233	0.00825945	0.00252078	0.000965815	0.00171529	0.00255704	0.00857994	0.00860274	0.00419816	0.00719442	0.0123013	0.0147149	0.0212609	0.0200217	0.0222425	0.0451712	0.0344897	0.020859	0.0170407	0.0170711	0.0181118	0.0145408	0.00572758	0.00606224
d'	0.0319806	0.0173722	0.0133925	0.0155312	0.00733981	0.0131908	0.0138791	0.0172649	0.0304637	0.0293548	0.042303	0.028197	0.0227481	0.0326453	0.0468869	0.0380164	0.0450578	0.0704513	0.0399829	0.0542003	0.0257267	0.0314946	0.0378074	0.0332216	0.0214953	0.0191993	0.0130402	0.0147313	0.014655	0.0161104	0.0173463	0.0170271	0.0204228	0.0153757	0.0176173	0.0192854	0.0201375	0.0198553	0.0151919
enterrer	0.0139695	0.0142398	0.0094782	0.0117326	0.0112435	0.0123637	0.014805	0.0175495	0.0194837	0.0230547	0.0296106	0.0440728	0.0401725	0.0366363	0.0309174	0.0300471	0.0293891	0.0337702	0.047985	0.0360177	0.0343628	0.0242031	0.022354	0.0269812	0.028315	0.0395636	0.0327076	0.0369728	0.0227142	0.0218167	0.0193634	0.0201769	0.0220887	0.0140062	0.0203121	0.0211367	0.0264902	0.0276595	0.0322362
la	0.0071325	0.00698394	0.00734751	0.00821708	0.0123121	0.0142409	0.0168814	0.0233887	0.0265435	0.0292285	0.0275702	0.0293248	0.0258599	0.0253874	0.0191465	0.0130748	0.0178022	0.0185656	0.0360685	0.0179254	0.0318025	0.0335249	0.0368991	0.0383727	0.033528	0.0471046	0.0379688	0.0504357	0.0410979	0.0340971	0.0372731	0.032762	0.0252341	0.0174863	0.019354	0.01904	0.0228742	0.0250349	0.0331087
dépouille	0.00901887	0.0114491	0.0112943	0.0106618	0.016061	0.0188226	0.0208365	0.019489	0.020773	0.01995	0.0171327	0.0172054	0.0147626	0.016441	0.0145516	0.0125769	0.0154806	0.0188255	0.0201662	0.0246318	0.0249076	0.0233156	0.0224054	0.0217538	0.0333728	0.0416504	0.0401629	0.0428757	0.0460948	0.0352356	0.0374959	0.047051	0.0301611	0.0359179	0.0381092	0.0363347	0.0367947	0.0386162	0.0376142
de	0.00411461	0.00571342	0.00495974	0.00467499	0.00688954	0.00748826	0.00749037	0.00834102	0.00879991	0.00868329	0.0100481	0.011716	0.0110113	0.0117131	0.0118256	0.0113647	0.013436	0.0174957	0.0201691	0.0236694	0.0330044	0.0362057	0.0563767	0.0661729	0.0734479	0.0984696	0.0693	0.0753407	0.0356427	0.0237927	0.0201831	0.0214393	0.0119083	0.0251123	0.0250558	0.0287847	0.0250374	0.0325114	0.0326103
leur	0.0358457	0.0337429	0.0138956	0.013418	0.0131161	0.0140342	0.0159896	0.0129542	0.0105321	0.00844983	0.0077351	0.00706043	0.00591227	0.00701065	0.00758027	0.00766509	0.0101728	0.0137303	0.0170127	0.0203273	0.0257766	0.0355662	0.0471611	0.0554614	0.0550628	0.044837	0.0238169	0.0344109	0.0377487	0.0303564	0.0375008	0.0228785	0.0235278	0.0237741	0.0286854	0.0331168	0.0437768	0.0529409	0.0674158
oncle	0.018586	0.0153993	0.013286	0.0156621	0.0121604	0.00878742	0.00882846	0.00568116	0.00645865	0.00573959	0.00535272	0.00467621	0.00505992	0.00729712	0.007568	0.00909999	0.0182708	0.0190013	0.0270182	0.0216014	0.0312534	0.0369807	0.0445124	0.0602696	0.0758059	0.0765817	0.0413428	0.0357679	0.022809	0.019377	0.0156561	0.0187568	0.00975667	0.0196261	0.0267806	0.0450839	0.0510315	0.0600794	0.072994
au	0.024168	0.0170997	0.0131836	0.0154834	0.0151298	0.0137346	0.0116493	0.00944565	0.0148023	0.00939152	0.00850257	0.00558401	0.00406253	0.00977381	0.010572	0.0137962	0.0220588	0.0256716	0.0362365	0.0333665	0.0339999	0.031094	0.0360661	0.0421371	0.0391115	0.0400951	0.0180893	0.0238248	0.0239901	0.0217523	0.0181557	0.0148877	0.0135765	0.0199024	0.0368172	0.0506025	0.0561405	0.0730394	0.0930056
village	0.0158099	0.0124425	0.012402	0.0113243	0.00798676	0.00612075	0.00648289	0.00503325	0.00586489	0.00531349	0.00583141	0.00535906	0.00632567	0.0079442	0.00840909	0.00843081	0.0161237	0.0209654	0.0376872	0.0298954	0.0347547	0.0325771	0.0341908	0.0508378	0.0678871	0.0723738	0.0505247	0.0378909	0.0304006	0.0299283	0.0250756	0.0221351	0.0148894	0.0275929	0.026349	0.0403052	0.0434333	0.0552867	0.0678144
</S>	0.0403464	0.0263388	0.017108	0.0215393	0.0170824	0.0186886	0.0257491	0.0105273	0.0190668	0.0105608	0.00886127	0.00385305	0.00329103	0.00784794	0.00859839	0.00908243	0.0119255	0.0142573	0.0122844	0.0193714	0.0162729	0.0166189	0.017663	0.0259973	0.0315654	0.0317538	0.023205	0.0252114	0.0284247	0.02884	0.0265237	0.0247205	0.023019	0.0269758	0.0338296	0.0569609	0.0619637	0.0725269	0.121547
