 	e	b	έ	r	i	a	p	a	b	h	í	é	t	ó	i	m	é	f	i	á	</S>
le	0.0120166	0.0149128	0.0129715	0.0116429	0.0110197	0.0347351	0.0498953	0.0506404	0.067979	0.0742226	0.0740129	0.0750098	0.0708751	0.0697697	0.0609624	0.0552096	0.0521705	0.0597021	0.0453428	0.0615838	0.0353253
petit	0.0229265	0.0454392	0.037356	0.0562911	0.0203745	0.0985708	0.149752	0.0829271	0.0814052	0.0850313	0.0460915	0.036027	0.0290545	0.0448277	0.0503539	0.0303521	0.0423608	0.018723	0.0112548	0.00468698	0.00619372
oiseau	0.0544086	0.0436314	0.0338265	0.0311619	0.0412069	0.103717	0.0776462	0.0434753	0.0250939	0.0165804	0.0200887	0.0347829	0.0931441	0.113956	0.0896148	0.0479387	0.0570563	0.0242543	0.0158386	0.017831	0.0147461
de	0.0608526	0.0779011	0.076591	0.0837355	0.0771769	0.103316	0.0634891	0.0479539	0.030174	0.0131542	0.0208402	0.0351043	0.0504869	0.0976206	0.0486695	0.0223336	0.024869	0.00877089	0.00583462	0.0122625	0.0388634
la	0.0425437	0.0376433	0.0354296	0.031367	0.0298335	0.0316556	0.0280622	0.0315456	0.0288576	0.0218892	0.0233617	0.0642824	0.065378	0.0906973	0.109158	0.0652878	0.0624894	0.0434085	0.0432897	0.0418166	0.0720034
savane	0.0615179	0.0373332	0.0248075	0.0315168	0.0151694	0.0406224	0.041974	0.0317424	0.0268278	0.0186403	0.00893889	0.0369372	0.0713662	0.172853	0.121006	0.0445884	0.0432945	0.02416	0.035488	0.0165213	0.0946947
est	0.116495	0.184499	0.163998	0.107087	0.0577295	0.0478132	0.0487507	0.0352352	0.032453	0.0213015	0.0199771	0.0193335	0.0140795	0.0114073	0.0254007	0.017927	0.0123856	0.0112359	0.0123711	0.0132342	0.0272853
pris	0.0508511	0.0972125	0.150569	0.111394	0.0837457	0.0587533	0.0641076	0.0553996	0.045086	0.0299772	0.022473	0.018122	0.0182358	0.0212838	0.044497	0.0231733	0.0157491	0.0119523	0.0115185	0.0141901	0.0517098
au	0.207072	0.133267	0.10042	0.055207	0.0325654	0.0279102	0.0228881	0.0160365	0.0107737	0.00810117	0.00826117	0.0193695	0.0299154	0.026573	0.0373044	0.040685	0.0173827	0.0172319	0.0188676	0.0382588	0.131909
piège	0.182447	0.168548	0.120017	0.0399892	0.0276813	0.0212671	0.016608	0.0105436	0.00774891	0.00425529	0.00455631	0.00365855	0.00477226	0.00493827	0.0180632	0.0370202	0.034159	0.0454305	0.0453677	0.0709977	0.131932
à	0.119514	0.0710878	0.059446	0.040499	0.0261887	0.0100294	0.00808177	0.0061108	0.00399757	0.00230068	0.00327441	0.00653987	0.0107704	0.0278187	0.0457853	0.0907884	0.0705675	0.0612629	0.0450026	0.091515	0.199419
la	0.0630159	0.0581502	0.0612477	0.0367479	0.0171927	0.00641949	0.00468017	0.00333035	0.00293952	0.0016289	0.00207588	0.00277529	0.00268354	0.0101203	0.0389409	0.0805159	0.084474	0.112379	0.108611	0.141179	0.160892
glu	0.0736802	0.053247	0.0436246	0.0155634	0.0127209	0.00799619	0.00650688	0.00490701	0.00284148	0.00253517	0.00504181	0.00554322	0.00660185	0.0105018	0.026171	0.0669776	0.0682599	0.0873614	0.0852446	0.188666	0.226008
</S>	0.0507779	0.0534871	0.0482315	0.0312411	0.0330086	0.0340016	0.0304278	0.0388002	0.0299739	0.011281	0.0136427	0.0165615	0.0263992	0.0280934	0.0485418	0.0529085	0.0688837	0.0864595	0.0461043	0.0687765	0.182398
