 	l	e	k	ó	l	o	b	á	a	t	s	w	á	a	w	ú	r	a	</S>
on	0.0299169	0.0207198	0.0155438	0.0182082	0.0171431	0.0310915	0.0822462	0.0871084	0.123802	0.0916954	0.0789597	0.0605713	0.0609952	0.0446853	0.0435396	0.049847	0.0543397	0.0451424	0.0444449
extrait	0.0942785	0.0687684	0.0805822	0.0514306	0.0780205	0.0768179	0.0793311	0.0786496	0.0487163	0.0681624	0.0825822	0.026356	0.0403811	0.00789558	0.0367086	0.0184771	0.0309924	0.0129234	0.018926
de	0.0410201	0.0372909	0.0441529	0.0499809	0.0595881	0.04818	0.0344425	0.0245148	0.0321698	0.0425833	0.0326433	0.0904177	0.0590647	0.0846026	0.105214	0.0961613	0.0355596	0.0396526	0.0427609
l'	0.0405788	0.0287184	0.0388977	0.0455494	0.0508395	0.0489664	0.0229381	0.0148089	0.0116708	0.0131085	0.0192999	0.049225	0.0549204	0.106414	0.094299	0.116885	0.0831009	0.0700343	0.089745
huile	0.0320852	0.0289901	0.0291838	0.038041	0.0616449	0.0771716	0.0746453	0.0910069	0.109318	0.100223	0.0475149	0.0154248	0.0334241	0.0309445	0.038052	0.0548422	0.0421304	0.0356448	0.0597125
de	0.0749504	0.074787	0.0723569	0.0850028	0.118101	0.109662	0.0786331	0.051251	0.0500926	0.0426543	0.0245302	0.0202248	0.0204808	0.0304868	0.0146138	0.02207	0.0286311	0.0299522	0.0515184
la	0.0697178	0.0646476	0.0656753	0.062828	0.0644303	0.0610594	0.0550434	0.0472743	0.0472367	0.055348	0.0600376	0.016024	0.0429507	0.0448139	0.0344717	0.0461946	0.0499316	0.0492514	0.0630636
datte	0.0999534	0.0843212	0.0694488	0.0697981	0.0965631	0.0994347	0.0967476	0.0762037	0.0689194	0.0345111	0.0106498	0.0167089	0.0136187	0.0163921	0.0119762	0.0239231	0.0298696	0.0233323	0.0576282
lekolo	0.0621175	0.0573082	0.0571481	0.0618391	0.0858975	0.0789234	0.0583197	0.0480362	0.0490366	0.0335323	0.00833874	0.0155899	0.011455	0.0192531	0.0216718	0.0707626	0.0614286	0.0550589	0.144283
</S>	0.0760337	0.0774851	0.0828026	0.0804255	0.0599358	0.0484255	0.0475136	0.0368324	0.026324	0.0249826	0.00994134	0.00937054	0.00711529	0.00837896	0.00977144	0.0481646	0.0695816	0.0850654	0.19185
