 	n	g	o	o	á	b	ε	n	g	i	l	a	m	w	á	n	a	y	e	é	b	h	o	s	í	í	w	a	</S>
la	0.0964957	0.0763795	0.0289641	0.0200958	0.0131368	0.0203562	0.012504	0.0250746	0.0238876	0.0216794	0.0336752	0.0241211	0.0204222	0.0123081	0.0197389	0.0264338	0.0407781	0.0403552	0.0456294	0.0485236	0.0363556	0.0374229	0.0404027	0.0602549	0.0515424	0.0423004	0.0461859	0.0158352	0.0191405
mère	0.204984	0.2041	0.240887	0.200935	0.0367501	0.0140127	0.0235192	0.0248355	0.0167108	0.00482233	0.00689248	0.00745045	0.00106039	0.00186748	0.00149413	0.00114388	0.000894004	0.00121446	0.00106813	0.00112585	0.000777454	0.000622333	0.000668846	0.000824496	0.000870269	0.000341396	4.72508e-05	4.96103e-05	3.00469e-05
a	0.0162767	0.0608406	0.0613826	0.0706344	0.0272063	0.0179119	0.0208774	0.021215	0.0355872	0.0414396	0.0348276	0.0521475	0.0353936	0.0659416	0.0195645	0.0283638	0.034599	0.0243152	0.0321454	0.04369	0.0163848	0.0265332	0.0451747	0.040576	0.0411256	0.0249955	0.0382039	0.0126121	0.0100342
réprimandé	0.030887	0.0329453	0.0376147	0.0388104	0.0277891	0.0266153	0.0312099	0.0217042	0.0335559	0.0561095	0.0388876	0.0474904	0.0382874	0.028518	0.0331904	0.0449817	0.0482877	0.0344919	0.0259469	0.0387513	0.051062	0.0511352	0.0477433	0.0257252	0.0125822	0.0203949	0.0120836	0.0232167	0.0399825
son	0.0278934	0.0185703	0.0270804	0.0485599	0.0330171	0.0297425	0.0413915	0.0261108	0.017233	0.0239236	0.0268223	0.0367724	0.0412383	0.0372522	0.0279482	0.032635	0.0360917	0.0325254	0.0280743	0.0376635	0.0402401	0.0341499	0.0389105	0.0255997	0.0217122	0.0370153	0.0270297	0.0495591	0.0952376
enfant	0.0243228	0.0234032	0.0207591	0.0258605	0.0207715	0.0325378	0.0424156	0.0276198	0.0220561	0.0240297	0.0227646	0.0404689	0.0529359	0.0288577	0.0411985	0.0491824	0.0547231	0.0740368	0.072256	0.0570865	0.0380023	0.0262557	0.0345695	0.0248276	0.0184414	0.0221315	0.0100712	0.021899	0.0465153
qui	0.00997915	0.00988279	0.0107827	0.0162468	0.0157416	0.0166217	0.0214304	0.0228539	0.020986	0.0218514	0.028033	0.029667	0.023432	0.0214231	0.0138009	0.0246155	0.0220993	0.040914	0.0368538	0.0564851	0.0801466	0.0742887	0.0503676	0.0540835	0.0610542	0.0501278	0.0341032	0.0551984	0.0769297
l'	0.0181246	0.0117979	0.013397	0.0219744	0.0174173	0.015623	0.0200574	0.0196168	0.0169039	0.0168328	0.0225452	0.0246333	0.0285954	0.0234973	0.00831285	0.0179107	0.0120354	0.0251035	0.0310304	0.0543391	0.0609757	0.0717771	0.0575745	0.0669013	0.0614583	0.059131	0.0574446	0.0515164	0.0934728
a	0.04529	0.0411271	0.0407805	0.0352307	0.0303857	0.0238055	0.0185105	0.0180206	0.0149982	0.0119218	0.012179	0.0160219	0.0274912	0.0216857	0.0273678	0.0476306	0.042502	0.0436057	0.042028	0.0440342	0.0417253	0.0367779	0.0121036	0.0176401	0.0276089	0.0220482	0.0115138	0.0360079	0.189958
trompé	0.0355001	0.0255978	0.0311974	0.0291124	0.0275625	0.0251598	0.0146	0.0150882	0.0134089	0.00862545	0.00801633	0.00600245	0.00703882	0.00712381	0.00594105	0.0132184	0.0117361	0.019725	0.0254996	0.0494396	0.0597941	0.0794818	0.0598785	0.0657811	0.0575218	0.0689806	0.0437789	0.0760244	0.109165
</S>	0.0210363	0.0180517	0.0206413	0.022082	0.019813	0.0155262	0.00822084	0.00932658	0.00827172	0.00629721	0.00453319	0.00606231	0.00865119	0.0103638	0.00786691	0.0186313	0.0189149	0.0353975	0.0427506	0.0631054	0.0711778	0.0773906	0.0719786	0.0784679	0.0798408	0.0597973	0.0493019	0.056173	0.0903283
