 	n	g	á	i	d	í	l	a	y	έ	l	ε	t	s	í	n	a	n	g	á	í	m	i	k	o	b	h	á	n	z	a	m	b	é	</S>
je	0.0942939	0.304128	0.189348	0.189262	0.0430957	0.0229403	0.0060117	0.0066025	0.00140104	0.00422104	0.00141752	0.00168038	0.00170969	0.00220587	0.00406604	0.00971238	0.0110676	0.0112259	0.0162358	0.00948146	0.00885529	0.00551974	0.00562636	0.00627219	0.0046827	0.00423103	0.00427435	0.00378785	0.00400544	0.00396452	0.00383407	0.00351247	0.00359248	0.00372407	0.00401137
suis	0.0443351	0.0126421	0.0163834	0.0177746	0.0225351	0.0368322	0.0487822	0.0570132	0.107912	0.110877	0.104872	0.0759261	0.0609397	0.0518019	0.0509433	0.029835	0.0267194	0.0127178	0.0142402	0.0124684	0.0140838	0.00593035	0.00566306	0.0049036	0.0049553	0.00564951	0.00494757	0.00448357	0.00387765	0.00273572	0.00317785	0.00266428	0.0026378	0.00504113	0.0136982
dans	0.0166847	0.0156206	0.0222537	0.0230582	0.0275319	0.0274121	0.0131704	0.0128536	0.0127319	0.0186101	0.0241614	0.0176534	0.0206714	0.0333746	0.0491629	0.0653681	0.0770193	0.123042	0.094142	0.0299625	0.0230698	0.0122371	0.0156626	0.0156806	0.0224702	0.0249514	0.0223345	0.0259047	0.0167082	0.0146324	0.0189976	0.0178011	0.0164132	0.0116898	0.0169618
la	0.022276	0.0264492	0.0269913	0.0287598	0.0324473	0.0187071	0.0254185	0.0159088	0.0293044	0.00964242	0.0250302	0.0153321	0.0166269	0.0286537	0.0242404	0.0132459	0.00973011	0.0100433	0.00526739	0.00697558	0.00926893	0.0220911	0.0236562	0.0237643	0.0252621	0.031889	0.0315587	0.0365071	0.0382161	0.045623	0.0606734	0.0740499	0.0617725	0.06152	0.0630972
joie	0.00850315	0.00718828	0.0101491	0.0118895	0.00915284	0.0165116	0.0208917	0.0158648	0.0255196	0.0203182	0.0253062	0.0152162	0.0159913	0.0260224	0.026017	0.02887	0.0359454	0.042952	0.0331128	0.0445942	0.0408699	0.0410675	0.0369712	0.0391698	0.0355388	0.0397467	0.0312494	0.0330372	0.026404	0.0332495	0.0331122	0.0362201	0.0389919	0.0347594	0.0595962
parce	0.0307483	0.0163904	0.0167237	0.015166	0.00907361	0.0188324	0.022107	0.0224475	0.0212381	0.0155526	0.0158969	0.011579	0.0113331	0.0154115	0.0136789	0.0181075	0.0209749	0.043181	0.0249266	0.0415519	0.0337011	0.0421206	0.0306331	0.028097	0.0341104	0.0320403	0.0361506	0.0435643	0.0362273	0.0396455	0.0374753	0.0411688	0.0504423	0.0445082	0.0651945
que	0.107736	0.0444704	0.0154893	0.0227102	0.0254234	0.0365388	0.0497701	0.0547944	0.0304	0.0324201	0.0245275	0.0183198	0.0180397	0.0180248	0.0135772	0.014647	0.0118554	0.0176968	0.00818356	0.0111635	0.0158714	0.0155967	0.0108374	0.0144133	0.0153352	0.0160253	0.0195509	0.0242893	0.029499	0.0339016	0.0297856	0.0324946	0.0401286	0.0396153	0.0868675
je	0.072313	0.0460557	0.0352031	0.0352442	0.0242869	0.0275964	0.026051	0.0200478	0.0161648	0.0140366	0.012351	0.0103117	0.0107212	0.0126823	0.0113119	0.0135606	0.0162859	0.0233867	0.0151689	0.0208616	0.0317526	0.0263574	0.0172266	0.0222071	0.0204493	0.0209445	0.025809	0.0308571	0.0333785	0.039331	0.0400825	0.0464612	0.0562666	0.051302	0.0739332
me	0.0449175	0.021488	0.0141555	0.0155134	0.0171969	0.0246334	0.0194942	0.0142575	0.0143451	0.0134746	0.0127014	0.0115936	0.010951	0.0111233	0.0124965	0.0142592	0.0153524	0.0235526	0.0192344	0.0230848	0.026969	0.0260998	0.0210525	0.0304503	0.0268672	0.0372241	0.0411047	0.0449826	0.0494167	0.0497849	0.0517513	0.0544722	0.0577919	0.0575115	0.070696
suis	0.138976	0.0533923	0.0287773	0.0282248	0.0249992	0.0290583	0.0347475	0.0326953	0.0190725	0.0172997	0.0184171	0.0170529	0.0135512	0.0133982	0.0179168	0.0186544	0.0236839	0.0201817	0.0194354	0.0260099	0.0294354	0.0338549	0.0331865	0.0214194	0.0211204	0.0208877	0.0188393	0.0183074	0.0188831	0.0206193	0.0220232	0.0245656	0.0337788	0.0407517	0.0467834
