 	n	g	á	í	t	ε	i	m	w	a	b	h	í	l	í	m	w	a	ó	t	s	é	y	ó	b	é	é	</S>
j'	0.243855	0.325609	0.225306	0.0551621	0.0436963	0.00736887	0.0024653	0.0018094	0.00223083	0.0058451	0.00599448	0.00835509	0.00915527	0.01138	0.00607338	0.0056838	0.00597627	0.00271411	0.00379714	0.00314224	0.00399855	0.00287453	0.00336874	0.00158334	0.00208443	0.00334862	0.00350551	0.00361595
ai	0.0822315	0.0857981	0.0364141	0.024496	0.0170759	0.0252348	0.0422964	0.0675953	0.129754	0.108843	0.0208809	0.0175972	0.0170832	0.0157977	0.0112309	0.0156921	0.0096194	0.0135769	0.0215928	0.0170591	0.0361443	0.0194825	0.0259713	0.012483	0.0294897	0.0268953	0.0133558	0.0563093
vu	0.0258785	0.016303	0.0103133	0.026516	0.021776	0.0420926	0.0809871	0.0286607	0.0334042	0.0332608	0.0548764	0.0882341	0.0668198	0.0454491	0.0399839	0.0486222	0.0404527	0.0276013	0.0331118	0.0312499	0.0259075	0.0258477	0.0195499	0.0249931	0.0270388	0.0374257	0.0199779	0.0236659
un	0.0279929	0.0224479	0.0159576	0.0139714	0.0234509	0.0167129	0.0326652	0.0354573	0.02239	0.0177033	0.027614	0.0195954	0.0438289	0.0493306	0.137747	0.0802355	0.123411	0.0467384	0.0313396	0.0201103	0.0181996	0.0292308	0.0228864	0.0182279	0.0217963	0.0280489	0.0297659	0.0231436
scolopendre	0.03957	0.0265539	0.0231102	0.0156009	0.0449413	0.0420849	0.0312849	0.0355403	0.0368983	0.0197646	0.0269968	0.0572554	0.0516114	0.0332633	0.0412953	0.0395765	0.0367085	0.0359264	0.0308813	0.0280895	0.0331478	0.0284357	0.0282682	0.0272513	0.0302157	0.034812	0.0374424	0.083473
au	0.0332856	0.0234272	0.0295523	0.0200764	0.0199515	0.0303218	0.0466009	0.0411613	0.0493794	0.0258535	0.0662701	0.0507525	0.0354675	0.0406688	0.0264943	0.02839	0.0267739	0.0264249	0.0255049	0.0252649	0.0249618	0.025294	0.0257156	0.0266163	0.0274191	0.0319255	0.0516303	0.114816
dessous	0.022232	0.0252072	0.040907	0.0411639	0.0448114	0.0306419	0.0192309	0.0245461	0.02092	0.0299185	0.0401444	0.0311161	0.0329335	0.0407943	0.0248597	0.0344412	0.037995	0.0230385	0.0348146	0.0208118	0.0324142	0.0302618	0.0236098	0.0342274	0.0339088	0.0416316	0.0385332	0.144885
du	0.0385275	0.043698	0.0521941	0.0461344	0.0386318	0.0418812	0.0365895	0.0409772	0.0356159	0.0252693	0.0347908	0.0321985	0.0152102	0.0239714	0.0171896	0.0285699	0.0310618	0.0241084	0.0247513	0.0125551	0.0135376	0.0183709	0.0174829	0.0197744	0.0264866	0.047881	0.0597659	0.152775
lit	0.0290134	0.0316032	0.0384303	0.0350123	0.0281972	0.0202711	0.0136772	0.00918585	0.00938297	0.00928291	0.0165317	0.0197283	0.0283223	0.0409163	0.038791	0.046175	0.0313186	0.0242539	0.0400974	0.0258187	0.041889	0.04096	0.0326641	0.0405957	0.0617426	0.0891258	0.0507082	0.106305
</S>	0.0525035	0.037934	0.0308241	0.0609238	0.0263187	0.0576153	0.0542932	0.0278132	0.0193673	0.00738616	0.00782047	0.0144487	0.0216845	0.0270689	0.0450687	0.0397062	0.0498951	0.0279365	0.0449211	0.0229561	0.0259534	0.024519	0.0175829	0.0322278	0.0540985	0.0513778	0.0413555	0.0763993
