 	n	g	á	í	k	w	e	r	i	y	a	n	d	z	a	s	á	k	ώ	</S>
j'	0.173994	0.246286	0.112283	0.103753	0.0721228	0.0192119	0.00316133	0.00921227	0.0115341	0.0152445	0.0139542	0.024458	0.044697	0.0494757	0.0303218	0.0146921	0.0184108	0.0125811	0.0115612	0.0130445
ai	0.130835	0.0353754	0.038327	0.0322967	0.0559146	0.138641	0.0746206	0.109101	0.0668535	0.0491383	0.0197139	0.0128409	0.0111206	0.00746953	0.00926435	0.0111445	0.0192842	0.0255103	0.0425569	0.109992
abattu	0.0355769	0.0355855	0.0242094	0.0533675	0.0594864	0.0344358	0.0476258	0.0332601	0.0334751	0.0395824	0.0499234	0.0727896	0.0820284	0.0770955	0.0562178	0.0615703	0.0527478	0.0585101	0.0584889	0.0340234
l'	0.0444575	0.0221452	0.0157526	0.0157506	0.0814403	0.0295846	0.0768162	0.0289264	0.0269387	0.0368427	0.03696	0.0467709	0.052192	0.0800457	0.0321167	0.0539279	0.0514011	0.0648286	0.0978822	0.10522
arbre	0.0268461	0.0129583	0.0140699	0.0192527	0.0326073	0.0357611	0.0592308	0.0690602	0.0686317	0.0713976	0.0681563	0.0796525	0.064781	0.0603287	0.0532269	0.0416506	0.044769	0.041781	0.0420283	0.0938102
yanza	0.0100953	0.00700683	0.00817256	0.0129935	0.0156006	0.0170071	0.0245458	0.0257219	0.0479145	0.051966	0.0741994	0.0900644	0.0617689	0.0643743	0.0618801	0.0664574	0.0695768	0.0788254	0.0932693	0.11856
dans	0.0200764	0.0164311	0.0156006	0.0135597	0.013744	0.0162115	0.0203522	0.0226345	0.0308032	0.0339924	0.0435979	0.0395971	0.0345582	0.0451424	0.067516	0.0799529	0.0840258	0.104074	0.121701	0.176429
la	0.0460659	0.0417459	0.0264593	0.0246373	0.024951	0.0266257	0.0262393	0.0254352	0.0189212	0.0223886	0.0225696	0.0307308	0.0422204	0.0579613	0.0856608	0.0861926	0.0903225	0.0932129	0.0938767	0.113783
forêt	0.0397814	0.0351373	0.0291765	0.0389136	0.0317967	0.029486	0.0135535	0.0088036	0.00516866	0.00684428	0.00639749	0.0130336	0.0274377	0.0532658	0.0888232	0.0705519	0.124453	0.100218	0.126895	0.150263
</S>	0.0347544	0.0302414	0.0244605	0.0329629	0.0261315	0.0246041	0.0194876	0.0147922	0.00767471	0.010894	0.0117438	0.0177514	0.0286832	0.0498609	0.0892571	0.0901015	0.117135	0.107993	0.126831	0.13464
