 	a66	a87	a23	a57	a99	a97	a99	a50	a34	a44	a90	a56	a75	a85	a5	a21	a92	a98	a79	a98	a92	a85	a5	a47	a96	a62	a61	a12	a96	a88	a71	a9	a87	a23	a99	a54	a79	a44	a90	a93	a69	a4	a44	a75	a21	a5	a23	a18	a82	a87	a23	a97	</S>
ibhoyi	0.0227347	0.0358653	0.0309552	0.0286502	0.0167375	0.0244448	0.0178518	0.0321732	0.0355592	0.0536736	0.0779343	0.0987134	0.0694022	0.0618417	0.0194239	0.00964305	0.00849616	0.00742839	0.012927	0.0103843	0.00737603	0.0094298	0.00951412	0.0111421	0.0176811	0.0110585	0.0144467	0.025197	0.0169728	0.013721	0.0160501	0.00486172	0.00966935	0.0103916	0.0171389	0.0131335	0.0186028	0.0108775	0.00551727	0.00600389	0.00494184	0.0030064	0.00386792	0.00365442	0.00420075	0.00396656	0.00604348	0.00554573	0.00749445	0.00816243	0.00617215	0.00628455	0.0130339
chante	0.0104746	0.00856742	0.00999639	0.00659871	0.00367444	0.00457201	0.00308415	0.00687766	0.00827475	0.0081145	0.0199124	0.0220513	0.0205237	0.0326291	0.0343437	0.0309894	0.0355629	0.0298706	0.0458655	0.036523	0.0256317	0.0376151	0.033718	0.0191181	0.0326221	0.033062	0.0379931	0.0457372	0.0370467	0.0539404	0.0210833	0.0195583	0.0103817	0.0107423	0.00636831	0.00216849	0.00494503	0.00581735	0.00351223	0.00469658	0.00476115	0.00633054	0.0096814	0.0101617	0.0121769	0.0140874	0.0102261	0.0208371	0.0219542	0.0224667	0.0177481	0.0166359	0.00866864
doucement	0.0293097	0.0138264	0.0136215	0.0079347	0.00607463	0.00585077	0.00293038	0.00535839	0.0117605	0.0119066	0.0215359	0.0180406	0.0217495	0.0295865	0.0333276	0.0430711	0.0434573	0.0300632	0.0429104	0.0343887	0.0229074	0.0356658	0.0356597	0.0152654	0.0361571	0.0273278	0.050692	0.0501754	0.052602	0.0484093	0.0289992	0.0247593	0.0310525	0.0368866	0.0180999	0.0069308	0.0121642	0.00719078	0.00388845	0.00258958	0.0019056	0.00156059	0.0013874	0.00119757	0.00158577	0.00160583	0.00117275	0.00178011	0.00313744	0.00367095	0.00243497	0.00328364	0.00115009
et	0.0561705	0.0259208	0.0087197	0.00915087	0.0111708	0.00699637	0.00804583	0.00651072	0.00843033	0.00723903	0.0123634	0.0109513	0.0117184	0.00973126	0.0172692	0.0198142	0.0194368	0.0174089	0.0182439	0.0196601	0.0199782	0.02054	0.0198068	0.0102763	0.0312265	0.0220019	0.0372492	0.0371244	0.0309929	0.0601431	0.0204623	0.0154189	0.0120793	0.0114051	0.00808108	0.00873386	0.00736885	0.0140614	0.00613754	0.00879765	0.00532839	0.00655828	0.00503595	0.00482093	0.0142798	0.020002	0.024844	0.0362517	0.0376765	0.0403528	0.0247152	0.0426118	0.0306848
cela	0.115166	0.0307153	0.0177655	0.0128766	0.0185847	0.0121488	0.0174701	0.00421038	0.00535065	0.00244954	0.00306394	0.00267838	0.00282834	0.0026283	0.00429435	0.00590187	0.00868844	0.0117665	0.0101048	0.0219531	0.0453245	0.0289516	0.0318922	0.023562	0.0555632	0.048615	0.0762876	0.0444712	0.0497669	0.0657485	0.0256624	0.0189489	0.0162569	0.0196114	0.00738941	0.0111782	0.00582593	0.0123038	0.00421106	0.00743855	0.00665456	0.0070259	0.00551376	0.00427607	0.00562785	0.00664816	0.00483888	0.00815364	0.00743769	0.00761745	0.0115608	0.00945439	0.00553594
fait	0.0293709	0.0132759	0.00893098	0.00704341	0.00825837	0.00563203	0.0105052	0.00463688	0.00543105	0.00262344	0.00278078	0.00205042	0.00255526	0.00366055	0.00908065	0.00883187	0.0146465	0.0382808	0.0335256	0.0455809	0.099336	0.0462784	0.0753842	0.0274202	0.0798789	0.0679534	0.0583358	0.0569665	0.0518967	0.0554377	0.015396	0.00975198	0.0073148	0.00599001	0.00277005	0.00575357	0.00462534	0.00768371	0.00271494	0.0040222	0.00328352	0.00245539	0.00241717	0.00117223	0.00220324	0.00335427	0.00333167	0.00509702	0.00740972	0.00903509	0.00692495	0.00914733	0.0025567
un	0.0204259	0.0124174	0.0123378	0.00794802	0.00720922	0.00373345	0.00603481	0.0055103	0.00504217	0.00378763	0.00331654	0.00229744	0.00220872	0.00234251	0.00611859	0.00566805	0.00914405	0.0285435	0.023467	0.0311676	0.0592465	0.0338426	0.0550816	0.0320582	0.109586	0.0667097	0.0604318	0.0431211	0.0531925	0.0830138	0.0321066	0.0310107	0.0219232	0.016756	0.0103016	0.0102383	0.0086126	0.0124875	0.00440226	0.00456651	0.00420239	0.00220304	0.00292868	0.00202637	0.0040265	0.00320565	0.00421234	0.00420111	0.00375714	0.00728879	0.00392687	0.0076809	0.0029304
beau	0.0230877	0.0142785	0.0206768	0.0131782	0.0120054	0.00734602	0.0111628	0.013915	0.0102127	0.0107885	0.0121584	0.00761899	0.00464936	0.00368423	0.00920123	0.00625481	0.00958786	0.021105	0.0214686	0.0253776	0.0393972	0.0414125	0.0490942	0.042081	0.10492	0.0530331	0.0438205	0.0396098	0.0417793	0.0472501	0.0348934	0.0186227	0.0181481	0.0175501	0.0120573	0.0157545	0.011812	0.016648	0.00643622	0.00428487	0.00416942	0.00217535	0.00262416	0.00231636	0.00470108	0.00337663	0.005976	0.00727697	0.00869029	0.0160441	0.00780706	0.0110532	0.00742634
chant	0.0253076	0.0132579	0.0175662	0.0133029	0.0128527	0.0106826	0.0120727	0.0124836	0.00837214	0.00880574	0.010889	0.00741342	0.00523336	0.00552754	0.0110379	0.00959742	0.0139638	0.0214912	0.0217929	0.0258741	0.0348972	0.0363764	0.0482956	0.0465489	0.0835009	0.0603151	0.0414168	0.0360018	0.0362269	0.0377688	0.0309267	0.0210283	0.0199256	0.0188513	0.0127527	0.0196458	0.0083987	0.0147566	0.0070959	0.00470666	0.00555943	0.00313987	0.00353001	0.00299216	0.0065046	0.00547578	0.00965207	0.0117143	0.0125551	0.017126	0.010326	0.0132482	0.0112149
</S>	0.0257227	0.0161069	0.0118845	0.0127351	0.0133736	0.00874045	0.0131462	0.0151322	0.00982291	0.0109305	0.0128618	0.0109342	0.00934928	0.0093274	0.0173728	0.00548348	0.00950799	0.0137574	0.0160309	0.00995826	0.0166175	0.0290536	0.0274322	0.0279483	0.0500471	0.0458282	0.0313763	0.0272579	0.0232525	0.0246725	0.0164322	0.00712213	0.00795167	0.00754337	0.0074623	0.00884303	0.0206131	0.0220334	0.00837077	0.0101895	0.0111746	0.011337	0.0101454	0.0103061	0.0126407	0.0139561	0.0216442	0.0336876	0.0250653	0.0442828	0.0385665	0.0459261	0.0490416
