 	a66	a87	a23	a54	a36	a37	a54	a47	a36	a40	a6	a37	a93	a4	a44	a79	a44	a90	a79	a44	a32	a11	a21	a92	a36	a6	a36	a2	a57	a87	a23	a10	a83	a44	a7	a26	a18	a5	a36	a27	a47	a62	a88	a71	a9	a87	a23	a87	</S>
mon	0.0286298	0.0517084	0.0648435	0.0703637	0.0593025	0.0668627	0.0456505	0.041644	0.0585024	0.0408331	0.0324056	0.0275198	0.0149252	0.0135689	0.0145546	0.0176534	0.0159807	0.0271873	0.0234015	0.0250814	0.0257141	0.0260184	0.0202398	0.0146228	0.00846479	0.0100074	0.0080209	0.00541967	0.00892693	0.0074193	0.00608639	0.00790105	0.00729642	0.00358788	0.00299693	0.00233561	0.00328952	0.004299	0.00700477	0.00514564	0.00458278	0.00545156	0.00535942	0.00777662	0.00679756	0.00622233	0.00874511	0.00971664	0.0199318
père	0.00246694	0.00509831	0.0155214	0.0300096	0.0371931	0.134542	0.150059	0.128367	0.0462808	0.0454679	0.0517385	0.0298184	0.0214503	0.0250941	0.0156414	0.0156408	0.0159224	0.0143004	0.0196273	0.0157009	0.00908262	0.012909	0.0300898	0.012963	0.017671	0.00801753	0.00985612	0.00787164	0.00885584	0.00491303	0.00891481	0.00315603	0.00781878	0.00943889	0.00477047	0.00390358	0.00399384	0.00262475	0.00334952	0.00126058	0.000894098	0.000904582	0.000938636	0.000555465	0.00045732	0.000842104	0.000941671	0.00198911	0.0010762
ne	0.0181502	0.0140556	0.00668794	0.01138	0.00941958	0.031612	0.0882373	0.12568	0.138144	0.087488	0.0917093	0.0398883	0.0260544	0.0196582	0.0122839	0.0149413	0.00991555	0.0131708	0.0116347	0.00935793	0.00751261	0.00660756	0.00675928	0.0125611	0.0116794	0.00949746	0.0239145	0.0195243	0.00706826	0.0157827	0.00395461	0.00188805	0.00628387	0.012049	0.00866645	0.0066517	0.00468465	0.00498603	0.0103729	0.00539106	0.00559395	0.00651868	0.00353928	0.00174844	0.00202778	0.00487841	0.00283373	0.00598598	0.00156902
peut	0.0216579	0.0101998	0.00432096	0.0035031	0.00346657	0.00349614	0.00337365	0.00403147	0.00641778	0.00955199	0.009281	0.0126354	0.00837938	0.0105842	0.00506179	0.0153422	0.0126389	0.0163928	0.013269	0.0207145	0.0201345	0.0342708	0.0296405	0.0499005	0.0522805	0.0425837	0.0539372	0.0737183	0.0529393	0.0308582	0.0183826	0.0186516	0.0133006	0.01608	0.0199827	0.0219891	0.0191666	0.0121889	0.0130981	0.0162963	0.018023	0.0252741	0.0104841	0.0161011	0.0214645	0.0371374	0.0229592	0.0261175	0.0187205
pas	0.052434	0.0472694	0.0231101	0.0216077	0.0149765	0.0170082	0.00670123	0.00494624	0.0164364	0.0120013	0.00981075	0.0196176	0.0160784	0.0318358	0.021903	0.045197	0.0211831	0.0481554	0.0343633	0.0319057	0.0407898	0.0384774	0.0447476	0.0336676	0.0299729	0.0332849	0.0175517	0.0192316	0.0255757	0.0138343	0.0131576	0.0111933	0.0103326	0.00754419	0.00819669	0.0135931	0.0178633	0.0214651	0.0111301	0.0105425	0.00899929	0.00937533	0.0107268	0.00810836	0.00551716	0.00701082	0.00805246	0.00919058	0.0143261
faire	0.00837277	0.00376903	0.00197167	0.00248285	0.00301364	0.00631157	0.000895123	0.0016401	0.00659997	0.0166725	0.0211477	0.0424891	0.0471561	0.0495429	0.0341775	0.0534168	0.0637363	0.0430378	0.0392987	0.0394162	0.0709891	0.0611393	0.0612734	0.0390304	0.0436609	0.0317218	0.0280118	0.0237213	0.0161766	0.0174909	0.00980227	0.00669272	0.0111246	0.00414946	0.0052032	0.00552023	0.00552404	0.0063697	0.00587436	0.00634007	0.00835511	0.0076078	0.007442	0.00664679	0.00599502	0.00443083	0.00484479	0.00531609	0.00439709
de	0.0119346	0.00680439	0.00293736	0.00331336	0.00274108	0.00328797	0.000899448	0.00125344	0.0039263	0.00775298	0.0161393	0.0188269	0.0267522	0.0284858	0.0290201	0.0505132	0.0548576	0.0437613	0.0494607	0.0505936	0.0708926	0.0491533	0.0521431	0.0461386	0.0467555	0.0337596	0.0510126	0.0256116	0.0168528	0.0265771	0.0132544	0.008091	0.0117135	0.00602753	0.00561333	0.00583255	0.00519244	0.00685104	0.00712862	0.00975795	0.0135606	0.0142167	0.0125038	0.00977569	0.00941328	0.00561282	0.00719552	0.00636628	0.00973457
longues	0.0220316	0.0147622	0.00414263	0.00425112	0.00471421	0.00427455	0.000829674	0.0016967	0.00271604	0.00469204	0.00865879	0.0128828	0.0157303	0.0237966	0.0307791	0.062565	0.0667604	0.0439112	0.0637116	0.0545138	0.0648381	0.0688721	0.0523765	0.0467977	0.0454861	0.0356362	0.0468367	0.0153143	0.00491117	0.0159152	0.00448537	0.00495444	0.0115825	0.00864032	0.0103671	0.012165	0.00379006	0.00622338	0.0062973	0.00954278	0.0114832	0.0108437	0.00905624	0.0092614	0.00968222	0.00487678	0.00683217	0.00723133	0.00828008
distances	0.0114477	0.00814606	0.00309115	0.00250986	0.0013958	0.00199261	0.000993361	0.00191459	0.00340599	0.00518435	0.00628338	0.00788217	0.016395	0.0175008	0.0234488	0.0406248	0.0405531	0.028344	0.0460758	0.036328	0.0871761	0.0569016	0.0574322	0.0522912	0.0531733	0.0448419	0.0488009	0.0235184	0.00888276	0.0241385	0.00915587	0.0110473	0.0164103	0.0098046	0.0156971	0.0169007	0.00988433	0.00844054	0.00587278	0.0110543	0.0179459	0.0208015	0.0131496	0.0168385	0.0113193	0.0110677	0.0131403	0.0145011	0.00629397
parce	0.0192683	0.0205191	0.00966324	0.00880059	0.00500052	0.00414191	0.0010599	0.00321745	0.00706672	0.00733256	0.00979639	0.00695133	0.00842101	0.0152721	0.0163564	0.0399918	0.0404319	0.0326444	0.0579238	0.0552209	0.0654716	0.117532	0.091048	0.0719723	0.0372972	0.0389411	0.0243106	0.00809136	0.00585126	0.0116029	0.00563414	0.00821272	0.00698514	0.00403024	0.00502078	0.00536372	0.0021405	0.00523717	0.00360495	0.00492352	0.00758935	0.0127206	0.0066482	0.00948474	0.0082672	0.0136844	0.0194724	0.0231242	0.00665673
qu'	0.0257168	0.0290465	0.0237467	0.0223396	0.0119458	0.0150535	0.0105084	0.0154058	0.017794	0.0109407	0.00844594	0.0124507	0.0125777	0.0116651	0.0103489	0.0166198	0.0137276	0.0169246	0.0142352	0.0208453	0.0280016	0.0362965	0.0314545	0.0396745	0.0339626	0.0293838	0.0247398	0.0265494	0.0222439	0.0298168	0.0156333	0.0165165	0.0168236	0.0171343	0.0151243	0.0134757	0.00597551	0.0152323	0.0136405	0.0123164	0.0131382	0.0187406	0.0108009	0.0193152	0.0194225	0.0343277	0.0362791	0.0604348	0.0232065
il	0.028915	0.0346248	0.0245223	0.0245584	0.0114158	0.0123298	0.0135521	0.0139391	0.0165494	0.00980786	0.00630457	0.0141837	0.0105264	0.0108887	0.0113393	0.0170647	0.00980441	0.0182832	0.0122891	0.0169316	0.0249414	0.0369221	0.0299337	0.0440499	0.0365318	0.0323513	0.022469	0.0328218	0.0279774	0.0296657	0.0168814	0.0162528	0.0175094	0.0178902	0.0159506	0.0138307	0.0072535	0.0160174	0.0193206	0.0130342	0.011724	0.0168101	0.00744976	0.0161413	0.018623	0.0343842	0.032198	0.0500155	0.023219
