 	a66	a87	a23	a99	a44	a94	a70	a13	a4	a13	a54	a5	a44	a70	a96	a54	a44	a4	a13	a3	a97	a87	a23	a87	a23	a87	a23	</S>
les	0.0560917	0.0600697	0.0355935	0.0273287	0.0190551	0.0133456	0.0106931	0.0143817	0.0099064	0.0067783	0.0119891	0.00497105	0.00570194	0.00341331	0.00780487	0.0118087	0.0239437	0.035694	0.0863309	0.0932417	0.0986289	0.0875974	0.0691974	0.0545608	0.0503654	0.0242749	0.0272871	0.049945
gens	0.00700039	0.0164962	0.0485008	0.0758583	0.0952516	0.0716814	0.125596	0.0490721	0.0925518	0.0732806	0.111562	0.0785859	0.0452204	0.0357903	0.0288777	0.00632995	0.00333793	0.00955412	0.00478536	0.00394222	0.00476905	0.00329143	0.0020475	0.00139922	0.0015434	0.000720611	0.00262719	0.000326475
sont	0.0653296	0.111841	0.0438136	0.0325558	0.0466958	0.040279	0.0527252	0.0389757	0.0577782	0.0561948	0.0549203	0.0621464	0.0269043	0.0187006	0.0106436	0.0130795	0.0105881	0.0325867	0.0217873	0.0204801	0.0411364	0.0292806	0.0313481	0.0202312	0.0163018	0.015289	0.0213612	0.00702557
en	0.0201477	0.0151497	0.0161618	0.0175931	0.0202346	0.0159633	0.0246661	0.032361	0.0461641	0.08117	0.0934236	0.120633	0.112674	0.0802688	0.069978	0.0206415	0.0111475	0.0170042	0.0160505	0.0173728	0.0222999	0.0198229	0.012285	0.0198011	0.0121809	0.0221012	0.0140495	0.028655
train	0.0199912	0.0234427	0.022851	0.01697	0.0176568	0.0228087	0.0241916	0.0345434	0.0595386	0.0874035	0.0786841	0.0871006	0.0915065	0.0977357	0.0397002	0.0266978	0.0101691	0.0159177	0.0133996	0.0145712	0.0162092	0.0256268	0.0237398	0.0335395	0.0232072	0.0282706	0.0262094	0.0183177
de	0.0431469	0.0155852	0.00813702	0.00667419	0.00596967	0.00539866	0.00675702	0.0112582	0.00940569	0.011818	0.00812078	0.0049305	0.00429867	0.0107338	0.0133829	0.0383638	0.0452846	0.0598777	0.0587274	0.0592899	0.0649731	0.0781853	0.0564177	0.0527265	0.0675273	0.0602045	0.0627011	0.130104
huer	0.113456	0.0654434	0.0314747	0.0269378	0.0371691	0.038276	0.063656	0.0992805	0.0778166	0.0452275	0.0414711	0.0215353	0.0208504	0.0149748	0.0183753	0.023437	0.0241604	0.0154299	0.0181671	0.0156627	0.015523	0.0120909	0.0117114	0.0105996	0.0252314	0.0226796	0.028877	0.0604852
le	0.0393745	0.0178529	0.0131335	0.00744397	0.00947485	0.0129791	0.00914809	0.0109807	0.00807629	0.00774484	0.00897253	0.0109764	0.0131443	0.0210612	0.0231074	0.0396488	0.0290169	0.0351912	0.0518609	0.0635302	0.058319	0.0543599	0.049791	0.0514363	0.0792709	0.0696107	0.0608765	0.143617
voleur	0.0356097	0.0213881	0.0105782	0.00691978	0.0074116	0.00986695	0.00909566	0.010385	0.0118792	0.0123769	0.0125111	0.0118918	0.0133197	0.0163469	0.0199838	0.0276496	0.0363702	0.0339278	0.0483023	0.0864831	0.0746929	0.0799353	0.0714523	0.0591995	0.0762193	0.0543082	0.0481376	0.0937575
</S>	0.0154699	0.00981803	0.00632553	0.00520779	0.00521517	0.0065074	0.00563868	0.00623048	0.00610794	0.00442857	0.00852817	0.00569495	0.00706607	0.00890959	0.0141231	0.0183053	0.0198291	0.0225219	0.0519216	0.0918966	0.102482	0.0912556	0.0833044	0.0850626	0.0825846	0.0853255	0.0657557	0.0844842
