 	a10	a30	a57	a87	a23	a54	a73	a44	a66	a11	a70	a54	a73	a69	a15	a73	a84	a57	a87	a23	a53	a69	a58	a53	a15	a90	a32	a98	a73	a58	a75	a41	a12	a66	a82	a38	a61	a75	a98	a73	a69	a84	a87	</S>
on	0.0173497	0.0265968	0.0196487	0.0155821	0.0141155	0.0186194	0.0293762	0.0596493	0.0364956	0.0205407	0.0403429	0.0231126	0.0141274	0.0177224	0.0225589	0.0342202	0.0232137	0.0196021	0.0280153	0.0216562	0.0256496	0.0266192	0.00861029	0.00657117	0.00584238	0.00650632	0.00702171	0.00965067	0.00666181	0.0105133	0.0103459	0.0122554	0.00833511	0.0093075	0.0221724	0.0150103	0.0358407	0.046938	0.0480383	0.0328791	0.048775	0.0416728	0.0212508	0.0309863
ne	0.00577569	0.0029389	0.00426031	0.0129191	0.0191	0.0289629	0.0294753	0.028616	0.0409303	0.0581075	0.0548351	0.0684605	0.0569438	0.0530098	0.0544198	0.048474	0.0306782	0.0187652	0.0164475	0.00891933	0.0118759	0.00873596	0.0103331	0.00530177	0.0100319	0.00737258	0.00670892	0.00662644	0.00557751	0.00653129	0.00695217	0.00834244	0.00597368	0.00654459	0.0103964	0.01792	0.0234339	0.0225339	0.0245475	0.0274886	0.0349438	0.0361641	0.0315478	0.0220767
l'	0.0174209	0.014078	0.0174255	0.0211612	0.0268515	0.0247074	0.0326415	0.0400922	0.0239094	0.0308732	0.0366902	0.0278241	0.0305191	0.0231303	0.0207127	0.0193547	0.0157042	0.0135323	0.00977763	0.0053459	0.00505601	0.00377235	0.00269471	0.00227731	0.00351643	0.00517757	0.00806504	0.00839601	0.00586301	0.00671714	0.00566697	0.00611618	0.00402571	0.00535986	0.00413884	0.00899791	0.0204856	0.0579531	0.0704919	0.0877491	0.0775033	0.0500698	0.0548576	0.0432965
aime	0.0819932	0.0370828	0.0431615	0.0312803	0.0334146	0.0335603	0.0202486	0.0175395	0.0258185	0.0449734	0.019956	0.0218484	0.0537979	0.0395235	0.0347316	0.0338055	0.0607537	0.0328593	0.0302933	0.0280902	0.021047	0.0136401	0.0147211	0.0149635	0.0111872	0.0088103	0.00705641	0.0107979	0.0145962	0.0154066	0.00937231	0.0107431	0.0103362	0.00866759	0.011486	0.0126732	0.0099501	0.00802715	0.00833675	0.00996114	0.00712717	0.010183	0.00980335	0.0163746
pas	0.0396648	0.0316397	0.0252656	0.0269525	0.0184421	0.0241416	0.0275978	0.0334356	0.0283039	0.0294978	0.0195092	0.0263057	0.0311784	0.0196146	0.0204065	0.033405	0.0351062	0.0260929	0.0278722	0.025551	0.0294837	0.0215871	0.0284436	0.0276592	0.0257031	0.0255615	0.0231166	0.0209664	0.0269373	0.0208684	0.00911189	0.0102358	0.0124919	0.0114724	0.0178374	0.0111692	0.0123802	0.0147424	0.00828906	0.0171711	0.0124214	0.0126013	0.012632	0.037134
à	0.0360966	0.0228163	0.0181907	0.0217135	0.0106814	0.015562	0.0207601	0.0280268	0.0318253	0.0276017	0.023052	0.0238748	0.0221975	0.0170266	0.0187174	0.0292153	0.0369807	0.0272165	0.0380456	0.0307664	0.0276162	0.0282956	0.0218166	0.0191261	0.0167711	0.0112399	0.0136237	0.0113827	0.0150127	0.0143076	0.0114924	0.0100754	0.0131125	0.0141386	0.0167398	0.0224075	0.0307182	0.0362122	0.0236149	0.0145836	0.0277831	0.0258733	0.030448	0.0432409
cause	0.0494617	0.0406447	0.0310003	0.0322735	0.0232936	0.0236209	0.033193	0.0341566	0.0221217	0.0189639	0.017032	0.0264462	0.0344067	0.0195185	0.0294088	0.0309162	0.0122645	0.0111925	0.0146208	0.0109295	0.0317026	0.0154371	0.0319094	0.0222662	0.019666	0.016393	0.0195884	0.0200184	0.0232677	0.0211401	0.0231575	0.023934	0.0358295	0.0254218	0.0180246	0.0115927	0.0117141	0.0170703	0.0110289	0.00903426	0.0109972	0.0168359	0.0197451	0.0287593
de	0.0636113	0.0229869	0.0212288	0.0364657	0.0252401	0.0211997	0.0314954	0.0310371	0.017387	0.020979	0.0171496	0.0214393	0.0194832	0.0124072	0.0163532	0.0251366	0.00768811	0.00760328	0.011756	0.00983291	0.0245922	0.0237474	0.0292402	0.0218857	0.0337918	0.0241592	0.027037	0.0232398	0.0141405	0.0176754	0.01867	0.0148676	0.0159306	0.0135433	0.0171484	0.0142335	0.0182019	0.0217387	0.0265875	0.0192437	0.0280205	0.0286386	0.0391165	0.0440695
son	0.04699	0.0323579	0.031921	0.0310102	0.0280144	0.0179109	0.0138013	0.0140038	0.0110584	0.0159213	0.0148127	0.0149387	0.0156682	0.0126789	0.018017	0.0340561	0.0195579	0.0221333	0.0316686	0.0316618	0.0398238	0.0385816	0.02577	0.0223526	0.02712	0.0267886	0.0176687	0.0241806	0.0159783	0.0218148	0.0300104	0.014576	0.0170188	0.0137644	0.0287505	0.0136899	0.0143329	0.0164937	0.0211323	0.0151302	0.015899	0.0215295	0.0215814	0.0378294
avarice	0.0273756	0.0204718	0.0194479	0.0184093	0.0154527	0.014306	0.0135127	0.0125313	0.010579	0.0156012	0.016298	0.0141065	0.0141132	0.00768059	0.00814953	0.0117611	0.0109796	0.0103648	0.0191537	0.0271542	0.0317645	0.0318941	0.021598	0.0153081	0.0143029	0.01737	0.0170605	0.0171114	0.0260381	0.0282505	0.0237117	0.0304673	0.0239794	0.0290495	0.0370791	0.0383168	0.042717	0.0420651	0.0407592	0.0269167	0.0396729	0.0305422	0.0445518	0.0220247
</S>	0.0254342	0.0102862	0.0127432	0.0201219	0.0117341	0.00951241	0.0128403	0.0170339	0.0114276	0.0146913	0.028202	0.0145229	0.0199569	0.011652	0.0123722	0.0146391	0.00761198	0.00885223	0.00960209	0.0086978	0.0158446	0.0135698	0.0182772	0.0132478	0.016875	0.0158118	0.0140345	0.0104127	0.0170665	0.0177827	0.0132104	0.00978361	0.010395	0.0120515	0.0203562	0.025823	0.0446894	0.0740173	0.0588181	0.0324599	0.0769606	0.0691153	0.0694708	0.0479921
