 	a66	a87	a23	a87	a23	a61	a37	a70	a93	a56	a79	a43	a61	a75	a85	a6	a85	a6	a56	a43	a31	a62	a88	a75	a85	a5	a61	a18	a21	a61	a75	a79	a7	a44	a90	a44	a37	a18	a82	a87	a23	a87	</S>
le	0.0350484	0.032031	0.0342915	0.0480611	0.0387681	0.0328294	0.118769	0.0468411	0.0231899	0.0382043	0.0228382	0.0206078	0.0175095	0.0149012	0.0124539	0.0107629	0.00817096	0.00640354	0.00823155	0.00886493	0.00700191	0.00949453	0.0122194	0.00820717	0.00686778	0.0070694	0.0115411	0.0332209	0.0194675	0.0204656	0.0210526	0.0175964	0.0125095	0.00554164	0.00853804	0.0259891	0.0201901	0.0195634	0.014371	0.0267512	0.0351296	0.0298464	0.0485873
ronflement	0.00220866	0.00560026	0.0118503	0.0185422	0.0276959	0.0595946	0.0852142	0.138707	0.0540602	0.061846	0.0427978	0.0368297	0.0309643	0.044982	0.034058	0.0419584	0.0438965	0.031011	0.0372717	0.0354678	0.0354868	0.0266614	0.0299677	0.0175325	0.0163065	0.00557022	0.00618341	0.00203813	0.00284621	0.00116323	0.000932355	0.000982464	0.0014188	0.00125442	0.000693557	0.000755822	0.000673631	0.000406451	0.000768658	0.000716267	0.000471655	0.00169288	0.000921148
de	0.00975455	0.0303325	0.0327251	0.0282038	0.0390715	0.0443039	0.0161253	0.0415707	0.0571823	0.0937967	0.0757908	0.0742914	0.0690744	0.0641664	0.0313253	0.0465248	0.0334155	0.0337529	0.0381497	0.030114	0.016234	0.0142721	0.0153664	0.0197862	0.0172457	0.00561962	0.00513167	0.00205879	0.00232984	0.00154627	0.000771195	0.000954536	0.000789715	0.000629524	0.000668666	0.000593612	0.000496151	0.000786754	0.000887422	0.000911199	0.000875469	0.00133425	0.0010396
notre	0.0137457	0.0223319	0.0220825	0.0226372	0.0208742	0.0161824	0.0116072	0.0193662	0.0340768	0.0290077	0.044228	0.0532721	0.0493818	0.0555486	0.0657542	0.0419096	0.0351564	0.0411507	0.0329314	0.0313226	0.0320653	0.0205732	0.018698	0.0243593	0.0222233	0.0103515	0.00987995	0.0106401	0.00897484	0.00766757	0.0115848	0.0134447	0.0192298	0.0159768	0.0167455	0.0114824	0.0131693	0.0126668	0.0098579	0.014242	0.00957897	0.017363	0.0066579
grand	0.0216862	0.020391	0.0190804	0.015554	0.0174928	0.01368	0.0100193	0.0071242	0.010269	0.010397	0.0229456	0.0161828	0.0136655	0.0209226	0.0210522	0.0244263	0.0268215	0.0441884	0.0386442	0.0327809	0.0385502	0.0330473	0.0375246	0.0484546	0.0377619	0.0418631	0.0334312	0.0314088	0.0244536	0.0244637	0.019164	0.0188112	0.0280097	0.0193222	0.0268513	0.0212553	0.0252752	0.0288778	0.0125481	0.0137781	0.0102998	0.00831999	0.00920485
père	0.0222514	0.0216812	0.0156295	0.0168848	0.0161634	0.0246657	0.0162887	0.0148937	0.0169619	0.022414	0.0507137	0.0276471	0.0295867	0.0215202	0.0200973	0.026597	0.0203558	0.0302726	0.0187259	0.0164264	0.0123948	0.01394	0.0179146	0.0177459	0.0181495	0.0165362	0.0138804	0.0192979	0.0177808	0.025377	0.023526	0.0313271	0.0321211	0.024207	0.0321952	0.0314922	0.0335666	0.0473152	0.0246778	0.0379812	0.0298817	0.0201874	0.00872729
me	0.0197693	0.0237961	0.0232037	0.0252449	0.0274531	0.0390327	0.0181738	0.0140968	0.0219428	0.0205377	0.0350252	0.0176783	0.0164427	0.0101351	0.0128905	0.0213939	0.0215588	0.0290664	0.0194717	0.0163577	0.00981205	0.0119883	0.0155466	0.0126955	0.0170209	0.0100907	0.0147321	0.0159174	0.0129068	0.0176229	0.0225744	0.0372047	0.0286452	0.0292919	0.0309236	0.0485263	0.0507032	0.0317667	0.0432064	0.0370517	0.0265686	0.0220667	0.0198665
fait	0.0139778	0.0159157	0.0134883	0.0136126	0.014775	0.018774	0.0107285	0.0162066	0.0248753	0.0279885	0.0377632	0.0346883	0.0310033	0.022878	0.0209204	0.0361678	0.0385513	0.064569	0.0408574	0.0246112	0.0182621	0.0138972	0.0166187	0.0112375	0.0156611	0.0092589	0.0106471	0.00952141	0.00865124	0.00772244	0.0110094	0.0224238	0.0272932	0.0225374	0.0270845	0.0456126	0.0431191	0.0388529	0.0320718	0.0369221	0.0222161	0.0187331	0.0082942
peur	0.0217026	0.0227349	0.0275172	0.0236347	0.0253139	0.0270249	0.0208292	0.0161703	0.0214208	0.0191851	0.0290598	0.0189756	0.017837	0.0179588	0.0213026	0.0266905	0.0298501	0.0254074	0.0195774	0.0129144	0.0117796	0.00761715	0.00935058	0.00827733	0.00875487	0.00624654	0.0120647	0.012142	0.010634	0.00950025	0.0172405	0.0154637	0.0219772	0.0180223	0.0228828	0.0551474	0.0552888	0.0583797	0.0459901	0.0521748	0.0397844	0.0332994	0.0228746
</S>	0.0192476	0.0201	0.0193027	0.0219571	0.0208542	0.0288555	0.0263457	0.0292065	0.024544	0.0200473	0.0242416	0.0212024	0.0167157	0.0199045	0.0170919	0.0178216	0.0146287	0.0113327	0.00892677	0.00725305	0.00679704	0.00721878	0.00979659	0.00962624	0.00817459	0.00917795	0.0121063	0.0144008	0.0144524	0.0175721	0.0282308	0.0251321	0.0248584	0.027261	0.0379845	0.0310743	0.040985	0.0422228	0.0449513	0.0488476	0.038189	0.0532122	0.0581488
