 	a23	a79	a13	a99	a53	a79	a70	a79	a69	a53	a20	a44	a38	a99	a9	a99	a54	a79	a54	a44	a54	a44	a54	a44	a54	a7	a26	a70	a83	a54	a69	a4	a82	a87	a23	a87	a97	a3	</S>
son	0.0290511	0.0607839	0.0375699	0.0439142	0.0707646	0.0508346	0.0722436	0.0835975	0.0265911	0.0377236	0.0544087	0.0341664	0.0523846	0.0359438	0.0321702	0.0230611	0.0240921	0.01329	0.0125192	0.0140704	0.008393	0.00695043	0.00487252	0.00660202	0.00468253	0.00453145	0.00263692	0.0027649	0.00599566	0.00809598	0.0108013	0.0116997	0.0114363	0.0126994	0.0166741	0.0175273	0.013871	0.0132555	0.0273292
bonheur	0.00332758	0.00555544	0.00575826	0.0100975	0.014639	0.0215804	0.034038	0.0323074	0.0429549	0.0733718	0.124346	0.0600824	0.0587192	0.0466071	0.0540822	0.0314305	0.0442657	0.0584117	0.061846	0.0541727	0.0308843	0.0234107	0.0161839	0.0172738	0.00960511	0.0119958	0.00803692	0.00807318	0.00830579	0.00308099	0.0026053	0.00193935	0.00130905	0.00181055	0.00188762	0.00247197	0.00209794	0.00439932	0.0070346
était	0.00939777	0.0121536	0.0152634	0.0207783	0.0168097	0.020358	0.0343928	0.0180151	0.041907	0.0514664	0.10105	0.0372528	0.0350019	0.0375934	0.0483587	0.171845	0.0768098	0.0401062	0.0360453	0.0314015	0.0274368	0.017563	0.0135297	0.00905559	0.00666436	0.00580063	0.00427109	0.00522585	0.00579989	0.00738186	0.00492388	0.0036138	0.00485763	0.00485107	0.00391262	0.00532748	0.00290813	0.00449872	0.00637114
d'	0.0250649	0.00849924	0.00648437	0.0102482	0.00503552	0.00429577	0.00388624	0.00535612	0.00502443	0.0136488	0.00833599	0.0315178	0.0472868	0.0208806	0.0279489	0.0234063	0.0149638	0.0211196	0.0217795	0.0167718	0.0457444	0.0481028	0.0465688	0.0583834	0.106246	0.03195	0.0475083	0.0584207	0.0312973	0.0200213	0.0199876	0.0327921	0.0225799	0.018958	0.0161524	0.0136972	0.0201797	0.0149431	0.0249127
avoir	0.0694239	0.0669964	0.0629287	0.0682532	0.0562526	0.0401515	0.0228082	0.0182319	0.013625	0.0134499	0.0102954	0.0344334	0.0299037	0.0412584	0.0556034	0.0318267	0.0148816	0.0138271	0.0113433	0.0113022	0.010938	0.0112474	0.0106766	0.00897229	0.00910462	0.00451096	0.00719883	0.00683484	0.0120637	0.0158083	0.0194633	0.021712	0.0226896	0.0194286	0.0271995	0.0265202	0.0274099	0.0236343	0.0277904
tous	0.021093	0.0158676	0.00884849	0.0092979	0.0100423	0.0073654	0.00864892	0.00959376	0.0143934	0.0127454	0.0354827	0.0887336	0.0590046	0.0627186	0.0983425	0.0689082	0.0671032	0.050732	0.0196677	0.0152742	0.0130662	0.00773395	0.00588944	0.00699108	0.00864807	0.0047781	0.00487099	0.00441318	0.00600396	0.0133529	0.0201658	0.0348728	0.0280913	0.0199679	0.0323075	0.0303116	0.0239825	0.017979	0.0327102
ses	0.027645	0.0174355	0.0183807	0.0161539	0.0193197	0.019189	0.015649	0.0125629	0.0162744	0.00568963	0.0104678	0.0512655	0.0271344	0.0347355	0.0503418	0.0492996	0.0370696	0.0427475	0.0207479	0.015423	0.0165048	0.00988634	0.00944074	0.0110425	0.0179275	0.00954579	0.0173936	0.00967385	0.014145	0.0211454	0.0249911	0.0301761	0.0267614	0.0304336	0.0397056	0.0437015	0.0416971	0.0465073	0.0717886
enfants	0.0374951	0.0276086	0.0236202	0.0248718	0.0217388	0.0161894	0.0130815	0.010873	0.011453	0.00744108	0.0117986	0.0967612	0.0468841	0.0574011	0.0832597	0.0735257	0.0384426	0.0360811	0.0116963	0.0122578	0.00975428	0.00813731	0.00863459	0.0113609	0.0115707	0.00956976	0.012995	0.0105404	0.0118117	0.0118981	0.0217868	0.0207746	0.0198041	0.0180628	0.0270929	0.0323259	0.028437	0.0263819	0.0365805
autour	0.0348827	0.0448752	0.0458507	0.0628555	0.0634693	0.063862	0.0548568	0.0372977	0.0255607	0.0123648	0.0194424	0.0399506	0.0249769	0.0369992	0.0396588	0.0427201	0.0299321	0.0284939	0.0148939	0.0105326	0.00889192	0.00577786	0.00626889	0.0060332	0.00877028	0.00663993	0.00858646	0.00721409	0.0102644	0.00985909	0.0163237	0.0159263	0.0109698	0.0108098	0.0154963	0.0183049	0.0180635	0.022977	0.0593468
d'	0.0404881	0.0398812	0.038797	0.05667	0.0503835	0.0459882	0.0318039	0.021453	0.0144988	0.00658442	0.0123522	0.0292828	0.0248539	0.0265332	0.0250973	0.0242431	0.0212199	0.0269691	0.0192461	0.0146933	0.0129005	0.011128	0.0114506	0.0110611	0.015545	0.0125611	0.0166085	0.0101336	0.0144682	0.0130976	0.0165778	0.0168976	0.0105261	0.0153204	0.0229828	0.027875	0.0313741	0.0418304	0.116622
