 	a85	a66	a87	a97	a87	a23	a83	a54	a6	a92	a85	a6	a37	a61	a37	a75	a79	a98	a79	a92	a61	a43	a31	a88	a9	a10	a87	a23	a97	</S>
le	0.0490229	0.0507207	0.0385688	0.0242302	0.0189316	0.0284119	0.0220101	0.0241631	0.0507356	0.0697456	0.0557532	0.0649685	0.0651613	0.0244899	0.022717	0.0108012	0.00782073	0.00722366	0.0128081	0.0330369	0.029692	0.0321911	0.0340057	0.027983	0.0231396	0.0433743	0.0328048	0.0292644	0.0284608	0.0377632
féticheur	0.00195219	0.00410479	0.00560422	0.00614146	0.0067143	0.0272072	0.117715	0.150833	0.187542	0.23792	0.128025	0.0434421	0.025729	0.0144236	0.0147238	0.00837631	0.00252776	0.000804088	0.000909624	0.000599457	0.000496108	0.000465954	0.000427678	0.000566265	0.00106179	0.00105833	0.00171225	0.00179323	0.00464547	0.00247727
a	0.0234307	0.0255908	0.0231915	0.0181706	0.0159023	0.0297415	0.0236085	0.0200171	0.0283857	0.0472652	0.0999402	0.125249	0.15205	0.101349	0.0632962	0.093947	0.0168577	0.00629527	0.00367936	0.000744257	0.000859677	0.00312827	0.00267831	0.00338063	0.00947841	0.00610177	0.0144384	0.00519925	0.0262636	0.00975871
besoin	0.0134958	0.0108934	0.00927206	0.00708572	0.00442814	0.00662867	0.00776575	0.00654867	0.0110084	0.0242148	0.0316127	0.078254	0.132861	0.0857079	0.13294	0.171547	0.0896183	0.0233373	0.016476	0.00343754	0.00659664	0.00991753	0.0081854	0.0112964	0.00923801	0.0119308	0.0167837	0.0133138	0.0159117	0.0296929
d'	0.0452388	0.0503175	0.0507699	0.0504057	0.0366445	0.0289366	0.0260967	0.0257618	0.0173901	0.0107547	0.0191247	0.0448969	0.082718	0.0435667	0.0465704	0.0280249	0.0142444	0.00779786	0.015701	0.0143572	0.0303509	0.0394475	0.0390199	0.0217424	0.0174795	0.0203678	0.0344188	0.029429	0.0429641	0.0654616
un	0.0491684	0.0440991	0.0382424	0.0328593	0.0296639	0.0291875	0.0220916	0.0213443	0.0245271	0.0196131	0.0294543	0.0261631	0.0344162	0.0203252	0.0213748	0.0394848	0.0177079	0.0170796	0.0297114	0.0202322	0.0167424	0.0220871	0.0307699	0.0291079	0.0346902	0.047907	0.0636223	0.0460584	0.0474326	0.094836
poil	0.0452436	0.038983	0.0333122	0.0294202	0.0259777	0.0328392	0.0358249	0.0215187	0.0255101	0.0331845	0.0357279	0.0246659	0.0290558	0.023086	0.0256368	0.0349317	0.0232671	0.0112441	0.0155884	0.011446	0.0173003	0.0324109	0.0511755	0.0397616	0.0663647	0.0437762	0.0431906	0.0436188	0.0437981	0.0621395
d'	0.0723467	0.0534407	0.0335355	0.0213477	0.0184378	0.0177741	0.0152831	0.0123227	0.0169631	0.0194235	0.0221409	0.021485	0.0259286	0.0176546	0.0181395	0.0300229	0.0314644	0.0234076	0.0272474	0.0274329	0.0241331	0.0285204	0.0600424	0.0364738	0.0614804	0.0516415	0.0572098	0.0520975	0.0405657	0.0620363
éléphant	0.0449939	0.0373439	0.0285256	0.0210871	0.0148398	0.0130562	0.00860792	0.00759745	0.0127929	0.0318557	0.0565359	0.0283971	0.0163501	0.0113224	0.0118326	0.0155451	0.00879069	0.00230723	0.00577203	0.00349326	0.013876	0.0312257	0.069286	0.0547887	0.0907081	0.0638935	0.0657751	0.0836672	0.069169	0.0765636
</S>	0.0351779	0.030817	0.0257089	0.0205239	0.0158346	0.0118771	0.00799183	0.00633738	0.00887547	0.0157292	0.0212878	0.0154377	0.0129589	0.0150393	0.0121097	0.013588	0.00531419	0.00305292	0.0053092	0.00914199	0.0228549	0.0347796	0.137618	0.0697519	0.0959372	0.0660921	0.058818	0.0733948	0.048948	0.0996921
