 	a66	a87	a23	a30	a53	a90	a98	a85	a6	a21	a61	a75	a85	a92	a37	a98	a79	a98	a85	a5	a47	a88	a0	a47	a75	a85	a79	a7	a84	a10	a87	a23	a87	</S>
la	0.0367334	0.0637723	0.0646415	0.0644643	0.0675653	0.0984375	0.0763721	0.0893327	0.05999	0.0362648	0.0438381	0.0171038	0.0113803	0.00977866	0.0082127	0.00714212	0.00771037	0.0104154	0.00438518	0.00297458	0.00283907	0.00269229	0.00309587	0.00408331	0.00882944	0.0164248	0.021947	0.0225188	0.0167058	0.0159889	0.0203177	0.0191654	0.0202386	0.0446378
mère	0.0112841	0.0399945	0.0347313	0.0335618	0.0477346	0.0396935	0.0167899	0.0133608	0.0142114	0.0104954	0.0180276	0.016392	0.0242826	0.0905682	0.0927151	0.0315543	0.140598	0.0809721	0.0998456	0.0689311	0.0357996	0.0262096	0.00662522	0.00143592	0.000929292	0.000428722	0.000556846	0.00035591	0.000345112	0.000148764	0.000183023	0.00018134	0.000578463	0.000478041
a	0.0271085	0.043934	0.0437999	0.0513662	0.0327186	0.0528172	0.0570258	0.117547	0.0718384	0.0335686	0.0396058	0.012138	0.0334437	0.0522333	0.058315	0.0365028	0.0372582	0.0262017	0.0307206	0.0290212	0.0135793	0.0155694	0.00836942	0.00531492	0.0017638	0.00139737	0.00289223	0.00256188	0.0042735	0.00611613	0.0181613	0.00941854	0.0164736	0.0069436
donné	0.00787796	0.00566639	0.00725044	0.00524873	0.00306638	0.00679078	0.0262202	0.0388187	0.0433741	0.044082	0.0474278	0.0592548	0.0452466	0.0421892	0.0775144	0.0537725	0.0413378	0.0667887	0.0751306	0.0665949	0.0345849	0.0437596	0.0169284	0.0113774	0.0229007	0.0132831	0.0190213	0.0123617	0.0113649	0.010091	0.00958356	0.00908736	0.00850043	0.0135026
une	0.0553269	0.0538438	0.0447925	0.0541328	0.0135689	0.0144638	0.0288762	0.0169856	0.0279028	0.0340622	0.0269418	0.0595212	0.0482871	0.0569984	0.0388801	0.035528	0.0285977	0.0445973	0.0437122	0.0316683	0.0155248	0.0188692	0.00785386	0.00713449	0.0155446	0.0126837	0.023063	0.015701	0.0157349	0.0230986	0.0215802	0.0220396	0.019071	0.0234135
giffle	0.0229174	0.012824	0.0105827	0.0102453	0.00481861	0.00805916	0.0252041	0.0275956	0.0818064	0.0410341	0.0772055	0.0460721	0.084797	0.0993767	0.0500194	0.0445419	0.0193162	0.0325183	0.0178156	0.00925763	0.00869156	0.00741874	0.0101717	0.0121186	0.0295608	0.0336835	0.0326472	0.0217414	0.0146455	0.0227776	0.0201664	0.0215948	0.0139265	0.024848
à	0.01658	0.00900535	0.00652104	0.00556885	0.00675616	0.0174097	0.0470043	0.0495132	0.0556125	0.0250035	0.027402	0.021579	0.0256186	0.027948	0.017162	0.0147309	0.00919704	0.0140575	0.00511055	0.00336203	0.00287133	0.00279699	0.00745833	0.0101988	0.0258802	0.0401324	0.037336	0.043033	0.0653174	0.0876706	0.086487	0.0800764	0.0560737	0.0495256
son	0.0375198	0.0226328	0.0180866	0.017301	0.0157073	0.017445	0.0205291	0.0290804	0.0404295	0.0309393	0.0282472	0.0132805	0.0416461	0.0317705	0.0155415	0.0180829	0.0145719	0.0158615	0.0121686	0.0177128	0.0185523	0.0164878	0.035327	0.0407405	0.0465757	0.0433048	0.024542	0.020701	0.0289748	0.0307931	0.0467107	0.0566333	0.0548166	0.0772858
enfant	0.02884	0.021467	0.014022	0.013544	0.0121289	0.0116122	0.0130934	0.020091	0.028599	0.019318	0.0334136	0.00902633	0.0279929	0.0162587	0.0061856	0.012089	0.00706204	0.00990549	0.011617	0.0133908	0.0214846	0.0166424	0.0203606	0.0571239	0.0647716	0.0728099	0.06927	0.0661164	0.037117	0.0371816	0.04674	0.0476951	0.0557622	0.0572677
comme	0.0310543	0.0226648	0.0173906	0.016264	0.0128403	0.0225361	0.0317778	0.0532507	0.0519543	0.02799	0.0396449	0.0131654	0.0255651	0.0156367	0.00994266	0.0102639	0.00745889	0.00771397	0.00510941	0.00504338	0.0057125	0.00407417	0.00706493	0.0164266	0.0267087	0.0155959	0.0381215	0.0327987	0.0398187	0.0434905	0.0636399	0.0883443	0.0831332	0.107803
correction	0.0236305	0.0169473	0.0142664	0.0150014	0.0114168	0.0128778	0.0159985	0.0284404	0.0326018	0.0209513	0.032299	0.0169257	0.0313051	0.0249753	0.0168494	0.0201577	0.0121209	0.0136374	0.0114911	0.00954527	0.0124278	0.00857187	0.0137301	0.0202269	0.0298483	0.0266686	0.0423548	0.0363846	0.0399736	0.0477674	0.0646663	0.0702115	0.071105	0.134624
</S>	0.0307238	0.0201362	0.0122801	0.0116951	0.00907051	0.0163782	0.0162815	0.0228616	0.0248092	0.0139405	0.0190611	0.0142541	0.022404	0.0194892	0.0137211	0.0148543	0.010401	0.0129941	0.0075274	0.00606862	0.00710184	0.0069415	0.0176451	0.0235164	0.036249	0.0307238	0.0337277	0.0369839	0.0582825	0.0698587	0.0930391	0.0991578	0.0791116	0.0887094
