 	a66	a87	a10	a87	a23	a87	a23	a50	a83	a71	a53	a90	a56	a12	a43	a31	a75	a98	a15	a7	a90	a56	a62	a21	a12	a18	a50	a62	a21	a92	a56	a93	a56	a34	a62	a75	a85	a6	a37	a12	a75	a85	a6	a0	a96	a18	a71	a9	a10	a87	a23	a99	a30	</S>
cette	0.0237073	0.013028	0.0212834	0.00939649	0.0114933	0.0124795	0.0266675	0.0116985	0.0198279	0.0351189	0.0473151	0.035346	0.027668	0.0182646	0.0178412	0.0197648	0.0184704	0.0188107	0.022624	0.0272913	0.0284991	0.016786	0.0283365	0.019574	0.0226556	0.0147072	0.0190179	0.0158857	0.0115356	0.011342	0.0101515	0.00553528	0.00783423	0.00377967	0.0134214	0.010088	0.015988	0.0105565	0.0103547	0.0164663	0.0143292	0.01109	0.0104333	0.0110171	0.0110765	0.0129043	0.0187635	0.0188804	0.0138086	0.0175456	0.0212116	0.0219995	0.0198179	0.0665104
manière	0.00254713	0.0047708	0.0134381	0.0108426	0.0152818	0.0458066	0.0531184	0.0530966	0.0176458	0.0291735	0.0352916	0.0463612	0.0500035	0.0211842	0.0419027	0.0376819	0.0477697	0.0818198	0.0748251	0.0500205	0.0290513	0.0627509	0.0280946	0.0129708	0.0170561	0.00834575	0.00674027	0.00653333	0.0177988	0.0178734	0.0105211	0.00400012	0.00235343	0.00148152	0.00281826	0.0056202	0.00570167	0.00353132	0.00534051	0.00225637	0.00275112	0.00215454	0.00189335	0.00176086	0.00043906	0.00066893	0.00070515	0.000211927	0.000376401	0.000537708	0.000636497	0.00125096	0.00275371	0.000438507
d'	0.025485	0.0288832	0.013636	0.00779783	0.0067165	0.0115566	0.00777328	0.00711988	0.0050618	0.010036	0.0168771	0.0149642	0.0156154	0.0168131	0.0173019	0.0484534	0.0335855	0.0268273	0.0326099	0.0333689	0.0188001	0.0214372	0.0257637	0.0209963	0.0178436	0.0284883	0.0274225	0.0394838	0.0125278	0.0277964	0.0297211	0.0276967	0.0165946	0.0186006	0.0145185	0.0123633	0.00906494	0.010218	0.00535611	0.0102735	0.0105211	0.011903	0.0117459	0.0136741	0.0112232	0.0120522	0.0180118	0.0160063	0.023288	0.0223397	0.0146164	0.0290364	0.0158608	0.0142715
entasser	0.0209504	0.00952513	0.00538224	0.00205812	0.00211208	0.00178815	0.00213742	0.00214484	0.0015355	0.0064755	0.00696107	0.00620589	0.00539049	0.00618159	0.00653876	0.00920942	0.0081767	0.013544	0.0142517	0.0106866	0.0122058	0.0158684	0.0273369	0.0270427	0.0289843	0.0464116	0.0428327	0.0916941	0.0609782	0.0384868	0.0869462	0.0735428	0.114036	0.0295003	0.0377041	0.0206985	0.0111981	0.0115583	0.00795041	0.00908987	0.0050909	0.00641651	0.00726835	0.0063194	0.00617887	0.00357755	0.00614105	0.00574923	0.00317595	0.0036736	0.0021772	0.00408731	0.00354401	0.00127868
le	0.0191247	0.0200859	0.00851099	0.00742553	0.00290395	0.00288868	0.00594038	0.0050893	0.00342414	0.00392603	0.00371256	0.00579212	0.011043	0.0103895	0.0163345	0.0315084	0.0204303	0.0343681	0.0291975	0.0353761	0.043059	0.0270446	0.0519015	0.049884	0.0536989	0.0425343	0.0435345	0.0519015	0.0423739	0.04485	0.0389096	0.03712	0.0396091	0.0215314	0.0235264	0.0136677	0.0189556	0.0147161	0.0132922	0.0111954	0.00752797	0.00312966	0.00417151	0.00212207	0.00148519	0.00167051	0.00169832	0.0017487	0.00240151	0.00150811	0.00199234	0.00128574	0.00293727	0.00554357
bois	0.0258072	0.016829	0.0107677	0.0139558	0.014645	0.0196602	0.0204092	0.0155743	0.00985692	0.00934687	0.00462169	0.00321402	0.00350734	0.00284559	0.00379063	0.00872527	0.00739434	0.00795721	0.0120085	0.0167648	0.0268492	0.00892086	0.0183249	0.0197156	0.0136546	0.0177936	0.0161292	0.016846	0.0131093	0.0135334	0.0115619	0.0139208	0.021498	0.0277826	0.0272008	0.0205067	0.0282612	0.0386642	0.0425242	0.037206	0.042788	0.0326888	0.0293915	0.0287301	0.0158312	0.0108486	0.0200158	0.0205069	0.019966	0.0241336	0.0143907	0.0365589	0.0118093	0.030656
est	0.0210692	0.00978107	0.00907985	0.00853502	0.0101351	0.0111946	0.0113425	0.00600591	0.00635567	0.00816046	0.00808378	0.00544615	0.00670822	0.00713396	0.0063517	0.0111309	0.00966735	0.00875139	0.0146249	0.0208347	0.0297507	0.00958199	0.0156027	0.0233981	0.0146892	0.0198035	0.0197179	0.0172662	0.0153976	0.00920917	0.00899263	0.00720706	0.0109198	0.0116476	0.0181865	0.0130089	0.0171339	0.028285	0.0250126	0.0372511	0.0389182	0.0341679	0.0268151	0.0489722	0.0408934	0.0175465	0.0431433	0.0458426	0.0210485	0.050587	0.0148783	0.0343837	0.0101168	0.0202318
celle	0.0141746	0.0131774	0.00999315	0.0108049	0.0130842	0.013517	0.0196743	0.00869173	0.0138547	0.0123712	0.0100402	0.0145947	0.0153301	0.0101427	0.0176347	0.0104792	0.0228606	0.0133682	0.0238935	0.02677	0.021168	0.0190412	0.0175829	0.0145973	0.0137436	0.0211916	0.0141377	0.00632089	0.00606299	0.00437524	0.00340128	0.00396148	0.00544928	0.00897379	0.0114319	0.012886	0.0178151	0.0172973	0.0147057	0.0163793	0.0242058	0.0268114	0.0204733	0.0338947	0.0518841	0.0281704	0.0408789	0.0454244	0.0375578	0.0478995	0.0325672	0.0266083	0.0161174	0.0225267
de	0.0090625	0.0105053	0.0106404	0.0120366	0.0126057	0.0127121	0.0181352	0.0123805	0.0172575	0.016858	0.0125697	0.0186881	0.0194892	0.00929703	0.0115449	0.0115614	0.0188897	0.0169762	0.0282346	0.0288363	0.02492	0.0296013	0.0292044	0.0197976	0.0227033	0.0298001	0.0220983	0.0125252	0.0117403	0.0107405	0.00835104	0.00538023	0.0062776	0.00866953	0.0105014	0.00953471	0.0107443	0.00968811	0.0103445	0.012958	0.014583	0.0201987	0.0191753	0.0197906	0.0315564	0.0262425	0.0343787	0.0380364	0.0329802	0.0331977	0.0346685	0.0297012	0.0249612	0.0266684
celui	0.00946174	0.00749373	0.00780281	0.00670144	0.00743843	0.0071981	0.0100979	0.00643538	0.0099049	0.00873877	0.00882747	0.0136616	0.0139805	0.00888553	0.0171285	0.0128047	0.026072	0.0196144	0.0324571	0.028942	0.0232293	0.027619	0.0254338	0.0181009	0.0163217	0.0204803	0.0180746	0.0135308	0.00953488	0.00833721	0.00740948	0.00679409	0.00729454	0.00924329	0.0100924	0.00871336	0.010485	0.0093682	0.00717306	0.00933648	0.011223	0.0152865	0.013117	0.0195533	0.0336017	0.0244421	0.0364057	0.0412865	0.0406602	0.0494522	0.0451676	0.0549657	0.0301199	0.0544993
qui	0.0106054	0.00488235	0.00673286	0.00436123	0.00494054	0.00404513	0.00707642	0.00408266	0.00604126	0.00776347	0.00954135	0.0101403	0.00933855	0.00928474	0.0167123	0.0133994	0.0201546	0.0180872	0.0285382	0.0264827	0.0227187	0.0223296	0.0237051	0.0193214	0.015171	0.0180979	0.0179225	0.0167758	0.00826538	0.00693822	0.00661751	0.00535682	0.00567372	0.00553118	0.00736554	0.00502658	0.00856827	0.00940606	0.0117653	0.0130604	0.0194632	0.0251718	0.0217318	0.0253928	0.0351306	0.0309235	0.0500256	0.0498208	0.0324679	0.050309	0.0311548	0.0418708	0.0198477	0.0948625
fume	0.0176474	0.0107689	0.0132794	0.00843824	0.00887963	0.00655794	0.0120178	0.00805538	0.00852317	0.0108213	0.0147873	0.0173486	0.0178682	0.0154573	0.0264172	0.0278478	0.0243359	0.031326	0.0383038	0.0418343	0.0390841	0.0344689	0.0395105	0.0288323	0.0269836	0.0306156	0.028302	0.0270351	0.0156213	0.013555	0.0119247	0.00875203	0.00636671	0.00684914	0.00747169	0.00719588	0.0107333	0.0152022	0.0133189	0.0119042	0.0165785	0.0150329	0.0180006	0.0120439	0.0149073	0.0128078	0.0195851	0.0189315	0.0143996	0.0152141	0.0175005	0.012069	0.0227957	0.0458909
le	0.0258689	0.0127218	0.00718563	0.0062428	0.00493168	0.00359862	0.00481076	0.00403061	0.00511631	0.00585703	0.00950196	0.0123123	0.0153436	0.0281459	0.0409156	0.0308895	0.0268431	0.0264483	0.0277539	0.0350513	0.0342429	0.0242432	0.0337324	0.0378085	0.0291086	0.0312715	0.0369771	0.0466834	0.0237242	0.0219814	0.0210743	0.0151315	0.0136026	0.0128887	0.0156643	0.00985483	0.0143851	0.0157	0.0117814	0.0150657	0.0120878	0.0117829	0.0193283	0.0105601	0.00977343	0.0133894	0.0178881	0.014933	0.0171368	0.00976872	0.0105624	0.0114239	0.0174828	0.0253912
poisson	0.0175	0.0111531	0.00649107	0.00719082	0.00516668	0.00406604	0.00636683	0.00700762	0.00882252	0.0111434	0.0129378	0.0165113	0.0207914	0.0276314	0.0346832	0.0337135	0.0334322	0.0309091	0.0314186	0.036995	0.0332754	0.0286206	0.0323129	0.0296742	0.0293374	0.0307144	0.03107	0.0337579	0.0192281	0.0227611	0.0211581	0.0170988	0.0155021	0.0146624	0.0152079	0.010285	0.0110449	0.0116696	0.00927246	0.0114261	0.0110453	0.0170433	0.0230015	0.0146071	0.0120563	0.0144722	0.0181396	0.0120491	0.0201821	0.00739263	0.00909078	0.0114972	0.0120693	0.0253427
</S>	0.0255556	0.0129943	0.0117505	0.00736698	0.00696198	0.00826821	0.00822101	0.00655011	0.00885478	0.0109765	0.0128701	0.0155362	0.0143079	0.0237875	0.0180478	0.0184954	0.0168175	0.0141266	0.0144125	0.0205236	0.0185966	0.0130287	0.0186325	0.0212788	0.0190291	0.0196719	0.0246522	0.0248019	0.0148765	0.0156775	0.0152581	0.00974669	0.010051	0.0090742	0.0116827	0.00790562	0.010378	0.0114699	0.0119513	0.0171736	0.0156005	0.0178887	0.0269969	0.0195429	0.0200451	0.0240845	0.0411065	0.0361734	0.054505	0.0202101	0.0279923	0.0221464	0.0390859	0.0532597
