 	a66	a87	a97	a87	a97	a99	a13	a83	a54	a6	a36	a61	a62	a96	a88	a71	a38	a96	a54	a7	a26	a11	a50	a61	a5	a18	a61	a62	a31	a88	a62	a21	a5	a18	a88	a38	a26	a57	a97	a10	a97	a87	a97	a87	</S>
cet	0.0352003	0.0506881	0.0371804	0.033012	0.0280046	0.0526985	0.0724073	0.0618352	0.0978472	0.0499998	0.0461693	0.0189424	0.0188544	0.0169423	0.0115686	0.0132951	0.0118685	0.0122764	0.015032	0.0139989	0.0153806	0.0130113	0.00974136	0.0092959	0.00829428	0.0101405	0.00980772	0.0168774	0.00985181	0.00954833	0.0109528	0.00946999	0.0103884	0.00740884	0.0131043	0.0153284	0.00764732	0.0192069	0.0133731	0.0124024	0.0151084	0.0110572	0.014236	0.0103763	0.0201692
homme	0.00641158	0.00705416	0.0198673	0.0214192	0.0366729	0.0519059	0.0880465	0.0595657	0.109406	0.0672545	0.048278	0.0269266	0.0348259	0.0206519	0.0307921	0.0517657	0.0405181	0.0319464	0.0619956	0.0448958	0.0326812	0.0174172	0.0135299	0.0142186	0.00973555	0.00598596	0.00396838	0.00326282	0.00261579	0.00174331	0.00208323	0.00174948	0.00152208	0.00111382	0.00321683	0.00422906	0.00180547	0.0019119	0.00198801	0.0010709	0.00175153	0.00234101	0.00364341	0.00276723	0.00344688
ne	0.038636	0.0220623	0.0242893	0.0188552	0.0170879	0.0177841	0.0248793	0.0377625	0.0779789	0.0780375	0.0756238	0.0520621	0.0641266	0.0348502	0.0498755	0.0290134	0.0330347	0.0240861	0.0319804	0.0136659	0.0124567	0.00471531	0.00363569	0.00219226	0.00221789	0.00205247	0.00140486	0.00214505	0.00214267	0.00297866	0.00274642	0.0026155	0.00750897	0.00533059	0.00626881	0.00701201	0.00819901	0.0151103	0.0152919	0.0231142	0.0187468	0.025255	0.0181326	0.030148	0.0128868
trouve	0.0328412	0.0178473	0.0114918	0.00917663	0.00715451	0.00534859	0.00606505	0.00739548	0.00960692	0.0101792	0.0109967	0.0132275	0.0168789	0.0107047	0.011866	0.0120643	0.0224026	0.0213874	0.0188677	0.0174186	0.0152316	0.0209779	0.0261803	0.0286879	0.0320694	0.0319179	0.0250918	0.0312398	0.0312589	0.0423598	0.0332984	0.0259481	0.0614546	0.0315672	0.0257028	0.0326216	0.0203372	0.0249642	0.014025	0.0227159	0.0255429	0.0196065	0.0243364	0.0413297	0.0386133
pas	0.0183612	0.0278773	0.0259265	0.035072	0.0249496	0.0413911	0.0324712	0.0412075	0.0205276	0.0252702	0.0237597	0.0316563	0.0271402	0.0247084	0.0156231	0.0161416	0.017618	0.0223382	0.0211672	0.0326972	0.0279245	0.0319012	0.0274573	0.0312031	0.0343094	0.032778	0.0270203	0.0267596	0.0212147	0.0220326	0.022933	0.019867	0.0210333	0.0149942	0.0156422	0.0229498	0.00707957	0.0129003	0.00460149	0.00444871	0.0083597	0.00614431	0.010868	0.0104389	0.00923473
de	0.0310172	0.0234385	0.0205496	0.0163044	0.0213691	0.0282299	0.0278721	0.0417279	0.032029	0.0260237	0.0279025	0.0367377	0.0286188	0.0235194	0.0171366	0.0162458	0.0184456	0.0170359	0.0201964	0.0189246	0.0254183	0.0190867	0.0258846	0.0273463	0.0179281	0.0202571	0.0207246	0.0162048	0.0217519	0.0211866	0.0190338	0.0189891	0.0272266	0.022835	0.0174779	0.015322	0.0167312	0.0249463	0.0179013	0.0200439	0.015149	0.0148851	0.0187237	0.0154326	0.0261886
femme	0.0410073	0.0232411	0.0215886	0.019381	0.0194939	0.0198391	0.0200126	0.0226626	0.0220349	0.0219486	0.0240086	0.0253279	0.020103	0.0223857	0.0179707	0.017777	0.0185982	0.0183082	0.0252325	0.0251966	0.0278832	0.0223321	0.0284376	0.0254941	0.0211294	0.0218283	0.0175996	0.018636	0.019189	0.0265132	0.0223573	0.0183762	0.0278636	0.0279386	0.0131991	0.019751	0.0157422	0.0270396	0.028439	0.0278422	0.0178137	0.0173378	0.0141022	0.0187945	0.0282428
parce	0.0399177	0.0240888	0.0167192	0.0137276	0.0134334	0.0138737	0.0117909	0.0230638	0.0179239	0.0203841	0.0213662	0.0275315	0.0240706	0.02266	0.0196932	0.0151866	0.0184789	0.0177782	0.0190449	0.0214132	0.027793	0.0276023	0.0308348	0.0282303	0.0242346	0.0258332	0.0204986	0.0126958	0.0179478	0.0227839	0.0164154	0.01403	0.0270742	0.0277011	0.00901851	0.0135292	0.013935	0.0266361	0.0373581	0.0444222	0.0221665	0.0250118	0.019587	0.027808	0.0347062
qu'	0.0318696	0.0188858	0.0171962	0.0101646	0.0129746	0.0137711	0.0135458	0.0187885	0.0195128	0.0173238	0.0208305	0.0224602	0.0188524	0.0198896	0.0177022	0.0164776	0.0180008	0.0149141	0.0244231	0.0205275	0.0235494	0.019774	0.0201653	0.0186876	0.0275425	0.0258534	0.0278126	0.019095	0.0245887	0.0280307	0.0159189	0.0374812	0.034603	0.0305937	0.0218745	0.018212	0.0126362	0.0171764	0.010777	0.0193803	0.0283604	0.0377671	0.0335797	0.040733	0.0376966
il	0.0488722	0.0297362	0.0252577	0.0140033	0.0124927	0.0144228	0.0140312	0.016546	0.0159005	0.0144512	0.0153014	0.015991	0.0143918	0.0150041	0.0177868	0.0218727	0.0270404	0.0253388	0.0364281	0.036008	0.0416936	0.0439445	0.0428637	0.0314198	0.0368105	0.0301846	0.0236647	0.014139	0.0179051	0.0146574	0.0125689	0.0225597	0.0212844	0.0160629	0.0116503	0.0150468	0.0090666	0.0153074	0.00916527	0.0124875	0.0203968	0.0250753	0.02201	0.0317542	0.0274043
