 	a66	a87	a23	a40	a36	a0	a56	a75	a85	a6	a5	a36	a26	a98	a85	a5	a21	a92	a37	a26	a90	a92	a37	a47	a88	a71	a9	a97	a87	a23	a99	a97	</S>
les	0.0248641	0.0417424	0.027554	0.0354858	0.0688098	0.146916	0.127396	0.0929394	0.0537187	0.0357587	0.014891	0.0104267	0.0108408	0.00942233	0.0142543	0.0146377	0.013689	0.014633	0.0152071	0.017082	0.0138809	0.0219996	0.01498	0.0129366	0.0204908	0.013352	0.00821408	0.0102092	0.0106777	0.00980181	0.0249054	0.00929304	0.0389894
clefs	0.00419729	0.00558862	0.0104281	0.0195972	0.0366151	0.0271922	0.0223825	0.0305174	0.0846292	0.13384	0.059232	0.122923	0.122071	0.0934882	0.0718657	0.0499124	0.022011	0.0141833	0.00455523	0.00466558	0.00392074	0.00830784	0.00628869	0.0069791	0.00939167	0.00319166	0.00360421	0.00158692	0.00217042	0.00302915	0.00219175	0.00807352	0.00136963
sont	0.0105974	0.00720638	0.00374719	0.00668653	0.0151373	0.0422274	0.0615729	0.0595578	0.0679506	0.213364	0.180916	0.123686	0.0886802	0.0471474	0.0153562	0.0163448	0.00688176	0.00804019	0.00301451	0.0035781	0.000809786	0.00284075	0.00120113	0.00116985	0.00170984	0.000872066	0.000884934	0.000794716	0.000850671	0.00103344	0.00108884	0.00406954	0.000981738
accrochées	0.00590323	0.00258418	0.00268285	0.00942073	0.0048153	0.0102604	0.0178123	0.0222634	0.0258816	0.049088	0.101786	0.123698	0.139451	0.0743627	0.0639457	0.0947995	0.0508473	0.0444906	0.0282924	0.0118572	0.0081569	0.00554601	0.00825568	0.00859892	0.0110607	0.00810014	0.0131484	0.0185209	0.0078958	0.0065082	0.00526293	0.00966358	0.00503858
sur	0.0741099	0.0536581	0.0416138	0.0372603	0.0250269	0.0314697	0.0387537	0.0552482	0.0375951	0.04863	0.0528077	0.0482619	0.0398325	0.0242768	0.0273002	0.0254545	0.0200794	0.0178958	0.0145566	0.0124012	0.00934716	0.011516	0.00785414	0.0159004	0.014478	0.0199315	0.0170969	0.0273794	0.0238152	0.0186785	0.0305371	0.0189596	0.0582737
la	0.051687	0.0396829	0.0378784	0.0199161	0.0267255	0.0420948	0.0551054	0.0605398	0.0558672	0.0587831	0.0464256	0.0372542	0.0399298	0.0332674	0.031861	0.0237678	0.0218744	0.0207314	0.0256084	0.0235487	0.0188136	0.0204542	0.0101827	0.0208688	0.0134128	0.0210584	0.0190756	0.0165812	0.023452	0.0191076	0.0188407	0.0160607	0.029543
porte	0.0561554	0.0278161	0.0377721	0.0244308	0.0131393	0.0127964	0.0258041	0.0205739	0.0159601	0.0176973	0.0437005	0.0228914	0.0319285	0.0413879	0.0346882	0.0231406	0.0570382	0.0394969	0.0570121	0.0414903	0.0301192	0.0267746	0.0176724	0.0278094	0.0261029	0.0384967	0.0568246	0.034945	0.023629	0.0179519	0.018178	0.0247283	0.0118481
de	0.0567391	0.0438609	0.036437	0.0096812	0.00687853	0.00679978	0.014216	0.0149214	0.0145991	0.015007	0.0170114	0.0112716	0.0281082	0.0218121	0.0279315	0.013945	0.0218845	0.022882	0.0239639	0.0160335	0.0134778	0.0191008	0.0150267	0.0326878	0.0428479	0.0504008	0.0608426	0.0555709	0.0624934	0.0575044	0.0494883	0.0706789	0.0458959
la	0.0482025	0.0353779	0.0221948	0.00927666	0.00595672	0.00560789	0.0117175	0.0108828	0.0190624	0.0233461	0.0313039	0.0195627	0.0371749	0.029406	0.0203276	0.00961478	0.011459	0.0111789	0.00947556	0.00653537	0.0103327	0.0198977	0.0228224	0.0430313	0.0313511	0.0467765	0.0536743	0.0596091	0.0545439	0.0696369	0.0568336	0.0852272	0.0685994
maison	0.0349107	0.0259099	0.0253488	0.0122195	0.0115889	0.0164803	0.0221667	0.0249131	0.0289132	0.0429318	0.0578952	0.0302917	0.0340205	0.0286157	0.0219347	0.0154042	0.0107687	0.0133435	0.0126122	0.0129044	0.0101001	0.0179503	0.0102467	0.0225981	0.0287486	0.0358973	0.0425866	0.0485751	0.0465681	0.0554329	0.0714533	0.0657586	0.0609107
</S>	0.061318	0.0472923	0.0220215	0.0143592	0.0141931	0.017216	0.0329141	0.0427035	0.0307325	0.0437262	0.0377656	0.0125857	0.010001	0.00980996	0.00777846	0.00747908	0.00892626	0.0146595	0.0155778	0.0219819	0.0170517	0.0283582	0.0172521	0.0270706	0.0408544	0.0482811	0.0304763	0.0399282	0.0510898	0.0427016	0.0487415	0.084173	0.0509799
