 	a66	a87	a23	a20	a69	a58	a75	a85	a47	a15	a69	a93	a44	a96	a70	a4	a53	a15	a7	a2	a57	a87	a23	a83	a54	a79	a20	a7	a5	a85	a6	a36	a15	a7	a15	a79	a44	a11	a54	a36	a2	a40	a2	a57	a87	a23	a87	a23	a87	</S>
sa	0.0337653	0.0326363	0.0237754	0.0558824	0.0409972	0.054784	0.0588896	0.0607367	0.0511077	0.0164877	0.0185251	0.0176879	0.0195706	0.0145619	0.0263805	0.0269497	0.0267503	0.0219049	0.016059	0.0271735	0.020132	0.0112781	0.00878317	0.00755342	0.00693122	0.00504078	0.00769319	0.00996517	0.00415692	0.00362549	0.00431428	0.00427831	0.00758509	0.00524724	0.00264055	0.00237222	0.00266981	0.00510162	0.0055976	0.00799545	0.015935	0.019053	0.0338026	0.02145	0.0190669	0.0182278	0.0175043	0.0251693	0.0200385	0.0321653
paternité	0.00348819	0.00545833	0.011272	0.0269591	0.0632033	0.0686794	0.0335257	0.0786765	0.0391415	0.0362618	0.0590078	0.0214019	0.0249206	0.020515	0.0463365	0.031388	0.0501673	0.0388539	0.0364954	0.052278	0.0121443	0.0214654	0.0143406	0.0126134	0.0066947	0.00597232	0.00266654	0.00670923	0.00354911	0.00299839	0.010414	0.0076221	0.0165838	0.0338032	0.0209676	0.0334032	0.00896832	0.0102659	0.00497268	0.00459277	0.00249256	0.000393081	0.000594726	0.000400802	0.000675025	0.000578556	0.000563017	0.00151926	0.00260437	0.00140089
est	0.00630559	0.00482491	0.00441522	0.00965471	0.0214232	0.0349979	0.0307593	0.0655874	0.0651453	0.0486798	0.0348315	0.0210582	0.0206605	0.0108598	0.00906172	0.0119735	0.0144253	0.0112818	0.0242986	0.0126191	0.040097	0.0834988	0.0636781	0.0349401	0.0389786	0.0318852	0.0205019	0.0214434	0.0137383	0.0157428	0.00638577	0.00978043	0.015046	0.00406592	0.00252657	0.0024725	0.00307595	0.00559263	0.00656075	0.00702139	0.0132595	0.00436134	0.00555005	0.00381398	0.00924627	0.0161275	0.0178272	0.0175548	0.0114261	0.0109377
vaine	0.0195569	0.00950413	0.00943015	0.00949496	0.0118026	0.0162454	0.00998539	0.00746805	0.0137867	0.0108294	0.0106107	0.00842872	0.00764395	0.0107484	0.0138629	0.0100321	0.0107605	0.00966153	0.00749648	0.00676996	0.0130289	0.0156283	0.0191679	0.0272458	0.0516152	0.0379286	0.0393085	0.0359709	0.0476545	0.0435346	0.0257785	0.0390387	0.0392876	0.033088	0.0394972	0.0435453	0.0303281	0.0223156	0.0122198	0.00913013	0.00668251	0.0154976	0.00833651	0.0114558	0.0165889	0.0129695	0.0164342	0.0179158	0.0181092	0.036579
car	0.0166078	0.0107754	0.0142171	0.0121455	0.011094	0.015828	0.0204894	0.0301097	0.0435779	0.0406473	0.0284411	0.0552853	0.0247194	0.059153	0.0430738	0.0390872	0.0420407	0.0399836	0.0432325	0.033112	0.0547982	0.0363351	0.0293617	0.0243252	0.0317563	0.0218625	0.0195554	0.0150698	0.00739072	0.00602603	0.00631036	0.00445464	0.00346569	0.00196013	0.00208725	0.00285583	0.00468649	0.00420742	0.00616794	0.0103718	0.00528241	0.00533291	0.00594844	0.0103303	0.00418021	0.00611551	0.00845808	0.00785973	0.0072708	0.0225524
il	0.00663877	0.00344918	0.00363338	0.00490465	0.00472467	0.0081769	0.0208655	0.0457122	0.0762739	0.0678562	0.0466039	0.0371072	0.0375392	0.050593	0.056754	0.0466332	0.0523847	0.0515015	0.0346883	0.0330726	0.0397165	0.0439117	0.0360131	0.0370729	0.0346934	0.0167329	0.0144422	0.00917434	0.00746718	0.00574946	0.0037721	0.00299538	0.00596382	0.00222628	0.00191611	0.00202929	0.00152674	0.00186951	0.00394477	0.003039	0.00384042	0.00245477	0.0026315	0.00219977	0.00231324	0.00294702	0.00220655	0.00300276	0.0036727	0.0113614
ne	0.0179896	0.0118679	0.0140459	0.0137348	0.016635	0.0217303	0.0374248	0.0287175	0.0289515	0.033319	0.0193041	0.0264823	0.0208683	0.0346104	0.0223244	0.0303466	0.0200747	0.0254354	0.0244508	0.0193931	0.0313495	0.0396315	0.0381273	0.0455957	0.032599	0.0338422	0.0297783	0.0403504	0.0175275	0.0183614	0.0152485	0.0111191	0.0100911	0.00667735	0.00654927	0.00468863	0.00685003	0.0175841	0.0101451	0.0117342	0.00987196	0.00807439	0.0119941	0.0114339	0.0079484	0.0103327	0.0164151	0.00893875	0.00643417	0.0129999
remplit	0.0240539	0.0239312	0.0345023	0.0302453	0.0480795	0.0390038	0.0428589	0.0235949	0.0223713	0.0370248	0.0217285	0.0294307	0.0304209	0.0311736	0.0189599	0.030237	0.0177974	0.023268	0.0231639	0.0187367	0.0282943	0.030111	0.0251597	0.025615	0.0194796	0.0223072	0.0257566	0.0185651	0.0100396	0.00971219	0.00785172	0.00878733	0.00828759	0.0126623	0.0109654	0.0105439	0.0104614	0.0178505	0.00853188	0.00725082	0.00844743	0.0093069	0.00955982	0.00844046	0.0108802	0.0101555	0.0127878	0.0107694	0.013281	0.0175558
plus	0.0258883	0.0146101	0.0126401	0.00907983	0.00797471	0.00656466	0.00713059	0.00828093	0.0118436	0.010135	0.0191229	0.0191661	0.0138162	0.0223873	0.0427416	0.0213271	0.0346325	0.0347883	0.0520222	0.0486096	0.0429639	0.0347359	0.0365675	0.048638	0.0403993	0.0560847	0.0555776	0.0268371	0.00813989	0.00549455	0.00308311	0.00574023	0.00782687	0.00690217	0.00559497	0.00499733	0.00258142	0.00250162	0.0050766	0.00695796	0.0128413	0.00808352	0.0060427	0.0054793	0.0144924	0.0110202	0.0118597	0.0227548	0.0241572	0.0538063
ses	0.00710432	0.00380634	0.00325117	0.00326451	0.00316686	0.00448344	0.00922146	0.00984637	0.0160905	0.0133076	0.0129862	0.0128255	0.012626	0.023368	0.0407003	0.0219444	0.0377671	0.0419517	0.030489	0.0336203	0.0286157	0.0332311	0.0335333	0.047547	0.0407432	0.0406485	0.0315769	0.0307214	0.0213827	0.0150065	0.00810361	0.00837864	0.0112931	0.00537182	0.00622765	0.0061386	0.00350414	0.00365482	0.00680054	0.00752597	0.00873078	0.0103081	0.00849357	0.0105118	0.0112234	0.0101972	0.00975718	0.0219302	0.0365003	0.140521
