 	a66	a87	a23	a71	a75	a47	a37	a15	a79	a0	a75	a5	a21	a85	a47	a36	a2	a57	a87	a23	a40	a7	a26	a53	a69	a32	a88	a24	a88	a71	a88	a9	a13	a4	a70	a4	a13	a54	a15	a36	a2	a57	a87	a23	a87	</S>
manger	0.0288421	0.0426355	0.0295583	0.0464059	0.049491	0.0375993	0.0457546	0.0688656	0.0521351	0.0278096	0.0325615	0.0203258	0.0191332	0.0114958	0.0122845	0.00832926	0.0114804	0.011247	0.0135351	0.0123579	0.00998229	0.00998669	0.00973252	0.00852339	0.00817811	0.0122525	0.00816997	0.00785865	0.00638448	0.00598498	0.00569441	0.0119373	0.0364377	0.0230063	0.032532	0.0283228	0.0270532	0.0125248	0.0122254	0.013855	0.0153271	0.00949729	0.0117079	0.0220229	0.0211857	0.0477691
avec	0.0149925	0.0175709	0.0245132	0.0197122	0.0309185	0.0276668	0.0267032	0.0271079	0.0269611	0.0306141	0.0347794	0.0384101	0.0325104	0.0556141	0.0557925	0.0257623	0.0331242	0.0386757	0.0317065	0.0235068	0.0137554	0.0083343	0.0195512	0.0303573	0.0123753	0.0196105	0.0144861	0.00956613	0.00678271	0.00701944	0.00690575	0.0106485	0.00681374	0.00784669	0.0094583	0.0131291	0.0121982	0.0136728	0.0106639	0.0123953	0.0220233	0.0142301	0.018232	0.0208878	0.0256381	0.0367758
la	0.0384307	0.019856	0.0247121	0.0197068	0.0304986	0.031802	0.0443104	0.0422867	0.038406	0.0307981	0.0455263	0.0205236	0.0181003	0.029742	0.0258564	0.0132177	0.0130855	0.0106209	0.0230214	0.0113474	0.00558636	0.00561327	0.0145006	0.0134864	0.036942	0.0503179	0.0378679	0.0362913	0.0168142	0.0186797	0.00797981	0.0170989	0.0154241	0.0038669	0.00863337	0.00589716	0.0054798	0.00187179	0.00652414	0.00532974	0.00983241	0.0128597	0.0189202	0.0207624	0.0270155	0.0645555
fourchette	0.028752	0.00915083	0.0035582	0.00313972	0.00491619	0.00414563	0.00485181	0.00864877	0.00940559	0.00511399	0.00748241	0.00525995	0.00627744	0.0126581	0.0186938	0.0174227	0.0229933	0.0405513	0.0495263	0.0484168	0.0478932	0.0390693	0.0374815	0.0424127	0.0308343	0.0231414	0.0189878	0.024794	0.0346409	0.0354026	0.0303097	0.0193522	0.0289065	0.0153298	0.0232782	0.0178705	0.0137449	0.0194189	0.0310274	0.0237122	0.0216034	0.0276798	0.0265256	0.020662	0.0196508	0.0153056
est	0.0858923	0.0474612	0.030167	0.029873	0.0399335	0.0297403	0.026104	0.0178087	0.0186692	0.0194398	0.022013	0.0128288	0.028285	0.0333837	0.0403882	0.0340308	0.0367429	0.0484494	0.0378818	0.0201835	0.0223463	0.0108447	0.0101261	0.00889251	0.00426118	0.00301162	0.00224876	0.00295805	0.00486053	0.0088829	0.00323633	0.00571136	0.00676451	0.0049847	0.00769767	0.0108763	0.00957737	0.00843736	0.0145402	0.0087339	0.0155519	0.0194805	0.0305888	0.0216056	0.0447411	0.0497633
une	0.0443391	0.0274225	0.0260319	0.0166026	0.0130188	0.00671205	0.00625145	0.00634274	0.00730367	0.0079546	0.0082703	0.0125018	0.0182406	0.0154809	0.0199941	0.026233	0.0327372	0.0808292	0.0406884	0.0430316	0.0239523	0.0236378	0.0149466	0.00930404	0.0114605	0.00677529	0.0105136	0.0143253	0.0174872	0.0196009	0.0129634	0.0190942	0.0283228	0.0294256	0.0371208	0.0314701	0.0408766	0.0282833	0.0344311	0.0301991	0.0386941	0.0146907	0.0125607	0.01135	0.00913495	0.00939276
culture	0.0220575	0.0221899	0.0227191	0.0141759	0.00907642	0.00441257	0.00488788	0.0102373	0.0169312	0.0203252	0.0155308	0.0131522	0.0268969	0.0278185	0.0392419	0.0483326	0.0558218	0.147233	0.0799375	0.0567014	0.0388739	0.0235277	0.0102529	0.00590849	0.012129	0.00695331	0.00937001	0.0219444	0.0137979	0.0208471	0.0108269	0.0129858	0.0206964	0.00556931	0.0157422	0.00850736	0.0106487	0.0117426	0.014633	0.0191248	0.0143919	0.00567758	0.00802505	0.0074174	0.00653466	0.00619204
d'	0.0236658	0.0205297	0.0110146	0.0120424	0.0160748	0.0109061	0.0119279	0.00972122	0.0110146	0.0132635	0.0168691	0.0176247	0.0300582	0.0272068	0.0301956	0.0320252	0.0315507	0.0452622	0.0490515	0.0202803	0.0244543	0.00757355	0.003831	0.00353337	0.00358177	0.00297501	0.00748074	0.0202813	0.0208885	0.0377545	0.0262803	0.0208783	0.106371	0.0161937	0.0373193	0.0181971	0.0236754	0.0195433	0.0361573	0.0371052	0.0307042	0.0117937	0.0106416	0.0117247	0.0100587	0.0107169
emprunt	0.0148488	0.00663661	0.00365323	0.00316729	0.00234417	0.00182045	0.00175256	0.0023943	0.00252624	0.00322466	0.00162485	0.00145765	0.00400731	0.00492114	0.00614987	0.00753646	0.00685987	0.0101275	0.0141218	0.00914605	0.0109194	0.00695944	0.00456601	0.0053974	0.0115922	0.020107	0.0171096	0.0201894	0.0272767	0.0440067	0.0340024	0.0382275	0.160557	0.0583503	0.116188	0.0494108	0.0583831	0.0235217	0.0561992	0.025836	0.0303667	0.00780931	0.0158912	0.0193535	0.0193797	0.0100792
chez	0.0268279	0.0126328	0.0105412	0.00782959	0.00488046	0.00403246	0.00322129	0.00340674	0.00293907	0.00342098	0.00213735	0.00372722	0.0043259	0.00636755	0.00789717	0.01019	0.0106454	0.0137243	0.0173023	0.0137558	0.00849192	0.00629311	0.00532612	0.00685602	0.00924801	0.0104513	0.00848696	0.012239	0.0196488	0.0264179	0.0196901	0.0233034	0.0551661	0.0375042	0.113155	0.0661603	0.0486209	0.0689306	0.0742911	0.0588919	0.0449739	0.0164304	0.0236293	0.0230704	0.0246657	0.0182526
