 	a87	a10	a87	a23	a40	a6	a47	a44	a26	a82	a53	a93	a34	a31	a88	a0	a47	a61	a18	a75	a56	a43	a75	a25	a69	a58	a93	a61	a47	a70	a93	a56	a34	a75	a18	a11	a75	a92	a37	a96	a92	a37	a70	a75	a37	a70	a99	a62	a83	a9	a99	a87	a23	a87	a23	a87	</S>
des	0.0423939	0.0565436	0.040308	0.030853	0.0348536	0.0305693	0.0349401	0.0222677	0.0229361	0.027397	0.0169361	0.0144417	0.0254544	0.029681	0.0447279	0.0383086	0.0286427	0.0453166	0.0360881	0.0189349	0.0225196	0.0273969	0.0171263	0.0174147	0.0152893	0.0205671	0.0281282	0.0168713	0.0153786	0.0172993	0.00796221	0.00833583	0.0076361	0.00373004	0.00376148	0.00561738	0.00666768	0.00907695	0.00989359	0.00594182	0.00767972	0.00756371	0.00711351	0.00599747	0.0060739	0.00407483	0.00442629	0.00313391	0.00482813	0.00302282	0.00321468	0.00574309	0.00661496	0.0040419	0.00442581	0.00303831	0.0107981
gens	0.0026648	0.00465596	0.00572468	0.0105471	0.0218811	0.0417362	0.0456005	0.0663061	0.0900688	0.0847846	0.0737944	0.0917505	0.0678936	0.0191271	0.0109501	0.0082469	0.0107753	0.00806907	0.0105584	0.00710295	0.0110658	0.0263135	0.016593	0.0111633	0.0130577	0.0308553	0.0392842	0.0204035	0.0142452	0.0170824	0.0146027	0.0089619	0.0109124	0.0123248	0.00449387	0.00450032	0.00366054	0.00380213	0.00465718	0.00290524	0.00305605	0.00421689	0.00333442	0.00492328	0.0033826	0.00184583	0.00219687	0.00155933	0.00389748	0.00180084	0.00195323	0.00233057	0.0025255	0.00239878	0.00232881	0.0024755	0.00265108
se	0.0220774	0.0246547	0.0129498	0.0110429	0.013835	0.0117909	0.0123295	0.015036	0.0190424	0.012535	0.0273021	0.0208715	0.0289686	0.0269024	0.0239461	0.0261989	0.0394782	0.0298708	0.0333669	0.035614	0.0564022	0.0382005	0.0336431	0.0282398	0.0416508	0.0311122	0.0243667	0.0290421	0.0286811	0.0255741	0.0222641	0.0193739	0.0196823	0.0206826	0.00871507	0.00769675	0.0123798	0.0115083	0.00709811	0.0108654	0.00680632	0.00339886	0.00375587	0.00377549	0.00254836	0.00324097	0.00399626	0.00441458	0.00442446	0.0059119	0.00472871	0.00570863	0.00417593	0.00431984	0.00329162	0.00513536	0.0053747
sont	0.0201485	0.00979788	0.00873454	0.0065287	0.0104792	0.0223302	0.0225758	0.018837	0.0258625	0.0192623	0.0228687	0.00947719	0.0188731	0.00945058	0.016068	0.0124038	0.00950522	0.0150737	0.00992415	0.00864822	0.00775901	0.00994641	0.00777615	0.0127182	0.00662434	0.0107613	0.0134856	0.0159588	0.0143735	0.0198457	0.0296985	0.0240268	0.0418598	0.0311614	0.0475379	0.0382785	0.027743	0.035337	0.0348965	0.0281783	0.0149985	0.0170737	0.0107439	0.00914521	0.013608	0.0160143	0.0113142	0.0176582	0.0164121	0.0120408	0.0186551	0.0150097	0.0116322	0.0190291	0.0137071	0.0173507	0.0107914
réunis	0.010026	0.00739195	0.00662809	0.00623834	0.0167626	0.0233298	0.0202159	0.0153177	0.0159259	0.0153829	0.00803815	0.00796686	0.0113088	0.0118656	0.0142672	0.0204028	0.0161647	0.0221677	0.0133646	0.0143097	0.0112435	0.0213243	0.017396	0.0249523	0.0251762	0.0268776	0.0277876	0.0282158	0.03056	0.0356426	0.0497288	0.0394155	0.0516375	0.0477402	0.0442153	0.0351161	0.0262062	0.0158074	0.0240146	0.0209824	0.0114873	0.00953702	0.0111883	0.0141008	0.0134507	0.0109824	0.00705789	0.00602673	0.00665548	0.00449556	0.00382691	0.00378437	0.00400395	0.00299671	0.00310294	0.00325141	0.00293624
en	0.0344285	0.013353	0.00820055	0.00629462	0.00861478	0.0089753	0.0095225	0.00879174	0.013168	0.013932	0.00892515	0.00568513	0.0106927	0.0168578	0.0223709	0.0295212	0.0296131	0.0348879	0.0371213	0.043145	0.0479137	0.0520962	0.0281027	0.0355242	0.0261948	0.0323241	0.0530888	0.0287437	0.0326237	0.0316432	0.0216856	0.0213231	0.0191503	0.0144665	0.0113656	0.00965691	0.00708822	0.00619366	0.00766883	0.0065099	0.00513935	0.00469716	0.00346083	0.00437861	0.0102171	0.0103331	0.0114084	0.0125145	0.0140139	0.00841678	0.00992545	0.012465	0.0116757	0.00733685	0.0061441	0.00584675	0.00456159
grand	0.0218455	0.0105334	0.00604663	0.00606673	0.00734429	0.00539082	0.00559931	0.00404487	0.00733512	0.0109817	0.0184291	0.0227445	0.033295	0.0377543	0.0462416	0.0517897	0.0483845	0.0480804	0.0359681	0.0357049	0.0409388	0.0324809	0.0284543	0.0291567	0.0277703	0.0319876	0.0397294	0.0204909	0.025852	0.0197758	0.0149282	0.0225308	0.0135455	0.0101844	0.0084525	0.00740701	0.0066552	0.0072607	0.00793268	0.00715046	0.00822964	0.00700918	0.00573269	0.00480871	0.00463956	0.00532804	0.0062119	0.00595121	0.0118092	0.0113721	0.0119462	0.0111615	0.00788011	0.00759785	0.00757319	0.00780875	0.00867551
nombre	0.0184633	0.00826903	0.00454069	0.00389683	0.00327469	0.00219409	0.0021418	0.00145018	0.0035329	0.00428482	0.00914193	0.00854177	0.0132036	0.0147207	0.0210413	0.0295163	0.0289386	0.0275858	0.0399984	0.0219141	0.0445551	0.0471789	0.045472	0.0671589	0.051701	0.0775923	0.0678191	0.0369449	0.0397028	0.030763	0.0214649	0.0380875	0.019534	0.0160597	0.0120287	0.00956163	0.00597789	0.00709888	0.00576224	0.00661936	0.00639983	0.00430372	0.00500392	0.00437256	0.00264431	0.00281968	0.00318872	0.00301236	0.00584193	0.0039476	0.00399076	0.0063485	0.00442297	0.00486684	0.00614935	0.00693895	0.00801427
au	0.0612597	0.030004	0.0144285	0.008867	0.00433433	0.00212378	0.00316857	0.00151343	0.00149471	0.00133134	0.00177699	0.00210406	0.00246183	0.00464834	0.00790718	0.0159152	0.0276912	0.0180237	0.031896	0.0352975	0.0389271	0.0422035	0.0337644	0.0410489	0.035279	0.0523513	0.0502118	0.0320951	0.0349853	0.0285387	0.0176817	0.0209848	0.013926	0.00823542	0.00383197	0.00546097	0.00609933	0.0062357	0.00816261	0.00832868	0.0092201	0.00487173	0.00890494	0.00729649	0.015101	0.011238	0.011501	0.00803444	0.0129214	0.00973149	0.0114469	0.0178635	0.0198187	0.0174472	0.0202774	0.0248985	0.0248275
milieu	0.0249316	0.0217027	0.0197963	0.0166725	0.00906038	0.00616478	0.00804572	0.00422147	0.00160975	0.00169232	0.00310026	0.00381295	0.00461432	0.00927826	0.0137116	0.0190737	0.0216741	0.0200722	0.0297622	0.0267877	0.024476	0.0298944	0.0353101	0.0448515	0.0315074	0.036444	0.0284537	0.0319936	0.0291847	0.0276867	0.0279705	0.0285468	0.0284745	0.0218251	0.0118828	0.0171566	0.0171915	0.0151233	0.012346	0.0132726	0.016154	0.00709132	0.00754891	0.00845022	0.0104734	0.0074022	0.0117398	0.00819905	0.0116138	0.00875156	0.0113365	0.0154685	0.0191	0.0140076	0.0239036	0.0148853	0.0244973
du	0.0347968	0.0163396	0.00695625	0.00418223	0.00081583	0.0003901	0.000771261	0.000569951	0.000717859	0.000676749	0.0012413	0.00103113	0.00162256	0.00358008	0.00493967	0.00809508	0.018284	0.010382	0.0218374	0.0335644	0.0296576	0.0317776	0.0271133	0.0318087	0.0296804	0.0374853	0.034296	0.0340304	0.0331449	0.0228598	0.0190821	0.020075	0.0248156	0.0152922	0.00988528	0.0123685	0.015544	0.0116925	0.0118565	0.0160425	0.0172023	0.00914247	0.0163863	0.01628	0.0217621	0.0200286	0.0140287	0.0111313	0.0151982	0.0109532	0.0160744	0.0213933	0.0308067	0.0243603	0.0353295	0.030652	0.0499682
village	0.0252868	0.0138793	0.00962231	0.00563314	0.00293574	0.00136387	0.00178237	0.00175776	0.000758217	0.000743715	0.00165249	0.00293925	0.00443551	0.0110383	0.0147388	0.0191559	0.0234438	0.0173581	0.0233516	0.0333288	0.0268982	0.023753	0.0257031	0.0377673	0.0275719	0.0344139	0.0281032	0.0290289	0.0311013	0.020485	0.0225025	0.0211127	0.0269327	0.0188897	0.0119214	0.0185371	0.0193245	0.0232432	0.0244602	0.0199319	0.0271986	0.0149039	0.0191006	0.0118478	0.0194376	0.0142113	0.014086	0.0132756	0.0162353	0.0136815	0.0142934	0.0144552	0.0210165	0.0191815	0.0155531	0.0187775	0.0258571
pour	0.0216434	0.0132984	0.00828499	0.00623329	0.00287706	0.00225835	0.00171321	0.000510177	0.000465086	0.000404807	0.000573825	0.000513883	0.00119448	0.00241799	0.00486466	0.0109242	0.0209754	0.0211445	0.0635452	0.0461034	0.0591092	0.0395648	0.0366819	0.0357371	0.0257139	0.050407	0.0340566	0.0260282	0.0329818	0.0217015	0.0110768	0.0119521	0.014396	0.00603091	0.00669961	0.00670284	0.0145381	0.0113854	0.0109247	0.0119671	0.015706	0.00753506	0.011858	0.0107127	0.0186229	0.0167379	0.011215	0.0107104	0.0161425	0.0124364	0.0139319	0.0207506	0.0250829	0.020776	0.0319045	0.0334696	0.0248063
écouter	0.0248576	0.0133179	0.0072433	0.00500839	0.00254242	0.00152986	0.00143077	0.000839079	0.000497179	0.000366251	0.000770323	0.000612994	0.00185796	0.0038873	0.00702085	0.011652	0.0219002	0.0172777	0.0530377	0.0356435	0.046087	0.0349567	0.0379718	0.0391764	0.0267107	0.0388329	0.0309074	0.0298932	0.0304066	0.0268171	0.0181972	0.0171815	0.0202778	0.0115387	0.0092297	0.0123993	0.0232871	0.0193315	0.0189775	0.0204554	0.0229233	0.0126027	0.0183469	0.0153831	0.0233148	0.0162308	0.011436	0.00986083	0.0146677	0.00996373	0.0117382	0.0183708	0.0211503	0.0133371	0.0185139	0.0170829	0.0211479
la	0.0194689	0.0139303	0.0117276	0.00873266	0.00464159	0.00332531	0.00290848	0.00265688	0.00140801	0.00117674	0.00351815	0.00412626	0.00984231	0.0145224	0.0230003	0.0300558	0.0298598	0.0315953	0.0378824	0.0364005	0.033595	0.0305595	0.0360092	0.0387868	0.0318297	0.0384077	0.0291294	0.0362017	0.0396267	0.0306799	0.023545	0.0242346	0.0354146	0.0182668	0.0169631	0.0176985	0.0232406	0.020865	0.0169921	0.0127121	0.0147965	0.00679773	0.00925684	0.00657753	0.0130049	0.0099732	0.00768176	0.00570463	0.00745052	0.00612573	0.00541297	0.0103617	0.011652	0.00815153	0.00637656	0.0106335	0.0145047
