 	a66	a87	a23	a99	a18	a53	a44	a70	a54	a79	a7	a44	a96	a35	a75	a85	a37	a21	a5	a37	a85	a92	a21	a47	a96	a93	a70	a11	a93	a13	a62	a88	a9	a87	a23	a97	a87	a23	a87	</S>
mbongo	0.0396688	0.035421	0.0243929	0.0204268	0.0321967	0.0483238	0.0575686	0.0572184	0.0386622	0.0141543	0.00993296	0.00860609	0.00874019	0.00908551	0.0114591	0.0154644	0.0131324	0.0176811	0.0312476	0.0443013	0.0492059	0.0463039	0.0441981	0.0431795	0.033035	0.0382884	0.0287642	0.0284834	0.0225291	0.0127039	0.00979396	0.00934108	0.011184	0.00817833	0.0123326	0.00901674	0.0080984	0.0136549	0.00957035	0.0244541
avait	0.011374	0.0108031	0.0111436	0.0115825	0.0138457	0.0162338	0.0245469	0.0355836	0.0427009	0.0636948	0.0764292	0.0405663	0.0500875	0.0402392	0.0272337	0.0355552	0.0451972	0.0416031	0.0288106	0.021062	0.0167817	0.00860536	0.0073447	0.00873809	0.00909769	0.00984406	0.016918	0.0156874	0.0173717	0.0209717	0.0204231	0.0178785	0.0260386	0.0245784	0.0196503	0.0219976	0.0254916	0.0213742	0.0227992	0.0201151
retrouvé	0.0139541	0.0100974	0.0102642	0.00990046	0.0195847	0.0233349	0.0211918	0.0234957	0.059989	0.0695154	0.145996	0.0887948	0.0800205	0.0702875	0.0329722	0.0300776	0.024981	0.0153558	0.00808266	0.00719003	0.00645619	0.00453152	0.00754452	0.00769858	0.0070491	0.00583203	0.00631287	0.00736775	0.00843909	0.0117311	0.00820282	0.0127713	0.0132818	0.0197699	0.011785	0.016805	0.0217162	0.0160359	0.0234262	0.0181574
les	0.0592698	0.0291438	0.0142734	0.0110265	0.0154854	0.0176616	0.0151136	0.0194578	0.0274386	0.0158996	0.0679797	0.0408077	0.0319988	0.0427531	0.0196771	0.0106642	0.0118698	0.00806692	0.0126791	0.0174365	0.0185743	0.0180428	0.0130876	0.0235453	0.0186747	0.0199114	0.0157933	0.0183342	0.0247878	0.0284754	0.023191	0.0254166	0.038608	0.0233538	0.0280356	0.0239478	0.0233821	0.0360509	0.0391357	0.0509489
objets	0.0550908	0.0409818	0.0202338	0.0163295	0.0137116	0.0133286	0.0115569	0.0159856	0.0322961	0.0479391	0.0659651	0.0702865	0.0654598	0.0625357	0.0421761	0.0444655	0.0348578	0.0361946	0.0228619	0.0263158	0.0400213	0.0160195	0.0183481	0.0175873	0.0122302	0.011932	0.00773702	0.00817883	0.00809473	0.0102287	0.0111984	0.00476979	0.0154605	0.011064	0.00773283	0.00876194	0.00941027	0.0110284	0.0177133	0.0139104
disparus	0.0430942	0.0296467	0.0209079	0.0183831	0.0198111	0.0203259	0.0155188	0.018876	0.0437925	0.0566738	0.0869863	0.0848105	0.0487171	0.0541912	0.0301105	0.0322359	0.019137	0.0217626	0.0145724	0.018244	0.0320253	0.0196898	0.0183127	0.012249	0.00974632	0.0159324	0.0120374	0.01527	0.0176682	0.014579	0.0121752	0.0108613	0.0153677	0.010314	0.0169922	0.0137125	0.0120742	0.0143452	0.012478	0.0163721
sous	0.0298246	0.0113472	0.00872502	0.00849541	0.0150181	0.0211667	0.03516	0.0310398	0.0410909	0.0144499	0.0198393	0.00900014	0.0127013	0.0229425	0.0178709	0.0263572	0.0322313	0.0516917	0.0484435	0.0312261	0.06989	0.0243298	0.0172333	0.0336733	0.0272078	0.0399758	0.0186496	0.0205069	0.0173247	0.0284527	0.0142995	0.0138345	0.0260508	0.022728	0.0193695	0.0212458	0.0233309	0.0270244	0.0280025	0.0182487
le	0.0344991	0.0204747	0.0165353	0.0143863	0.0234975	0.0283433	0.0331049	0.0333753	0.0293487	0.0186245	0.0290319	0.0123067	0.00998653	0.0108332	0.00837974	0.0101391	0.0129807	0.0145618	0.0192591	0.0168406	0.0499915	0.0285918	0.0294282	0.0343626	0.0355129	0.0458613	0.0379031	0.0345865	0.0271291	0.0350411	0.0322664	0.0222963	0.0327568	0.0372319	0.0184182	0.0245145	0.0283667	0.018916	0.0223479	0.00796833
lit	0.0326529	0.0147898	0.0103217	0.0116782	0.00799931	0.00817476	0.0069228	0.00769334	0.00898176	0.00760753	0.012255	0.00947033	0.0113989	0.0120566	0.0126338	0.0107797	0.0145425	0.0117579	0.0153471	0.0186232	0.0234843	0.0245524	0.0281469	0.0292118	0.0375402	0.0290271	0.0444927	0.0423088	0.0257818	0.0472029	0.0346945	0.0272274	0.0517061	0.0666979	0.0360055	0.049361	0.059816	0.0339791	0.0426597	0.0204168
</S>	0.022968	0.01781	0.0172732	0.0149564	0.00888242	0.00678177	0.00947689	0.00878895	0.00855605	0.00830941	0.00979492	0.0065157	0.00688135	0.00940501	0.0117965	0.00903231	0.0125698	0.0150076	0.0270354	0.0220602	0.0228352	0.0223665	0.0167565	0.0245614	0.0220751	0.0197847	0.021754	0.0286966	0.0192381	0.0309621	0.0281379	0.0257728	0.0450407	0.0396042	0.0477055	0.0612336	0.0536605	0.0731846	0.0606643	0.082064
