 	a66	a97	a87	a23	a83	a54	a6	a5	a37	a79	a98	a92	a85	a6	a0	a11	a75	a85	a92	a93	a56	a93	a70	a13	a9	a57	a82	a87	a23	a87	</S>
je	0.0322019	0.0224421	0.0341598	0.0286647	0.0191055	0.0302039	0.040062	0.0403764	0.0447514	0.0517782	0.0398578	0.0514142	0.0769727	0.0470947	0.0467822	0.034488	0.0299806	0.0290119	0.0255234	0.038556	0.0235769	0.0167265	0.0199596	0.0192389	0.0185849	0.0239798	0.0190612	0.0283509	0.0151832	0.0173464	0.0345641
m'	0.0251639	0.0187055	0.0119209	0.0158069	0.0165961	0.0241997	0.0374665	0.0562798	0.0537668	0.04908	0.0453101	0.0419277	0.0432159	0.0568634	0.0336209	0.0389537	0.0209985	0.0182859	0.0206035	0.0226341	0.0274259	0.0270336	0.0328454	0.0253615	0.0326173	0.0318335	0.0308778	0.0290176	0.0421173	0.0369319	0.0325384
en	0.0297565	0.0149042	0.00928228	0.00979857	0.0118488	0.0236493	0.0312989	0.0365687	0.0256207	0.0250801	0.0208584	0.0105134	0.0100239	0.00685814	0.0155679	0.0115434	0.0168634	0.0146091	0.00980317	0.0217784	0.0260596	0.0325716	0.0447623	0.039692	0.0590133	0.0482216	0.0645186	0.0608236	0.0792491	0.0936201	0.0952408
vais	0.0460106	0.0444157	0.0483783	0.0446073	0.035232	0.0235147	0.0137706	0.00794441	0.00653297	0.0054233	0.0152878	0.0771756	0.0680596	0.241078	0.0834357	0.0682046	0.0349108	0.016049	0.0162219	0.0122407	0.00862165	0.00527533	0.0093723	0.00831887	0.0130667	0.00711756	0.0121145	0.00643893	0.0093266	0.00429383	0.00755998
dire	0.0867422	0.079859	0.0575284	0.0576098	0.0402388	0.0377178	0.0269257	0.0196554	0.0134706	0.00854315	0.0132518	0.0242809	0.0231371	0.0419098	0.0193298	0.0174082	0.0168148	0.0140696	0.0202401	0.0222558	0.0194217	0.0174088	0.0157008	0.0195302	0.0200159	0.0378038	0.0393651	0.0369476	0.054992	0.0273096	0.0705157
au-revoir	0.114666	0.0817446	0.0877439	0.0728067	0.0627069	0.0530108	0.04897	0.030526	0.0273379	0.0109218	0.0154031	0.0241189	0.0202641	0.0160629	0.012069	0.021019	0.0250408	0.019053	0.0119082	0.0165338	0.0161262	0.0224211	0.0113946	0.0179842	0.0142682	0.0201962	0.0242655	0.0282821	0.0251352	0.0165561	0.0314634
à	0.194113	0.12832	0.077775	0.0454933	0.0376918	0.0405086	0.0301183	0.0298537	0.0145429	0.0161856	0.0255505	0.025109	0.0312607	0.0164808	0.0235721	0.0233088	0.0237927	0.0139189	0.0145488	0.0139026	0.0102282	0.00940278	0.00780526	0.00800538	0.00384895	0.00971383	0.0120023	0.0171234	0.0270139	0.0256404	0.0431682
mon	0.0526513	0.03179	0.0224286	0.0139947	0.0123523	0.013299	0.00980912	0.00951252	0.0066476	0.00981676	0.0113447	0.0104718	0.0116054	0.00755233	0.0121434	0.0131781	0.0265212	0.0301489	0.028892	0.0451122	0.0348865	0.0203381	0.029516	0.054471	0.0560224	0.0552251	0.0770764	0.0717825	0.0892467	0.0650784	0.0670848
oncle	0.0394423	0.0343228	0.0297119	0.0349969	0.0269402	0.0295385	0.0187717	0.0154661	0.0144758	0.0191663	0.0253252	0.0200745	0.016817	0.0214289	0.013994	0.0257159	0.0159845	0.0131178	0.0170639	0.0162732	0.0113907	0.0106173	0.00991483	0.0267146	0.0333237	0.0544249	0.0767432	0.0654772	0.115513	0.0512761	0.0959767
</S>	0.0390678	0.0261796	0.0162955	0.0200178	0.0165357	0.0222321	0.0210506	0.0190266	0.0123186	0.0134558	0.013916	0.0115268	0.0123633	0.0134483	0.012024	0.0138895	0.0107412	0.00816341	0.0107724	0.0172942	0.0191245	0.0217151	0.0223117	0.0360518	0.0479644	0.0805446	0.0803101	0.0792115	0.108243	0.0649917	0.109212
