 	a66	a87	a23	a87	a23	a50	a62	a88	a11	a62	a31	a24	a21	a47	a31	a43	a62	a75	a25	a56	a47	a96	a21	a85	a47	a37	a85	a47	a36	a2	a57	a87	a23	a50	a62	a21	a12	a43	a47	a21	a92	a90	a98	a79	a44	a94	a62	a21	a92	a37	a79	a56	a93	a70	a11	a88	a0	a11	a75	a79	a44	a4	a13	a57	a82	a87	a23	a10	a87	a23	a99	a97	a10	</S>
la	0.0276424	0.0332046	0.0255781	0.0193996	0.024893	0.0267169	0.021396	0.0201089	0.0160522	0.0140278	0.0174624	0.0141125	0.0185519	0.0147967	0.0151842	0.0188405	0.0149417	0.0227461	0.0169795	0.0238435	0.0166554	0.0176229	0.0139809	0.0128339	0.0127799	0.0202596	0.0107728	0.0114666	0.00958478	0.00857977	0.0104987	0.0128161	0.00845214	0.0132528	0.0172378	0.0114127	0.00699556	0.010347	0.019033	0.0123663	0.00897073	0.00904879	0.0137752	0.015203	0.0081574	0.0104242	0.0119534	0.00913417	0.00896585	0.00746545	0.00648667	0.00568678	0.00303911	0.00534613	0.00536636	0.00375475	0.00220752	0.00274338	0.00196119	0.00378699	0.00309179	0.00546405	0.00651403	0.00853794	0.015084	0.0152608	0.012178	0.0114428	0.0104285	0.0109304	0.0128717	0.0220798	0.0187344	0.0404776
manière	0.00880397	0.0123732	0.0229293	0.0112904	0.0179405	0.0267627	0.0213472	0.0187862	0.0336568	0.0321164	0.0781007	0.0396295	0.0565415	0.0281065	0.0137437	0.0562143	0.0425431	0.0147828	0.0476887	0.0217851	0.013522	0.0223123	0.00779926	0.0116329	0.00877978	0.0204902	0.0302982	0.00681791	0.00596145	0.00883057	0.00778335	0.00559233	0.0063113	0.00586525	0.00904112	0.00622179	0.00603721	0.00418792	0.00438965	0.00678603	0.0095497	0.00805401	0.00890072	0.00786269	0.00477672	0.00551737	0.00526229	0.00468283	0.00539987	0.0181408	0.0194443	0.00838269	0.0113554	0.0083818	0.00439702	0.00293438	0.00763437	0.00304553	0.00458778	0.00796274	0.00943125	0.00830462	0.00546555	0.000850193	0.00143702	0.00148564	0.000683441	0.00040204	0.000615182	0.000594486	0.00126102	0.00108416	0.00427604	0.00403307
dont	0.0352974	0.0271139	0.0196845	0.0174713	0.00484415	0.00995177	0.00691923	0.00597846	0.00444045	0.0047866	0.00714567	0.00307359	0.00485374	0.0079879	0.0122859	0.0132119	0.0239385	0.0268726	0.0132269	0.013124	0.0133349	0.0157977	0.0147415	0.015025	0.0118133	0.0345006	0.0184586	0.0392658	0.0413002	0.0379429	0.0635265	0.0409379	0.0512473	0.0262148	0.0308855	0.0420306	0.0347582	0.0174079	0.0310397	0.0286097	0.00894914	0.0108885	0.0101706	0.00469733	0.00311752	0.00267169	0.00830622	0.00521586	0.00241793	0.00223695	0.00275642	0.00581726	0.00436454	0.00545853	0.00187663	0.00124963	0.00245556	0.00039427	0.000936988	0.00163602	0.000731928	0.000997283	0.000581663	0.000719831	0.00105493	0.00104999	0.00157378	0.00236722	0.00222951	0.00288673	0.00353313	0.00328238	0.00667983	0.0156472
mon	0.0186159	0.0111259	0.00557743	0.00726704	0.00404375	0.0030702	0.00304346	0.00507084	0.00275041	0.00677927	0.00342548	0.00256019	0.00493005	0.00583612	0.00503298	0.00629855	0.00851155	0.0115397	0.00422333	0.0144273	0.0263416	0.0247967	0.0380043	0.0356869	0.0193156	0.0226443	0.0136019	0.0154339	0.0237349	0.0102808	0.0153144	0.00858379	0.0119083	0.0095244	0.0277649	0.0214415	0.0212366	0.0168376	0.0196908	0.011215	0.00491535	0.0129635	0.0296427	0.0296604	0.0165155	0.017426	0.0238924	0.0187886	0.00713268	0.00895069	0.00710021	0.0123708	0.0148731	0.0245173	0.0123856	0.0230455	0.0130597	0.0092187	0.0175139	0.0139669	0.0159296	0.0108905	0.00799905	0.00650803	0.00775813	0.00817157	0.00555991	0.0107985	0.00932247	0.014676	0.0154595	0.0114334	0.0196259	0.0104404
mari	0.0165775	0.00689574	0.00397045	0.00560112	0.00374552	0.0031123	0.00419425	0.00423709	0.00457121	0.00609339	0.0144409	0.0102058	0.00669763	0.00507262	0.0131382	0.016326	0.0109204	0.00708626	0.0169232	0.0105144	0.00893101	0.0155725	0.00773794	0.0141439	0.0123748	0.0118242	0.0118389	0.0190331	0.0143472	0.0135493	0.015656	0.0214333	0.0248227	0.0152741	0.0153807	0.0234403	0.0175328	0.0140624	0.0169986	0.0242831	0.0192014	0.0166888	0.0262837	0.0155285	0.0229469	0.0135648	0.0278734	0.0240974	0.0136704	0.0168129	0.0235462	0.023981	0.020506	0.0327392	0.0202058	0.016024	0.00563732	0.00506519	0.0118834	0.00932752	0.0111335	0.012691	0.0098158	0.00673589	0.00589258	0.00540286	0.00424511	0.00431233	0.00391499	0.00924512	0.0153576	0.0114658	0.0285203	0.0171224
a	0.00994097	0.00734507	0.0067762	0.00758271	0.0040958	0.00616446	0.00409266	0.00257932	0.00263802	0.00370307	0.00651491	0.0106068	0.00652092	0.0076397	0.0230141	0.019321	0.018322	0.00780623	0.0192828	0.00823743	0.00994431	0.0149963	0.0133977	0.0211365	0.0158064	0.0165423	0.0148929	0.0221639	0.0257215	0.0208623	0.0251363	0.0278865	0.0289207	0.0256559	0.0303135	0.0321816	0.0375045	0.0303509	0.031082	0.0171928	0.0221897	0.0144655	0.0215638	0.0166533	0.025855	0.0155916	0.0200182	0.0165906	0.0115456	0.0133867	0.0242334	0.0162371	0.012926	0.0246424	0.0147198	0.00933085	0.00338392	0.0026238	0.00547337	0.00442582	0.00161015	0.00229424	0.00138984	0.000849239	0.00067718	0.00141593	0.00200727	0.00130884	0.00222981	0.00341169	0.00724367	0.00594984	0.0108634	0.0190195
refuse	0.0296546	0.0199394	0.0180759	0.0196877	0.0125909	0.0151331	0.0127303	0.010473	0.00588079	0.00569429	0.00512971	0.00492151	0.00438482	0.00692896	0.00822871	0.00492286	0.00576495	0.00450571	0.00513488	0.00338622	0.00579697	0.00836649	0.00860661	0.0120861	0.00787224	0.00995897	0.00869948	0.0124765	0.0145386	0.0141373	0.0177602	0.01354	0.0197374	0.0152778	0.0139903	0.0146542	0.0157135	0.0161363	0.0117544	0.00643787	0.00833023	0.00556181	0.00804101	0.00954729	0.0169352	0.017478	0.0139708	0.00929024	0.00998542	0.0114885	0.0170889	0.00983213	0.00946017	0.0228263	0.020045	0.0221086	0.00751707	0.0156089	0.0220281	0.0190123	0.0139166	0.0217532	0.00927611	0.00654697	0.00804997	0.00954639	0.0105678	0.0134041	0.0208236	0.0204607	0.0296452	0.0279863	0.0302056	0.0509521
de	0.032496	0.0212926	0.0139403	0.0189352	0.0115352	0.00717633	0.00717555	0.00558759	0.00294797	0.00339737	0.00407036	0.00431832	0.00327843	0.0045434	0.00751007	0.00555241	0.0102708	0.0122078	0.0109678	0.00854797	0.0190748	0.0137616	0.031253	0.0255417	0.0247389	0.0125916	0.0106777	0.0139263	0.0189284	0.00905565	0.0165401	0.0108759	0.0188352	0.0109485	0.0109171	0.0129074	0.0126097	0.0142508	0.00968846	0.00539528	0.00771979	0.00951431	0.0130936	0.0180022	0.018097	0.0194626	0.0152178	0.0102955	0.00774214	0.00321971	0.00360991	0.0056564	0.0056451	0.0117219	0.0116441	0.0078459	0.003634	0.0108063	0.00867023	0.0138706	0.0182399	0.0313342	0.0192858	0.0089013	0.0123796	0.0144042	0.012461	0.0198374	0.0209499	0.0220809	0.0250826	0.0307793	0.0283933	0.0321321
manger	0.0123367	0.00834323	0.00504431	0.0066841	0.00687937	0.00205864	0.00317915	0.00236344	0.00183395	0.00237114	0.00391452	0.00510207	0.00436363	0.0072121	0.0125746	0.0122601	0.0214749	0.0291393	0.0204847	0.0177731	0.0206543	0.0183971	0.0294881	0.0236099	0.0280598	0.0277794	0.015825	0.0250022	0.0188277	0.0106498	0.0170492	0.0144	0.0188691	0.011157	0.00901427	0.0143698	0.0146292	0.0145089	0.00897627	0.0098164	0.0166822	0.0137545	0.0136514	0.0144901	0.0186001	0.0256329	0.0152472	0.00812756	0.00798585	0.00366946	0.00319457	0.00436951	0.00444127	0.0062477	0.00470107	0.00356369	0.00285295	0.00316102	0.0038252	0.00447919	0.00595839	0.00993474	0.0124828	0.005696	0.00727578	0.010913	0.00833331	0.0139849	0.0205049	0.0180921	0.0395523	0.0344631	0.0452917	0.0523626
de	0.0104765	0.00983402	0.00611503	0.00740317	0.00468648	0.0030661	0.00443912	0.00312261	0.00307444	0.00365636	0.00866687	0.00525925	0.00516022	0.00805757	0.0158123	0.0127367	0.0174952	0.035835	0.0343726	0.0195229	0.0201223	0.0163517	0.0200317	0.0165232	0.0275559	0.0209313	0.0177828	0.0214755	0.0211173	0.0146294	0.0211879	0.022305	0.0249854	0.0142318	0.0137817	0.0190236	0.0157419	0.0169478	0.0112506	0.0123482	0.0212298	0.0177939	0.015363	0.0153716	0.016602	0.012948	0.0130815	0.00858482	0.00767776	0.00297222	0.00333841	0.00805253	0.00519398	0.00873565	0.00623661	0.00402619	0.0034676	0.00471761	0.00647785	0.00601163	0.00646167	0.00733996	0.00833005	0.00436293	0.0053752	0.00683285	0.00488493	0.00847642	0.00852989	0.0121741	0.0239074	0.0265619	0.0447938	0.0569688
