 	a15	a66	a87	a23	a79	a58	a62	a5	a85	a5	a21	a92	a79	a20	a40	a47	a92	a85	a6	a37	a12	a96	a88	a71	a9	a97	a87	a23	a99	a97	a57	</S>
okyeri	0.0344695	0.0272913	0.0273452	0.0293841	0.0356324	0.0401459	0.032514	0.0609608	0.0359261	0.0202746	0.036693	0.0185869	0.0142535	0.0109138	0.0152754	0.0136873	0.0201542	0.0191401	0.0147589	0.0199277	0.0254829	0.0432588	0.0247067	0.0582159	0.0601756	0.042105	0.0428045	0.0318564	0.0296758	0.0398671	0.0178437	0.0566729
sait	0.0368936	0.0336966	0.0311541	0.0164026	0.0177826	0.0109485	0.0105667	0.0141789	0.0123463	0.021521	0.0207631	0.011377	0.0193696	0.0157925	0.0304377	0.0354548	0.0355407	0.0307452	0.0293264	0.0281994	0.0286327	0.0383066	0.046975	0.0430836	0.0310618	0.0640908	0.0435028	0.0682546	0.0496541	0.0391718	0.0618193	0.0229497
bien	0.0794002	0.083412	0.0997422	0.0603613	0.0462088	0.025262	0.0170741	0.0220507	0.0246896	0.0236248	0.0250588	0.0180952	0.025637	0.0209204	0.0169578	0.0208889	0.0302685	0.0201669	0.0155611	0.00565469	0.00553225	0.00371892	0.00446439	0.00616716	0.0082118	0.0102194	0.0167513	0.0406302	0.0403472	0.0337117	0.103811	0.0453999
ériger	0.0591525	0.0655942	0.0353513	0.0499255	0.0337357	0.0621822	0.0611694	0.0401296	0.0301793	0.0308517	0.0182624	0.0250436	0.0203071	0.0300509	0.02	0.0214643	0.0187022	0.0346588	0.0183163	0.0165776	0.0180458	0.0125267	0.0238641	0.022128	0.0157968	0.0162623	0.0327595	0.033242	0.0248588	0.0292079	0.0298364	0.0498172
les	0.0952444	0.078051	0.0612232	0.0305006	0.0227701	0.0099669	0.00757304	0.00904808	0.00984147	0.0102056	0.0127551	0.0180966	0.0405212	0.0357373	0.0420629	0.0194914	0.0383055	0.0542359	0.0437851	0.0237034	0.0198678	0.0173465	0.0151198	0.024379	0.0200408	0.0148485	0.0242129	0.043013	0.0294834	0.0374124	0.0584229	0.0327343
murs	0.0572942	0.0435181	0.0235001	0.0122273	0.0106276	0.00826961	0.0087486	0.0101979	0.0151421	0.0215355	0.0211101	0.0163846	0.0279881	0.0300559	0.0303394	0.0144539	0.0539122	0.0434345	0.0376018	0.0222644	0.0276453	0.0218074	0.0262043	0.0679803	0.0748261	0.0545656	0.0611249	0.0535891	0.0366479	0.0274483	0.0259692	0.0135856
d'	0.10705	0.0577807	0.0315302	0.020674	0.0156244	0.0118264	0.0116588	0.0108455	0.0135105	0.0247438	0.0283335	0.0173298	0.0283639	0.0121948	0.0234365	0.00839537	0.0225019	0.0078692	0.0100825	0.00546356	0.0126491	0.0147312	0.0271326	0.0535541	0.0423796	0.0460713	0.0625604	0.0858486	0.0763819	0.0314567	0.0566282	0.0213911
une	0.061435	0.0378787	0.0210939	0.0147739	0.0125893	0.0089971	0.00732595	0.00704715	0.00862994	0.00798788	0.0188131	0.0133997	0.0194137	0.0126199	0.011462	0.00369916	0.00632232	0.00621993	0.00607755	0.00607059	0.0150107	0.022521	0.0149144	0.0563667	0.0602073	0.070216	0.0747877	0.0961995	0.0904983	0.0723149	0.0893316	0.045775
maison	0.0411196	0.0260185	0.0161231	0.0134319	0.00863636	0.00576702	0.00518512	0.00585329	0.00889229	0.00814008	0.0195466	0.0245083	0.0305321	0.0367207	0.0459408	0.0356148	0.0384052	0.0282375	0.0140001	0.01161	0.014438	0.0124363	0.00966478	0.0318575	0.0423314	0.0596842	0.0570388	0.0850586	0.0756081	0.0621023	0.07381	0.0516868
en	0.0353151	0.0191777	0.0121521	0.0100979	0.00714899	0.00551101	0.00490104	0.00554337	0.00752725	0.00523583	0.013511	0.0168885	0.0193351	0.0207432	0.0209548	0.0166395	0.0156574	0.0125678	0.0100537	0.0112737	0.0226781	0.0215129	0.0162869	0.0464135	0.0784242	0.067948	0.0677747	0.100902	0.0958728	0.0864969	0.0640752	0.0613793
terre	0.0249834	0.01764	0.0226115	0.0141963	0.0153403	0.010548	0.00867964	0.00789816	0.0083105	0.0106303	0.0123034	0.0158094	0.0357588	0.0594039	0.0483401	0.0426476	0.0309615	0.0342834	0.0331342	0.0303035	0.0226705	0.0220892	0.0223192	0.0394053	0.0577077	0.0831333	0.0418775	0.0542987	0.0427797	0.0379546	0.0444458	0.0475343
battue	0.0409179	0.0217637	0.0225045	0.013292	0.0118913	0.00691754	0.00642563	0.00656477	0.00692061	0.00599021	0.0100921	0.00622505	0.0128688	0.00788357	0.016067	0.00778923	0.0105227	0.00663626	0.00855815	0.0100997	0.0138767	0.0215761	0.0252263	0.0469381	0.0472456	0.0506635	0.0560557	0.086572	0.0776317	0.0885355	0.0731103	0.172638
</S>	0.0497979	0.0269843	0.0308006	0.0224873	0.0166036	0.00709709	0.00676554	0.00714849	0.00863752	0.00589821	0.0116557	0.00924081	0.0185301	0.0120342	0.0246262	0.0130471	0.0214625	0.0164962	0.0220121	0.0178122	0.0236777	0.0337849	0.0302186	0.0530248	0.0541651	0.0482023	0.0499331	0.0664879	0.0624245	0.0639026	0.053242	0.111799
