 	a10	a83	a18	a11	a31	a11	a90	a57	a53	a90	a98	a75	a43	a11	a75	a92	a79	a44	a26	a40	a98	a73	a37	a79	a56	a66	a11	a75	a41	a0	a25	a44	a20	a84	a10	</S>
je	0.0700436	0.038414	0.0453014	0.0503645	0.0779337	0.0317418	0.098613	0.0283216	0.0351638	0.0292841	0.0280897	0.0222074	0.034413	0.0216336	0.0254366	0.0178242	0.0159808	0.0164804	0.0182312	0.00950745	0.0125739	0.0179136	0.00834698	0.0105305	0.0116311	0.0166458	0.0111873	0.0103042	0.0110548	0.0158469	0.0242507	0.0198538	0.0156531	0.0190847	0.0326781	0.0474589
ne	0.0170659	0.0122576	0.0208217	0.0379104	0.0454039	0.0535355	0.0692792	0.0656399	0.0955945	0.0671765	0.0860071	0.0322291	0.0402962	0.0407892	0.047221	0.0341032	0.0125624	0.0115515	0.00853089	0.00732677	0.00781071	0.0145073	0.0154085	0.0125082	0.00650461	0.00675666	0.00808952	0.0101759	0.012627	0.0163574	0.0190953	0.018486	0.0128593	0.0109303	0.0127799	0.00980049
comprends	0.103971	0.0580959	0.0589681	0.0353757	0.0276212	0.033589	0.0335539	0.0257085	0.0404858	0.0418251	0.0753865	0.0369651	0.0340024	0.0312428	0.0503914	0.0271782	0.0144935	0.00945566	0.00961026	0.00464529	0.00293352	0.00419962	0.00604104	0.00514924	0.00255876	0.00300783	0.00321839	0.00605221	0.00910923	0.0131379	0.0211829	0.0284397	0.0415635	0.0316493	0.0401506	0.0290413
pas	0.0356221	0.0222786	0.0165792	0.0354249	0.0202479	0.0730598	0.0438731	0.0493413	0.0303868	0.0381718	0.0426956	0.0349338	0.0278782	0.0356449	0.0229771	0.0333729	0.0260433	0.0277665	0.0251165	0.0406414	0.0484868	0.0430568	0.0311992	0.0262226	0.0235539	0.0195459	0.0296729	0.0222155	0.012972	0.0100096	0.00785605	0.00627285	0.0063055	0.00864466	0.00803707	0.013893
ce	0.0187804	0.0144141	0.0162249	0.0185073	0.0145601	0.0255267	0.0221655	0.0277615	0.0263304	0.0355916	0.0337503	0.0333486	0.0291703	0.0340236	0.0301058	0.0433367	0.0386697	0.0361184	0.0315665	0.0217534	0.0313299	0.0243802	0.0178231	0.0160246	0.0214979	0.0267506	0.023437	0.0256556	0.0298611	0.0356716	0.0334815	0.0434599	0.0322948	0.0332356	0.0270189	0.0263719
que	0.0092139	0.00864171	0.008813	0.00901142	0.00647362	0.00777357	0.0156224	0.0306236	0.018481	0.0357225	0.0313709	0.0395905	0.0383109	0.0297839	0.0438454	0.0722005	0.122842	0.11467	0.0963742	0.0525497	0.0443038	0.0357831	0.0250641	0.0138667	0.0162003	0.0211529	0.0125407	0.00695765	0.00485679	0.00328816	0.0027632	0.00447648	0.00255353	0.00259443	0.0042031	0.00748013
tu	0.148306	0.0294426	0.0272407	0.0200959	0.0191641	0.014751	0.0101394	0.010633	0.0102139	0.0106071	0.0105262	0.007482	0.0121242	0.0104446	0.0126327	0.0195134	0.0174339	0.0133054	0.0165874	0.00464342	0.00870553	0.00709211	0.00566435	0.00796931	0.00692542	0.0172366	0.00790108	0.0234738	0.0261772	0.03954	0.0546461	0.0867113	0.0714171	0.0729562	0.0889738	0.0493232
dis	0.0527249	0.0202926	0.0273823	0.0206181	0.0232194	0.0191985	0.016177	0.026009	0.0209213	0.0267808	0.0169101	0.0108826	0.0173728	0.0148062	0.0170281	0.0378068	0.0220289	0.0200018	0.0317063	0.0234994	0.0458143	0.0302	0.0236549	0.0246927	0.0253467	0.0272879	0.025514	0.045552	0.0325919	0.0347938	0.0380902	0.0429931	0.0384495	0.0234987	0.0307177	0.0454359
tu	0.0383521	0.0130638	0.019074	0.0224101	0.0290511	0.0269502	0.0355354	0.0365519	0.0345114	0.0348483	0.0222513	0.0125617	0.0211502	0.0175574	0.0183177	0.0233384	0.0119801	0.024457	0.0183945	0.0250534	0.0247469	0.0200517	0.0185406	0.0148896	0.0171203	0.0225612	0.0183622	0.0357141	0.0318549	0.0333032	0.0326636	0.0504333	0.0433324	0.0254619	0.0560563	0.069498
bredouilles	0.0464396	0.0173562	0.0249679	0.028975	0.0294856	0.0212596	0.0292597	0.0191574	0.0199862	0.0181089	0.011201	0.00603616	0.0114989	0.00972939	0.0108019	0.0112939	0.00724582	0.0113078	0.013298	0.0126039	0.0187215	0.020982	0.0172327	0.0178964	0.017432	0.0196454	0.0206639	0.0408019	0.0471021	0.044333	0.0461427	0.0644204	0.0614573	0.0363498	0.0868444	0.0799616
</S>	0.0266026	0.0147466	0.0252163	0.0273011	0.0268654	0.0234671	0.0277367	0.0118712	0.0102592	0.00880343	0.0050795	0.00328998	0.0064489	0.00490334	0.00742875	0.00395875	0.00506605	0.00343123	0.00879502	0.0078486	0.0174034	0.0254793	0.0216078	0.0363332	0.0245846	0.0294955	0.0266664	0.0509115	0.0568813	0.0502165	0.0645005	0.0619296	0.0581276	0.0500132	0.0899003	0.0768297
