 	a84	a57	a10	a87	a23	a93	a56	a75	a98	a92	a85	a75	a5	a12	a96	a75	a5	a36	a27	a82	a87	a23	a87	a23	a99	a38	</S>
quelle	0.0247678	0.0250246	0.014551	0.0152747	0.00818068	0.00623964	0.00919248	0.00958993	0.0124809	0.0228763	0.0144415	0.00956821	0.0184611	0.0223846	0.0284006	0.0392426	0.044488	0.0804583	0.0989896	0.0737691	0.0825569	0.0767906	0.0578783	0.0454214	0.0525847	0.0394609	0.0669257
est	0.0221307	0.0200794	0.0196683	0.0250824	0.020468	0.024587	0.027611	0.0259163	0.0159503	0.0201878	0.0263919	0.0397393	0.059434	0.0463271	0.0461317	0.0441892	0.0988129	0.0554392	0.0558074	0.0447908	0.045019	0.0339345	0.0294978	0.0423288	0.0347368	0.0423563	0.0333822
celui	0.187356	0.135119	0.0742626	0.0738298	0.0347456	0.0279339	0.0230379	0.0180875	0.0144884	0.0119931	0.0127747	0.00862686	0.017739	0.0111009	0.0178518	0.027286	0.0279488	0.0288144	0.0252229	0.028407	0.0178213	0.0167795	0.0278223	0.0270913	0.032011	0.0430129	0.0288356
qui	0.0991415	0.0712764	0.0838312	0.0854151	0.100581	0.0738362	0.0825671	0.0377203	0.0253138	0.0154113	0.0153874	0.0124741	0.0143111	0.00932349	0.00921121	0.0144353	0.0183257	0.0159539	0.013152	0.0177999	0.0211354	0.0206532	0.0302786	0.0257559	0.0285694	0.0267189	0.0314206
boude	0.11377	0.105314	0.0913098	0.0916986	0.106098	0.10147	0.0776885	0.0468744	0.0296649	0.00754262	0.00940119	0.00602063	0.00820898	0.0051541	0.00624825	0.00711561	0.0135413	0.0111467	0.0144384	0.00970466	0.0147236	0.0158229	0.0173916	0.020328	0.0194358	0.0323124	0.0175756
contre	0.125959	0.0804954	0.0613784	0.0547925	0.0414236	0.0352983	0.0405679	0.0342782	0.0501818	0.0258471	0.027742	0.0192289	0.022135	0.0189331	0.0241748	0.0225528	0.0629249	0.0294654	0.0351689	0.0250277	0.0364924	0.0250155	0.0211818	0.0167481	0.0211255	0.0287262	0.0131348
moi	0.0906751	0.0396068	0.0366542	0.0298279	0.0279245	0.0188909	0.0214954	0.0166954	0.0268649	0.015642	0.0240055	0.0138211	0.0173905	0.00855703	0.0193973	0.0232498	0.0801642	0.0439219	0.0722674	0.0492391	0.0629657	0.0397152	0.0392227	0.0379063	0.0404714	0.0836425	0.0197852
parmi	0.135193	0.0882707	0.0831422	0.0591592	0.0382305	0.0297019	0.0263226	0.0150651	0.0168478	0.0106249	0.0223605	0.0124926	0.0120826	0.0101216	0.0164302	0.0234717	0.0382279	0.0363933	0.0388865	0.0343098	0.0385178	0.0297258	0.0350179	0.0424722	0.0398524	0.0529953	0.0140843
vous	0.0785212	0.0791291	0.0808683	0.0961986	0.0626693	0.0591366	0.0794739	0.0435667	0.0306061	0.00850774	0.00799204	0.00360048	0.00386397	0.00326799	0.00595826	0.0094445	0.0170153	0.0218874	0.0281911	0.0234553	0.0293252	0.029617	0.032037	0.0406477	0.0400225	0.0524396	0.0325573
</S>	0.0577159	0.035976	0.0362113	0.0366125	0.0384773	0.0396064	0.0552557	0.0280548	0.0271696	0.0075916	0.00901541	0.00404609	0.0059219	0.00323645	0.00575249	0.00608269	0.0161545	0.0118282	0.0275529	0.0240275	0.0332603	0.0395129	0.04708	0.0566331	0.0652881	0.107964	0.173973
