 	a15	a66	a87	a23	a83	a62	a21	a12	a61	a21	a47	a12	a31	a62	a47	a24	a47	a75	a85	a92	a12	a96	a66	a26	a54	a47	a36	a2	a57	a87	a23	a99	a97	a99	</S>
je	0.0602215	0.0363479	0.0235817	0.0249248	0.0249182	0.0235935	0.0163675	0.0222412	0.0188076	0.0178579	0.0150777	0.0121174	0.0103898	0.0104066	0.0123801	0.0114815	0.014652	0.0191524	0.0267523	0.0366371	0.0516715	0.0380194	0.028247	0.045376	0.0213999	0.0528886	0.0389692	0.0237436	0.0195812	0.0167875	0.0313619	0.0514497	0.0381053	0.0398575	0.0646328
n'	0.0485662	0.0473571	0.0413169	0.0454007	0.0432438	0.0483322	0.037924	0.0321182	0.0305297	0.0266205	0.0183001	0.0169927	0.0208703	0.0402184	0.0601227	0.0602831	0.0793804	0.042969	0.0188107	0.0336017	0.0140071	0.00734059	0.0104728	0.0136433	0.0091546	0.00661134	0.00948575	0.0183287	0.0218352	0.0313521	0.0166266	0.011343	0.0105524	0.0130031	0.0132852
ai	0.0293766	0.0204546	0.0183056	0.0220474	0.0195522	0.0337098	0.0407382	0.0438874	0.0516867	0.0713302	0.0596698	0.0478799	0.0464931	0.0459288	0.0449634	0.0446805	0.0387363	0.0331493	0.0217192	0.029206	0.0213048	0.0144361	0.00929972	0.0138871	0.0119142	0.0124251	0.0153047	0.0109855	0.010611	0.0122255	0.0176688	0.020436	0.0190476	0.0272351	0.0197036
pas	0.04379	0.0431293	0.0396978	0.0325206	0.020415	0.0266997	0.019198	0.0185558	0.0220972	0.0229178	0.0206561	0.0183527	0.0158991	0.0162126	0.0209298	0.0187676	0.025296	0.0140641	0.0125405	0.0110278	0.00948452	0.0190128	0.0238695	0.0201174	0.0388881	0.0259753	0.023923	0.0290832	0.0376774	0.0221515	0.0492845	0.0617653	0.0524497	0.0491658	0.0743846
l'	0.0454074	0.0268718	0.0213186	0.0127286	0.011028	0.0108565	0.00882536	0.00986813	0.0108729	0.0136158	0.0146323	0.0168365	0.0115866	0.0190876	0.0153553	0.0232909	0.0177516	0.0224469	0.0247791	0.0286119	0.026964	0.0540957	0.0552819	0.0361721	0.0649192	0.0473711	0.0535077	0.0538117	0.0437754	0.0182693	0.0323715	0.0363919	0.0277984	0.0414692	0.0420288
habitude	0.0294274	0.0256872	0.0251501	0.0184142	0.0151815	0.0177544	0.0136349	0.0141225	0.0136075	0.0155569	0.0168014	0.0261248	0.0233211	0.0281004	0.021457	0.0160912	0.0133929	0.0259824	0.0313468	0.0361186	0.037241	0.0562351	0.0846448	0.0531397	0.0702307	0.0498954	0.039875	0.0327733	0.0322697	0.0246793	0.01995	0.022551	0.0151601	0.0127515	0.0213303
de	0.112427	0.0558404	0.0402467	0.0227552	0.0176822	0.0169348	0.0100938	0.00952709	0.0136162	0.0144306	0.0166207	0.024843	0.0183798	0.0212043	0.0254336	0.0149154	0.0137293	0.0289855	0.0338204	0.0353872	0.0691784	0.0381414	0.0208423	0.0221312	0.060989	0.0508511	0.0549451	0.0346446	0.0229989	0.0141616	0.0139755	0.015895	0.009824	0.0122916	0.0122578
prendre	0.0546669	0.0265215	0.0281474	0.0176076	0.0164812	0.0234124	0.0102458	0.00697478	0.00991622	0.00993153	0.0113058	0.0162485	0.0212987	0.0260227	0.0329272	0.0340929	0.0495882	0.107468	0.0826643	0.0581367	0.0823898	0.0450036	0.0261632	0.0255775	0.0271169	0.0237957	0.0192979	0.0132498	0.0126313	0.010386	0.0153822	0.0187747	0.00807991	0.0159557	0.0125376
du	0.0807356	0.0567532	0.0395079	0.0225366	0.0107657	0.0137271	0.00692554	0.00656314	0.0071401	0.00767055	0.00965806	0.011851	0.0145384	0.0155351	0.0140401	0.0206057	0.0309796	0.0375742	0.0400523	0.0290399	0.0389019	0.0328514	0.0143784	0.0162722	0.0268384	0.0317694	0.0420881	0.0383484	0.0504683	0.0454508	0.0460652	0.044398	0.0288946	0.0375072	0.0295678
vin	0.0269094	0.015863	0.0158174	0.0101523	0.0097563	0.0112707	0.0060131	0.00680757	0.00667417	0.00662666	0.0069664	0.00779516	0.0135022	0.0181007	0.020398	0.0176434	0.0237305	0.0356873	0.0432328	0.044916	0.0390815	0.0514533	0.0188484	0.0307414	0.031534	0.0272412	0.0545832	0.0396662	0.0394658	0.0524531	0.0619475	0.0520348	0.0472584	0.0511028	0.0547255
</S>	0.05054	0.0310732	0.0241403	0.0145056	0.0102195	0.0118805	0.00693827	0.00361503	0.00475209	0.00363389	0.00371023	0.00360691	0.00675217	0.0125256	0.0164289	0.0160957	0.0269329	0.0373289	0.033334	0.0396344	0.0302229	0.0449763	0.0181269	0.0233938	0.0360885	0.0249376	0.0603781	0.0675116	0.0548729	0.0592656	0.060246	0.0431304	0.0413638	0.0370863	0.0407512
