 	a66	a87	a23	a97	a99	a62	a96	a56	a44	a56	a75	a92	a37	a56	a93	a44	a21	a85	a92	a79	a7	a54	a47	a36	a2	a57	a10	a11	a96	a75	a92	a37	a61	a62	a43	a0	a75	a21	a12	a21	a5	a12	a61	a21	a12	a18	a25	a87	a23	a87	a97	</S>
je	0.0374056	0.0582057	0.0391	0.0315711	0.0146143	0.0162368	0.0358875	0.0389623	0.0480754	0.0449749	0.0315144	0.0199597	0.0106263	0.0139106	0.0261969	0.0157335	0.00799478	0.00967889	0.00867622	0.0115031	0.0133912	0.0138698	0.011	0.0121332	0.013493	0.016528	0.0206059	0.0170535	0.0251481	0.0214338	0.0392933	0.0369531	0.0235024	0.0107232	0.00619946	0.00653511	0.0146708	0.0131731	0.0123529	0.0131505	0.0102581	0.00988682	0.0117286	0.0107871	0.0119424	0.0130836	0.0100839	0.0120349	0.00814671	0.0152711	0.0102671	0.0144711
n'	0.0212715	0.00959588	0.0121048	0.0085086	0.00660818	0.00840559	0.0118059	0.0226035	0.023525	0.0150091	0.0200476	0.0249732	0.0336784	0.0169912	0.0211383	0.0260721	0.0341243	0.039028	0.0268476	0.0321905	0.0280586	0.0224397	0.0300178	0.017891	0.0221579	0.0211923	0.0167414	0.0174029	0.024548	0.0325398	0.0182506	0.0093628	0.0191176	0.0137937	0.0105255	0.0386567	0.0146861	0.0143362	0.0161884	0.021799	0.0116191	0.0177313	0.0153018	0.0153581	0.0169599	0.0139861	0.0151528	0.0111817	0.0169717	0.0124373	0.0163535	0.0127119
accepte	0.0193929	0.00385804	0.00291978	0.00251434	0.00155243	0.00321013	0.00301428	0.0033431	0.00726535	0.00477119	0.0117203	0.0111644	0.0143102	0.0155427	0.0172163	0.0250094	0.0731682	0.0783136	0.0502653	0.0695137	0.0712532	0.046713	0.0496483	0.0376622	0.0703981	0.0568716	0.0476002	0.035082	0.0257456	0.0157169	0.00411929	0.00283384	0.00430631	0.00433145	0.00170031	0.00216199	0.00162751	0.00123229	0.00103496	0.001689	0.0019047	0.00191077	0.00482964	0.00368493	0.00597774	0.00752142	0.00777926	0.00523027	0.0123758	0.0156421	0.0236916	0.0096584
pas	0.0202979	0.0130346	0.0105279	0.0155207	0.0128364	0.00850736	0.00411123	0.0106123	0.00407473	0.00417776	0.00546971	0.0043074	0.00588094	0.0073603	0.00809596	0.0115951	0.0109283	0.00989214	0.015183	0.0111399	0.0125506	0.0123076	0.00794829	0.00997975	0.00887039	0.00972231	0.021489	0.0189924	0.0160598	0.0275308	0.0290218	0.0170903	0.0338264	0.0467427	0.0573611	0.0485844	0.044874	0.0290942	0.0241918	0.0170195	0.0227456	0.0227892	0.0341224	0.0230884	0.0534526	0.0462083	0.0195165	0.0208894	0.0228683	0.0159935	0.0123237	0.0191915
de	0.0422012	0.0422914	0.0318425	0.0396729	0.0234536	0.0215548	0.0128584	0.0122577	0.0066041	0.00623138	0.00426694	0.00228284	0.00254385	0.004632	0.00431348	0.00619774	0.00578828	0.00395389	0.00599781	0.00719379	0.0134605	0.00578202	0.0101743	0.0168084	0.0224928	0.019575	0.0244228	0.0250179	0.0209174	0.0233766	0.0146164	0.0135777	0.018577	0.0234623	0.0246522	0.0238967	0.0249303	0.0214498	0.0304602	0.0187334	0.0128635	0.0316305	0.0320805	0.0352454	0.0402709	0.0271645	0.0357463	0.0272514	0.0266112	0.0193698	0.0145394	0.014704
partir	0.029085	0.0158944	0.0110394	0.0112025	0.00997312	0.0089029	0.00623681	0.00912567	0.00501089	0.00376404	0.00501839	0.00330657	0.00342272	0.00607065	0.00658083	0.00946593	0.0175879	0.0145698	0.0216248	0.0343526	0.053335	0.0297703	0.0228909	0.032345	0.0299757	0.0326596	0.0518512	0.0472103	0.0320917	0.0293372	0.016101	0.015176	0.015741	0.0190955	0.0128045	0.0156826	0.0161355	0.0137961	0.0143068	0.0140861	0.0136675	0.0146682	0.024237	0.0247619	0.0290887	0.0391184	0.0328177	0.022684	0.0174027	0.0152797	0.00957998	0.0100676
à	0.0219678	0.00853689	0.00561993	0.00358917	0.00322458	0.00336837	0.00216744	0.00301001	0.00373827	0.00306603	0.00325076	0.00336247	0.00679544	0.00656661	0.0100023	0.0190801	0.0540323	0.0475823	0.0632891	0.0650593	0.0865271	0.0596576	0.0456068	0.0434753	0.0162704	0.0174213	0.0194684	0.0125772	0.0107795	0.0060948	0.00251227	0.00200762	0.0024518	0.00342435	0.00242198	0.00459823	0.00727153	0.00630569	0.00440914	0.0139541	0.00880888	0.0169886	0.0379835	0.0389766	0.0416478	0.0646105	0.0335921	0.0162134	0.0175534	0.00873084	0.00611515	0.00423507
la	0.0409374	0.0266757	0.0193492	0.0133094	0.00541027	0.00588998	0.00480608	0.00808578	0.00707195	0.00897121	0.0089792	0.00797771	0.00946538	0.0108851	0.0160367	0.0272602	0.0335579	0.0388873	0.0457166	0.0545445	0.0538551	0.0556397	0.021198	0.0312655	0.0130121	0.0185431	0.0240998	0.0150445	0.0183587	0.00980227	0.00521194	0.00264523	0.00321137	0.00270066	0.00319821	0.00652271	0.0084994	0.0067512	0.00388153	0.0110327	0.00831567	0.00805216	0.0210422	0.0201684	0.0230746	0.0437611	0.0349919	0.0325356	0.029218	0.0332945	0.0231307	0.0141241
chasse	0.0212245	0.0120611	0.0111621	0.0112752	0.00424588	0.00562054	0.00395923	0.00847858	0.00560079	0.00830046	0.00491117	0.00311402	0.0033115	0.00573397	0.00978361	0.0226581	0.027939	0.0387734	0.0403901	0.050841	0.0532565	0.0483826	0.0216708	0.0395849	0.0235937	0.0287648	0.0397141	0.0348456	0.0329117	0.0208878	0.00619236	0.00480133	0.00992501	0.0116409	0.0113818	0.0107836	0.012988	0.0122033	0.00938185	0.0130018	0.0136257	0.00919311	0.0158398	0.0139222	0.0187237	0.0258788	0.0269827	0.0286986	0.0226934	0.0325239	0.0208727	0.0257487
avec	0.0347339	0.0199713	0.0137019	0.0121074	0.00541702	0.00455271	0.00312556	0.00463615	0.00582845	0.0111801	0.015983	0.0195508	0.0226961	0.0311875	0.0453418	0.0344045	0.0394654	0.0364248	0.0394708	0.0389429	0.0487415	0.0497933	0.0382612	0.0337457	0.0214377	0.0263881	0.023909	0.0160405	0.0250974	0.0118521	0.0102546	0.00655789	0.00582457	0.00332979	0.00314033	0.00274512	0.00281059	0.00235716	0.00151794	0.00475418	0.00728773	0.00768621	0.0113508	0.0116138	0.0119258	0.0190459	0.0224584	0.0145536	0.0240839	0.0323934	0.0279616	0.0323582
