 	a66	a87	a23	a54	a5	a0	a31	a21	a56	a18	a4	a13	a3	a87	a79	a12	a18	a90	a44	a47	a62	a34	a98	a79	a7	a90	a25	a79	a56	a96	a43	a11	a70	a66	a9	a10	a87	a23	a99	a87	</S>
les	0.060722	0.0367341	0.0570726	0.0308869	0.0581319	0.0722549	0.057871	0.0437257	0.0231574	0.0133995	0.0183942	0.0107852	0.0125343	0.0119652	0.0044972	0.00888334	0.00821962	0.010991	0.0165891	0.0157536	0.0189888	0.0375488	0.0488084	0.0414518	0.0238217	0.0272836	0.0204251	0.0228237	0.0188826	0.0165234	0.0102304	0.0236087	0.0115753	0.0131368	0.0147041	0.0111291	0.0117184	0.00947925	0.0141831	0.016276	0.0148324
feuilles	0.00363794	0.00497909	0.00540049	0.00712665	0.0090189	0.0155079	0.021135	0.0499121	0.0494819	0.0258594	0.0317208	0.0731773	0.0521258	0.0565114	0.077062	0.108401	0.103253	0.0538403	0.0199867	0.0155693	0.0281698	0.0386519	0.0271747	0.0293141	0.0169476	0.00889029	0.0084268	0.00375521	0.00325229	0.00321547	0.00186355	0.00400189	0.00282886	0.00525784	0.00247651	0.00228484	0.00341629	0.00453672	0.00516651	0.0110397	0.00562279
de	0.0332401	0.0372788	0.0383683	0.0572934	0.0331335	0.0485523	0.061351	0.0736678	0.0713652	0.0774251	0.0744311	0.0424879	0.0631432	0.059585	0.0310642	0.0340347	0.0237559	0.00904073	0.00339484	0.0126338	0.0121557	0.0124177	0.0120161	0.0140077	0.00974329	0.00499939	0.00397453	0.00190408	0.00170166	0.0020716	0.00191934	0.00162247	0.00132439	0.00278528	0.00157196	0.00373277	0.00408023	0.00490046	0.00493085	0.00876568	0.00412772
l'	0.0484115	0.0352177	0.012036	0.0154458	0.00937079	0.0141172	0.0229249	0.0182243	0.0212731	0.0282591	0.0321989	0.0190662	0.0263643	0.0348293	0.020403	0.0274087	0.0367522	0.0154218	0.0134387	0.0451345	0.0220364	0.0265007	0.0303131	0.01442	0.0174633	0.0274273	0.0335115	0.0180918	0.0148027	0.013802	0.0177081	0.0137028	0.00953679	0.026624	0.0116207	0.0258068	0.0291792	0.028307	0.0371917	0.0410698	0.0445866
arbuste	0.0269799	0.0202426	0.0130431	0.0215968	0.00807261	0.00577836	0.00424927	0.00617832	0.0174087	0.0358442	0.0501195	0.069846	0.0546319	0.105537	0.0604227	0.0587454	0.0534882	0.046973	0.0293134	0.0579895	0.0316529	0.0258652	0.0229381	0.0271783	0.0254291	0.0164471	0.0126922	0.00759314	0.00581491	0.00843363	0.00741999	0.0059779	0.00336995	0.00452037	0.00316	0.00560376	0.00770857	0.00705763	0.00774204	0.00931403	0.00762092
grimpant	0.0361874	0.0297898	0.0282626	0.0318476	0.0182969	0.0116078	0.0155066	0.0188861	0.0302456	0.0352283	0.0617155	0.0494275	0.0705441	0.0612687	0.0594059	0.0952077	0.0454332	0.0396726	0.0336796	0.0192255	0.0100321	0.00838662	0.00343983	0.00565985	0.00652698	0.0113365	0.00445193	0.00735672	0.00637918	0.00584993	0.00441398	0.00540696	0.00450892	0.00458952	0.00512998	0.010194	0.0123127	0.0161695	0.0247735	0.0239833	0.0276593
ekuu	0.0530322	0.0457049	0.0500369	0.0311905	0.020286	0.0154118	0.0129093	0.00819295	0.0116715	0.0190349	0.0264299	0.0161081	0.0228583	0.0243275	0.0226644	0.0324233	0.0206966	0.0237894	0.0199493	0.0144565	0.0113753	0.0167059	0.0131349	0.0247382	0.0250446	0.052532	0.0266384	0.0257901	0.0189488	0.0271102	0.0143592	0.018733	0.0116047	0.0148885	0.0164456	0.0234326	0.0260886	0.0252887	0.0292065	0.0342211	0.0525392
sont	0.0352167	0.0249379	0.0257842	0.0192818	0.00941843	0.00830433	0.00770238	0.00886112	0.00833068	0.0124068	0.0184667	0.0123977	0.0160641	0.0209177	0.0227113	0.0256019	0.0221143	0.0257893	0.0174014	0.0141589	0.015393	0.0225705	0.0186731	0.0230338	0.0199904	0.0210319	0.0144156	0.0184471	0.0256243	0.025502	0.0125165	0.0141286	0.0108046	0.0170711	0.0167126	0.0501706	0.0466398	0.0589937	0.0901947	0.0718323	0.050386
utilisées	0.0242893	0.0246919	0.0314486	0.0155778	0.0118829	0.00962191	0.00578956	0.00565608	0.00722058	0.0126272	0.0185461	0.0147215	0.0153694	0.0229986	0.0138887	0.0182764	0.0260281	0.0260561	0.0225343	0.0170089	0.0177772	0.0193546	0.0198529	0.0390714	0.0470297	0.0371402	0.0249596	0.0173076	0.0223585	0.0157552	0.0123142	0.021014	0.0096734	0.01898	0.0258896	0.0340513	0.0384121	0.0396142	0.0630703	0.0490891	0.083051
comme	0.026605	0.0237019	0.0247402	0.0188415	0.0150943	0.012698	0.00934285	0.0086536	0.0150337	0.01934	0.0221309	0.0193906	0.0190885	0.0217156	0.0149313	0.0165344	0.0184266	0.0147207	0.00946165	0.00593277	0.00695852	0.00695504	0.00535577	0.00870169	0.00987402	0.0180928	0.0119646	0.0271807	0.0462757	0.0302596	0.025956	0.0365896	0.0306011	0.0346217	0.0401543	0.0390437	0.0481901	0.0519519	0.0562652	0.0526012	0.0760229
remède	0.0238664	0.019339	0.0156108	0.0192796	0.0118803	0.00917367	0.00600942	0.00590808	0.0166802	0.0251507	0.0318474	0.0196823	0.0208853	0.0256254	0.0117624	0.0144855	0.0207556	0.0173779	0.0104778	0.00754841	0.00951651	0.00972165	0.00609163	0.00900805	0.0106328	0.0193431	0.0158285	0.0302207	0.0427539	0.0330469	0.0306634	0.0339837	0.0277837	0.0282771	0.0325562	0.0369654	0.0525494	0.0519156	0.0495892	0.05309	0.0831162
aux	0.0192835	0.0174279	0.0170525	0.0164281	0.01306	0.0106814	0.0102107	0.0086203	0.0101953	0.0131308	0.019372	0.0120884	0.0149596	0.0157272	0.00693468	0.012699	0.0142892	0.0165721	0.0187002	0.0142018	0.0165504	0.0194448	0.013888	0.0261795	0.026036	0.0369593	0.0220479	0.032661	0.0634625	0.0323867	0.0225501	0.0334513	0.0182114	0.0293561	0.0269297	0.0302085	0.0383284	0.0458771	0.0545555	0.0465894	0.0826918
maux	0.047651	0.0323301	0.0264912	0.0268863	0.0133737	0.0108854	0.00908981	0.00921945	0.0126544	0.0170849	0.0221283	0.0124995	0.0191688	0.0222469	0.0100574	0.0106963	0.0112274	0.01253	0.0123928	0.0126735	0.0128868	0.0142115	0.0139735	0.0219813	0.0218918	0.0354317	0.0141129	0.0288154	0.0523684	0.0508303	0.0363041	0.0308583	0.0286543	0.0262414	0.0248051	0.0348744	0.0432483	0.0314225	0.043121	0.0346749	0.0480048
de	0.0583241	0.0406432	0.0319574	0.0217936	0.0215765	0.0173758	0.0343052	0.0207955	0.0217534	0.0177531	0.0209703	0.0146753	0.0162169	0.0139707	0.00744723	0.0131338	0.00932542	0.0142395	0.0262788	0.0149579	0.0106723	0.012144	0.00590991	0.00676859	0.0107045	0.0178111	0.0161371	0.033082	0.0341303	0.0258187	0.0281458	0.0373942	0.0242075	0.0312363	0.0320523	0.0321332	0.0387945	0.0256115	0.0310736	0.0350225	0.0736561
